key_0,teamName,win_rank,mov_rank,dom_rank,ovr,ovr_rank
ORE,Oregon Ducks,1.0,1.0,2.0,1.3333333333333333,1.0
WASH,Washington Huskies,6.0,2.0,1.0,3.0,2.0
LOU,Louisville Cardinals,2.5,6.0,4.0,4.166666666666667,3.5
MICH,Michigan Wolverines,4.5,3.0,5.0,4.166666666666667,3.5
TEX,Texas Longhorns,7.0,5.0,3.0,5.0,5.0
OSU,Ohio State Buckeyes,4.5,7.0,8.0,6.5,6.0
OU,Oklahoma Sooners,10.0,9.0,9.0,9.333333333333334,7.0
UGA,Georgia Bulldogs,9.0,14.0,7.0,10.0,8.0
LSU,LSU Tigers,2.5,4.0,24.0,10.166666666666666,9.5
FSU,Florida State Seminoles,16.5,8.0,6.0,10.166666666666666,9.5
PSU,Penn State Nittany Lions,8.0,11.0,17.0,12.0,11.0
JMU,James Madison Dukes,14.5,12.0,10.0,12.166666666666666,12.0
ALA,Alabama Crimson Tide,14.5,13.0,12.0,13.166666666666666,13.0
KSU,Kansas State Wildcats,12.5,17.0,16.0,15.166666666666666,14.0
MISS,Ole Miss Rebels,12.5,16.0,22.0,16.833333333333332,15.0
KU,Kansas Jayhawks,19.0,21.0,14.0,18.0,16.0
USC,USC Trojans,18.0,10.0,28.0,18.666666666666668,17.0
MIZ,Missouri Tigers,16.5,24.0,19.0,19.833333333333332,18.0
UNC,North Carolina Tar Heels,22.5,27.0,13.0,20.833333333333332,19.0
UTAH,Utah Utes,20.0,22.0,21.0,21.0,20.0
TENN,Tennessee Volunteers,22.5,18.0,23.0,21.166666666666668,21.0
IOWA,Iowa Hawkeyes,11.0,15.0,38.0,21.333333333333332,22.0
OKST,Oklahoma State Cowboys,22.5,25.0,18.0,21.833333333333332,23.0
ND,Notre Dame Fighting Irish,22.5,19.0,26.0,22.5,24.0
ORST,Oregon State Beavers,29.0,28.0,11.0,22.666666666666668,25.0
ARIZ,Arizona Wildcats,26.5,23.0,20.0,23.166666666666668,26.0
TA&M,Texas A&M Aggies,26.5,20.0,30.0,25.5,27.0
WVU,West Virginia Mountaineers,33.5,31.0,15.0,26.5,28.0
DUKE,Duke Blue Devils,26.5,26.0,31.0,27.833333333333332,29.0
NCSU,NC State Wolfpack,26.5,29.0,33.0,29.5,30.0
CLEM,Clemson Tigers,30.5,34.0,27.0,30.5,31.0
GT,Georgia Tech Yellow Jackets,36.0,33.0,25.0,31.333333333333332,32.0
TROY,Troy Trojans,30.5,36.0,37.0,34.5,33.0
UCLA,UCLA Bruins,35.0,30.0,41.0,35.333333333333336,34.0
TTU,Texas Tech Red Raiders,33.5,38.0,36.0,35.833333333333336,35.0
MIA,Miami Hurricanes,37.0,35.0,39.0,37.0,36.0
TULN,Tulane Green Wave,40.5,40.0,34.0,38.166666666666664,37.5
WSU,Washington State Cougars,40.5,39.0,35.0,38.166666666666664,37.5
TCU,TCU Horned Frogs,32.0,32.0,51.0,38.333333333333336,39.0
UK,Kentucky Wildcats,38.0,37.0,45.0,40.0,40.0
MD,Maryland Terrapins,40.5,41.0,49.0,43.5,41.0
ISU,Iowa State Cyclones,43.0,45.0,43.0,43.666666666666664,42.0
UCF,UCF Knights,44.5,42.0,48.0,44.833333333333336,43.0
LIB,Liberty Flames,54.0,52.0,29.0,45.0,44.0
APP,Appalachian State Mountaineers,52.0,50.0,40.0,47.333333333333336,45.0
RUTG,Rutgers Scarlet Knights,44.5,47.0,52.0,47.833333333333336,46.0
TXST,Texas State Bobcats,56.5,56.0,32.0,48.166666666666664,47.0
WIS,Wisconsin Badgers,48.0,49.0,50.0,49.0,48.0
ODU,Old Dominion Monarchs,52.0,55.0,42.0,49.666666666666664,49.0
AUB,Auburn Tigers,46.5,44.0,59.0,49.833333333333336,50.0
CAL,California Golden Bears,49.0,48.0,55.0,50.666666666666664,51.0
USA,South Alabama Jaguars,40.5,43.0,69.0,50.833333333333336,52.0
WYO,Wyoming Cowboys,50.0,51.0,56.0,52.333333333333336,53.0
HOU,Houston Cougars,46.5,46.0,66.0,52.833333333333336,54.0
FRES,Fresno State Bulldogs,56.5,60.0,44.0,53.5,55.0
BC,Boston College Eagles,56.5,53.0,53.0,54.166666666666664,56.0
AFA,Air Force Falcons,52.0,54.0,61.0,55.666666666666664,57.0
ASU,Arizona State Sun Devils,59.0,59.0,58.0,58.666666666666664,58.0
MINN,Minnesota Golden Gophers,61.0,57.0,60.0,59.333333333333336,59.0
GAST,Georgia State Panthers,56.5,61.0,64.0,60.5,60.0
TOL,Toledo Rockets,69.0,68.0,46.0,61.0,61.0
COLO,Colorado Buffaloes,60.0,62.0,67.0,63.0,62.0
UVA,Virginia Cavaliers,72.0,72.0,47.0,63.666666666666664,63.0
FLA,Florida Gators,64.5,67.0,62.0,64.5,64.0
GASO,Georgia Southern Eagles,62.5,64.0,68.0,64.83333333333333,65.0
SMU,SMU Mustangs,62.5,58.0,77.0,65.83333333333333,66.0
