index,probability,odds,kelly,unitPercent,unitReturn,legs
MORE_UTC_NCAAB_awayCover | CIN_FGCU_NCAAB_homeCover | WIU_SDAK_NCAAB_awayWin,0.673407055,595,"(0.6185174844998441, 2.2762550778604886)",0.618517484,2.276255078,3
MORE_UTC_NCAAB_awayWin | WIU_SDAK_NCAAB_awayCover,0.767530918,283,"(0.6853863663238251, 1.3294051533334919)",0.685386366,1.329405153,2
WIU_SDAK_NCAAB_awayCover | STAN_USD_NCAAB_awayWin,0.315694193,1489,"(0.2697367852520486, 1.0833656271066545)",0.269736785,1.083365627,2
MORE_UTC_NCAAB_awayCover | CIN_FGCU_NCAAB_homeCover | WIU_SDAK_NCAAB_awayCover,0.6776598,581,"(0.6221795589941632, 2.249094015091296)",0.622179559,2.249094015,3
MORE_UTC_NCAAB_awayCover | JVST_ETSU_NCAAB_homeCover | UCR_UND_NCAAB_awayWin | SMU_TAMC_NCAAB_homeCover,0.316492509,1793,"(0.2783716226184324, 1.3894093318063958)",0.278371623,1.389409332,4
MORE_UTC_NCAAB_awayWin | WIU_SDAK_NCAAB_awayWin,0.762714175,291,"(0.6811726544654211, 1.3502288989071716)",0.681172654,1.350228899,2
MORE_UTC_NCAAB_awayCover | JVST_ETSU_NCAAB_homeCover | CIN_FGCU_NCAAB_homeCover | WIU_SDAK_NCAAB_awayWin,0.467842144,1227,"(0.42447149562821124, 2.210760140872436)",0.424471496,2.210760141,4
MORE_UTC_NCAAB_awayCover | JVST_ETSU_NCAAB_homeCover | CIN_FGCU_NCAAB_homeCover | WIU_SDAK_NCAAB_awayCover,0.470796692,1199,"(0.42665963520078765, 2.1826409472729336)",0.426659635,2.182640947,4
WIU_SDAK_NCAAB_awayWin | STAN_USD_NCAAB_awayWin,0.313713012,1523,"(0.2686514896251887, 1.0992042764293946)",0.26865149,1.099204276,2
MORE_UTC_NCAAB_awayCover | UCR_UND_NCAAB_awayWin | WIU_SDAK_NCAAB_awayWin,0.517005671,883,"(0.4623064259555327, 1.8872114539664435)",0.462306426,1.887211454,3
MORE_UTC_NCAAB_awayCover | UCR_UND_NCAAB_awayWin | WIU_SDAK_NCAAB_awayCover,0.520270699,863,"(0.4646821357450009, 1.8634714752310206)",0.464682136,1.863471475,3
MORE_UTC_NCAAB_awayWin | CIN_FGCU_NCAAB_homeCover,0.736556514,291,"(0.6460261059998197, 1.2144877132328749)",0.646026106,1.214487713,2
SMU_TAMC_NCAAB_homeCover | WIU_SDAK_NCAAB_awayWin,0.722356214,268,"(0.6187577861477614, 1.0260680104215234)",0.618757786,1.02606801,2
MORE_UTC_NCAAB_awayCover | JVST_ETSU_NCAAB_homeCover | UCR_UND_NCAAB_awayWin | WIU_SDAK_NCAAB_awayWin,0.359184003,1777,"(0.3231223256883571, 1.8553308238561506)",0.323122326,1.855330824,4
MORE_UTC_NCAAB_awayCover | JVST_ETSU_NCAAB_homeCover | UCR_UND_NCAAB_awayWin | WIU_SDAK_NCAAB_awayCover,0.361452345,1738,"(0.3247119737657697, 1.8325101094612601)",0.324711974,1.832510109,4
MORE_UTC_NCAAB_awayCover | SMU_TAMC_NCAAB_homeCover | WIU_SDAK_NCAAB_awayWin,0.61444053,603,"(0.550500318939685, 1.8273951249507505)",0.550500319,1.827395125,3
MORE_UTC_NCAAB_awayCover | SMU_TAMC_NCAAB_homeCover | WIU_SDAK_NCAAB_awayCover,0.618320885,588,"(0.5534094711112021, 1.8008208111676127)",0.553409471,1.800820811,3
MORE_UTC_NCAAB_awayCover | JVST_ETSU_NCAAB_homeCover | SMU_TAMC_NCAAB_homeCover | WIU_SDAK_NCAAB_awayWin,0.426875799,1238,"(0.3805814371592186, 1.7931468112399822)",0.380581437,1.793146811,4
MORE_UTC_NCAAB_awayCover | JVST_ETSU_NCAAB_homeCover | SMU_TAMC_NCAAB_homeCover | WIU_SDAK_NCAAB_awayCover,0.429571633,1211,"(0.38246772210104596, 1.7714696728193629)",0.382467722,1.771469673,4
MORE_UTC_NCAAB_awayCover | WIU_SDAK_NCAAB_awayWin | STAN_USD_NCAAB_awayWin,0.26684617,2994,"(0.24235873454392123, 1.7586084209193429)",0.242358735,1.758608421,3
MORE_UTC_NCAAB_awayCover | WIU_SDAK_NCAAB_awayCover | STAN_USD_NCAAB_awayWin,0.268531375,2934,"(0.2436006107186769, 1.7410724962973125)",0.243600611,1.741072496,3
MORE_UTC_NCAAB_awayCover | CIN_FGCU_NCAAB_homeCover | UCR_UND_NCAAB_awayWin,0.499274704,883,"(0.44256742280188593, 1.7294961064961938)",0.442567423,1.729496106,3
MORE_UTC_NCAAB_awayCover | WIU_SDAK_NCAAB_awayWin | TB_CAR_NFL_homeCover,0.590880567,621,"(0.5249998209072093, 1.7116300822256576)",0.524999821,1.711630082,3
MORE_UTC_NCAAB_awayCover | JVST_ETSU_NCAAB_homeCover | UCR_UND_NCAAB_awayWin | CIN_FGCU_NCAAB_homeCover,0.346865609,1777,"(0.31011071902622805, 1.7089170536367133)",0.310110719,1.708917054,4
MORE_UTC_NCAAB_awayCover | JVST_ETSU_NCAAB_homeCover | CIN_FGCU_NCAAB_homeCover | UCR_UND_NCAAB_awayWin,0.346865609,1776,"(0.3100900237054119, 1.707727412956823)",0.310090024,1.707727413,4
MORE_UTC_NCAAB_awayCover | JVST_ETSU_NCAAB_homeCover | WIU_SDAK_NCAAB_awayWin | STAN_USD_NCAAB_awayWin,0.185388442,5808,"(0.17136276047678634, 1.705530564991276)",0.17136276,1.705530565,4
MORE_UTC_NCAAB_awayCover | JVST_ETSU_NCAAB_homeCover | WIU_SDAK_NCAAB_awayWin | TB_CAR_NFL_homeCover,0.410507774,1276,"(0.36430932391756154, 1.6935235773741353)",0.364309324,1.693523577,4
