index,probability,odds,kelly,unitPercent,unitReturn,legs
PRES_FAMU_NCAAB_homeCover | TOW_MASS_NCAAB_awayCover | DART_UNH_NCAAB_awayWin,0.7164705092063791,580.0,"(0.6675861142419617, 2.584893075586353)",0.6675861142419617,2.584893075586353,3.0
TOW_MASS_NCAAB_awayWin | MORG_UMBC_NCAAB_awayCover,0.8128156756020001,225.0,"(0.7296226425362223, 1.197785701128465)",0.7296226425362223,1.197785701128465,2.0
DART_UNH_NCAAB_awayCover | WSH_PHI_NBA_awayCover,0.735041735113,258.0,"(0.6323447332188139, 1.0316384430042984)",0.6323447332188139,1.0316384430042984,2.0
MD_PSU_NCAAB_awayWin | MORG_UMBC_NCAAB_awayWin,0.5337271722785001,477.0,"(0.4359760553557538, 0.9066583264237967)",0.4359760553557538,0.9066583264237967,2.0
USI_PFW_NCAAB_awayCover | TTU_OMA_NCAAB_under,0.642123924876,264.0,"(0.5065648055108485, 0.6774448617611235)",0.5065648055108485,0.6774448617611235,2.0
CHI_CHA_NBA_over | DETM_BALL_NCAAB_awayWin,0.6368515968749999,247.0,"(0.4898279518851214, 0.5926306134464928)",0.4898279518851214,0.5926306134464928,2.0
DETM_BALL_NCAAB_awayCover | MIN_SA_NBA_homeCover,0.60399504928,260.0,"(0.4516854528492308, 0.5304513456205984)",0.4516854528492308,0.5304513456205984,2.0
MD_PSU_NCAAB_awayCover | CLE_ORL_NBA_awayWin,0.49666233932850007,373.0,"(0.3617192667624143, 0.4880362882428272)",0.3617192667624143,0.4880362882428272,2.0
PRES_FAMU_NCAAB_over | MER_USA_NCAAB_over,0.58167487105,261.0,"(0.421397043866092, 0.4634719729914015)",0.421397043866092,0.4634719729914015,2.0
GWEB_WOF_NCAAB_awayWin | ATL_BKN_NBA_awayWin,0.30944786883799996,843.0,"(0.2275318390441684, 0.436427319475464)",0.2275318390441684,0.436427319475464,2.0
PRES_FAMU_NCAAB_homeWin | HOU_RICE_NCAAB_homeCover,0.7140273564375,144.0,"(0.5154352428524306, 0.38256982498705555)",0.5154352428524306,0.38256982498705555,2.0
ATL_BKN_NBA_awayCover | HOU_OKC_NBA_under,0.55424058697,250.0,"(0.37593682175800003, 0.3533212348837657)",0.37593682175800003,0.3533212348837657,2.0
NEV_UCD_NCAAB_homeCover | ASU_SMU_NCAAB_under,0.53270034015,261.0,"(0.35365832488180077, 0.3264436900789055)",0.35365832488180077,0.3264436900789055,2.0
CLE_ORL_NBA_awayCover | WSU_UCR_NCAAB_homeCover,0.5226573575900001,264.0,"(0.3418457506165153, 0.30850648544646153)",0.3418457506165153,0.30850648544646153,2.0
USI_PFW_NCAAB_awayWin | WSH_PHI_NBA_over,0.6518760017879999,152.0,"(0.4228470555958945, 0.27177544128769865)",0.4228470555958945,0.27177544128769865,2.0
PEPP_CSUF_NCAAB_homeCover | WSH_PHI_NBA_awayWin,0.6741420231699998,133.0,"(0.42913602555345837, 0.24492977880899855)",0.42913602555345837,0.24492977880899855,2.0
DET_MEM_NBA_over | ACU_NAU_NCAAB_awayWin,0.285876051052,702.0,"(0.18414899279729913, 0.23805417786878325)",0.18414899279729913,0.23805417786878325,2.0
SIUE_GB_NCAAB_awayWin | PEPP_CSUF_NCAAB_homeWin,0.4007447696385,387.0,"(0.24589845688359044, 0.2340036177482189)",0.24589845688359044,0.2340036177482189,2.0
NCSU_UMES_NCAAB_homeCover | CMU_VAL_NCAAB_awayWin,0.41739226263,351.0,"(0.2514071522681766, 0.22185150230269546)",0.2514071522681766,0.22185150230269546,2.0
DAY_UNLV_NCAAB_over | CLEM_SC_NCAAB_awayWin,0.27243729208800005,721.0,"(0.17152706907662696, 0.21212927042158955)",0.17152706907662696,0.21212927042158955,2.0
