index,probability,odds,kelly,unitPercent,unitReturn,legs,betDollars
UNM_USU_NCAAB_under | WSH_ANA_NHL_awayCover,0.7753468271430002,225.0,"(0.6755009725398892, 1.0266785187802563)",0.6755009725398892,1.0266785187802563,2.0,8.407104320004576
PHX_SAC_NBA_under | ALA_MIZ_NCAAB_homeCover | NYR_SEA_NHL_under,0.4707198690533385,570.0,"(0.3778637057293628, 0.813851586612901)",0.3778637057293628,0.813851586612901,3.0,4.702790553899125
CGY_ARI_NHL_awayCover | DAL_LA_NHL_awayCover,0.854038441764,134.0,"(0.745111905766985, 0.7439569478350492)",0.745111905766985,0.7439569478350492,2.0,9.27346336498509
WCU_SAM_NCAAB_homeCover | EDM_TOR_NHL_awayCover,0.7396021519250001,188.0,"(0.6010926582680853, 0.6792672815887311)",0.6010926582680853,0.6792672815887311,2.0,7.481038354464014
TENN_FLA_NCAAB_over | WPG_NYI_NHL_awayCover,0.7005220692080001,209.0,"(0.5572311932309666, 0.6489587996630783)",0.5572311932309666,0.6489587996630783,2.0,6.935150299249534
CSU_AFA_NCAAB_homeCover | WCU_SAM_NCAAB_homeWin,0.658349195364,232.0,"(0.5110859175036553, 0.6060044509636833)",0.5110859175036553,0.6060044509636833,2.0,6.360838547400838
CSU_AFA_NCAAB_over | INST_MOST_NCAAB_homeCover,0.606638624592,261.0,"(0.45592545393759387, 0.5425355310208047)",0.45592545393759387,0.5425355310208047,2.0,5.674326180444467
CHI_SJ_NHL_awayCover | OTT_COL_NHL_homeCover,0.8013529323750004,111.0,"(0.6223916101903161, 0.4299821612431769)",0.6223916101903161,0.4299821612431769,2.0,7.746119409852698
BYU_ISU_NCAAB_awayWin | NIU_KENT_NCAAB_over,0.4406471506800001,401.0,"(0.3011576620715213, 0.36369070907178236)",0.3011576620715213,0.36369070907178236,2.0,3.748127663360921
INST_MOST_NCAAB_under | PSU_WIS_NCAAB_over,0.5007895734679999,268.0,"(0.314517026254567, 0.2651081722747629)",0.314517026254567,0.2651081722747629,2.0,3.914394734618418
BYU_ISU_NCAAB_awayCover | IU_PUR_NCAAB_over,0.502618990444,261.0,"(0.3120515538325058, 0.2541518095706241)",0.3120515538325058,0.2541518095706241,2.0,3.8837101246874695
BYU_ISU_NCAAB_under | DAY_SLU_NCAAB_homeCover,0.49249284544000005,261.0,"(0.29804565978482767, 0.2318494719762561)",0.29804565978482767,0.2318494719762561,2.0,3.709396515765451
SMU_TEM_NCAAB_homeCover | CGY_ARI_NHL_under,0.45470576736,276.0,"(0.2571353932150725, 0.18248736482508104)",0.2571353932150725,0.18248736482508104,2.0,3.2002382868469614
DAL_LA_NHL_under | NYR_SEA_NHL_homeWin,0.568753063928,173.0,"(0.3194773783372485, 0.17657382581578765)",0.3194773783372485,0.17657382581578765,2.0,3.976129949101166
UNM_USU_NCAAB_awayWin | WSH_ANA_NHL_under,0.30001495679100004,495.0,"(0.15860383695079802, 0.12451812662280089)",0.15860383695079802,0.12451812662280089,2.0,1.9739409075678516
BOIS_UNLV_NCAAB_under | TENN_FLA_NCAAB_homeCover,0.41353110830400003,257.0,"(0.18533309597092612, 0.08827527610777308)",0.18533309597092612,0.08827527610777308,2.0,2.3066061117846677
KSU_BAY_NCAAB_homeCover | WPG_NYI_NHL_under,0.41697425032999996,250.0,"(0.18376395046199998, 0.08442297372350094)",0.18376395046199998,0.08442297372350094,2.0,2.2870769467307572
KSU_BAY_NCAAB_homeWin | NIU_KENT_NCAAB_homeWin,0.32779609178400004,372.0,"(0.14709611645711834, 0.08049063501357001)",0.14709611645711834,0.08049063501357001,2.0,1.830718898113074
NIU_KENT_NCAAB_homeCover | EDM_TOR_NHL_under,0.39745788992000003,253.0,"(0.15929895312948622, 0.0642016758644201)",0.15929895312948622,0.0642016758644201,2.0,1.9825921374939632
RICE_CLT_NCAAB_awayCover | XAV_BUT_NCAAB_homeCover,0.3815961226,268.0,"(0.1508484071522388, 0.060984048400185197)",0.1508484071522388,0.060984048400185197,2.0,1.8774189038795308
OKST_KU_NCAAB_under | RICE_CLT_NCAAB_awayWin,0.41034736397,232.0,"(0.15618674499155166, 0.05659477440164991)",0.15618674499155166,0.05659477440164991,2.0,1.9438584279290403
FRES_SJSU_NCAAB_over | OTT_COL_NHL_under,0.391992132952,247.0,"(0.14583510175847778, 0.05253165595511677)",0.14583510175847778,0.05253165595511677,2.0,1.8150246466589735
CLEM_GT_NCAAB_over | CHI_SJ_NHL_under,0.3839619494229999,253.0,"(0.14046864879967966, 0.04992054647788759)",0.14046864879967966,0.04992054647788759,2.0,1.7482352093567959
EMU_BALL_NCAAB_homeCover | SMU_TEM_NCAAB_under,0.37526443072200005,258.0,"(0.1331188612344032, 0.04571922853816828)",0.1331188612344032,0.04571922853816828,2.0,1.6567617203419405
AKR_WMU_NCAAB_homeCover | TOL_BUFF_NCAAB_homeCover,0.372706758762,254.0,"(0.12574091575491336, 0.04015937585300592)",0.12574091575491336,0.04015937585300592,2.0,1.5649377854626838
