index,probability,odds,kelly,unitPercent,unitReturn,legs
SPU_UMBC_NCAAB_awayWin,0.6701225,295.0,"(0.5582996186440677, 0.919510469325429)",0.5582996186440677,0.919510469325429,1.0
BOIS_NWST_NCAAB_awayWin,0.21983249999999988,2200.0,"(0.18437034090909077, 0.7478332973525558)",0.18437034090909077,0.7478332973525558,1.0
HALL_MONM_NCAAB_awayWin,0.3288789999999999,800.0,"(0.2449888749999999, 0.4801563909901246)",0.2449888749999999,0.4801563909901246,1.0
SPU_UMBC_NCAAB_awayCover,0.8448670000000001,-110.0,"(0.6742207000000003, 0.4132486839168095)",0.6742207000000003,0.4132486839168095,1.0
SIU_APSU_NCAAB_homeCover,0.825056,-112.0,"(0.62911872, 0.3533842534414629)",0.62911872,0.3533842534414629,1.0
DUKE_HOF_NCAAB_awayWin,0.27113900000000013,800.0,"(0.18003137500000016, 0.25929036787512544)",0.18003137500000016,0.25929036787512544,1.0
BOIS_NWST_NCAAB_awayCover,0.775901,-110.0,"(0.5293920999999999, 0.2547781777658272)",0.5293920999999999,0.2547781777658272,1.0
PHX_GS_NBA_under,0.7406139999999999,-108.0,"(0.46047711999999974, 0.1963325722624946)",0.46047711999999974,0.1963325722624946,1.0
BOIS_NWST_NCAAB_under,0.743268,-110.0,"(0.4608628000000001, 0.19308592765803648)",0.4608628000000001,0.19308592765803648,1.0
MD_ALCN_NCAAB_over,0.73922,-112.0,"(0.4471464, 0.17851777056514279)",0.4471464,0.17851777056514279,1.0
UML_LIU_NCAAB_under,0.7141740000000001,-110.0,"(0.39976540000000016, 0.14528397730650927)",0.39976540000000016,0.14528397730650927,1.0
UIC_GB_NCAAB_under,0.7096229999999999,-110.0,"(0.3902082999999998, 0.1384204703535362)",0.3902082999999998,0.1384204703535362,1.0
HALL_MONM_NCAAB_awayCover,0.704149,-108.0,"(0.38462992000000007, 0.13698164385111714)",0.38462992000000007,0.13698164385111714,1.0
HALL_MONM_NCAAB_over,0.68304,-110.0,"(0.33438399999999996, 0.10164787223272727)",0.33438399999999996,0.10164787223272727,1.0
LAC_SAC_NBA_under,0.6799909999999999,-110.0,"(0.3279810999999998, 0.09779236541564539)",0.3279810999999998,0.09779236541564539,1.0
DUKE_HOF_NCAAB_awayCover,0.669878,-108.0,"(0.31334623999999994, 0.09091283900197925)",0.31334623999999994,0.09091283900197925,1.0
DUKE_HOF_NCAAB_over,0.659917,-110.0,"(0.28582569999999996, 0.07426939161862728)",0.28582569999999996,0.07426939161862728,1.0
USF_UAPB_NCAAB_awayCover,0.6535359999999999,-108.0,"(0.2793548799999998, 0.07225847127760582)",0.2793548799999998,0.07225847127760582,1.0
CIN_BRY_NCAAB_under,0.655345,-110.0,"(0.2762244999999999, 0.06936361309113631)",0.2762244999999999,0.06936361309113631,1.0
PHX_GS_NBA_awayWin,0.5444775,136.0,"(0.20953448529411756, 0.0597103927173603)",0.20953448529411756,0.0597103927173603,1.0
BOS_CLE_NBA_awayWin,0.2970440000000001,400.0,"(0.12130500000000011, 0.058859612100000104)",0.12130500000000011,0.058859612100000104,1.0
SIU_APSU_NCAAB_homeWin,0.963346,-800.0,"(0.6701140000000003, 0.05613159662450001)",0.6701140000000003,0.05613159662450001,1.0
DAL_LAL_NBA_homeCover,0.6335339999999999,-108.0,"(0.23775071999999986, 0.052338337833813274)",0.23775071999999986,0.052338337833813274,1.0
LAC_SAC_NBA_awayWin,0.5364905,136.0,"(0.19567469117647057, 0.052072475283129735)",0.19567469117647057,0.052072475283129735,1.0
MINN_IUPU_NCAAB_over,0.622153,-105.0,"(0.2254136499999999, 0.04839172724411663)",0.2254136499999999,0.04839172724411663,1.0
WRST_WKU_NCAAB_awayWin,0.4307684999999999,205.0,"(0.15309459756097543, 0.04804780939483189)",0.15309459756097543,0.04804780939483189,1.0
DAL_LAL_NBA_homeWin,0.5985769999999999,102.0,"(0.2050250392156861, 0.0428759720395015)",0.2050250392156861,0.0428759720395015,1.0
PHX_GS_NBA_awayCover,0.627802,-112.0,"(0.21094023999999995, 0.03972837933147996)",0.21094023999999995,0.03972837933147996,1.0
GTWN_COPP_NCAAB_homeCover,0.621718,-110.0,"(0.20560779999999995, 0.038431424928036376)",0.20560779999999995,0.038431424928036376,1.0
LAC_SAC_NBA_awayCover,0.6200300000000001,-110.0,"(0.20206300000000016, 0.037117687244545526)",0.20206300000000016,0.037117687244545526,1.0
TTU_ORU_NCAAB_under,0.613604,-110.0,"(0.18856840000000008, 0.03232549225323639)",0.18856840000000008,0.03232549225323639,1.0
GTWN_COPP_NCAAB_under,0.6052949999999999,-110.0,"(0.1711194999999998, 0.02661989389113632)",0.1711194999999998,0.02661989389113632,1.0
MD_ALCN_NCAAB_awayCover,0.603719,-110.0,"(0.1678099, 0.0256001477618273)",0.1678099,0.0256001477618273,1.0
MINN_IUPU_NCAAB_homeCover,0.596965,-108.0,"(0.16168719999999992, 0.024206250596148136)",0.16168719999999992,0.024206250596148136,1.0
DAL_LAL_NBA_under,0.583719,-110.0,"(0.12580989999999997, 0.014389209943645452)",0.12580989999999997,0.014389209943645452,1.0
WRST_WKU_NCAAB_awayCover,0.5771129999999999,-110.0,"(0.11193729999999974, 0.011390871937536315)",0.11193729999999974,0.011390871937536315,1.0
CHI_DEN_NBA_awayCover,0.567577,-110.0,"(0.09191169999999999, 0.007679782360809088)",0.09191169999999999,0.007679782360809088,1.0
WRST_WKU_NCAAB_under,0.564606,-110.0,"(0.0856726000000001, 0.006672540355236379)",0.0856726000000001,0.006672540355236379,1.0
UIC_GB_NCAAB_homeCover,0.565509,-112.0,"(0.0788790800000001, 0.005555276126470016)",0.0788790800000001,0.005555276126470016,1.0
TTU_ORU_NCAAB_awayCover,0.5477770000000001,-108.0,"(0.05937616000000012, 0.0032643781262459495)",0.05937616000000012,0.0032643781262459495,1.0
LT_SELA_NCAAB_under,0.5454650000000001,-110.0,"(0.0454765000000002, 0.0018801018656818378)",0.0454765000000002,0.0018801018656818378,1.0
BOS_CLE_NBA_under,0.543108,-110.0,"(0.040526800000000085, 0.0014931104711272806)",0.040526800000000085,0.0014931104711272806,1.0
LT_SELA_NCAAB_homeCover,0.5426369999999999,-110.0,"(0.03953769999999979, 0.0014211179284454424)",0.03953769999999979,0.0014211179284454424,1.0
USF_UAPB_NCAAB_over,0.541323,-112.0,"(0.027604760000000006, 0.0006803774773728565)",0.027604760000000006,0.0006803774773728565,1.0
NCAT_NCCU_NCAAB_awayCover,0.534686,-112.0,"(0.013534319999999989, 0.00016355162309142818)",0.013534319999999989,0.00016355162309142818,1.0
NCAT_NCCU_NCAAB_awayWin,0.6754415,-245.0,"(-0.11972682499999987, 0)",-0.11972682499999987,0.0,1.0
CHI_DEN_NBA_over,0.4904009999999999,-110.0,"(-0.07015790000000027, 0)",-0.07015790000000027,0.0,1.0
CHI_DEN_NBA_under,0.48495900000000003,-110.0,"(-0.0815861, 0)",-0.0815861,0.0,1.0
CHI_DEN_NBA_awayWin,0.7360865,-298.0,"(-0.05037573000000006, 0)",-0.05037573000000006,0.0,1.0
CIN_BRY_NCAAB_homeCover,0.5109,-110.0,"(-0.027109999999999967, 0)",-0.027109999999999967,0.0,1.0
NCAT_NCCU_NCAAB_under,0.506267,-108.0,"(-0.026964639999999984, 0)",-0.026964639999999984,0.0,1.0
UML_LIU_NCAAB_awayCover,0.49723100000000003,-112.0,"(-0.06587028, 0)",-0.06587028,0.0,1.0
UML_LIU_NCAAB_homeCover,0.5026269999999999,-108.0,"(-0.034535840000000095, 0)",-0.034535840000000095,0.0,1.0
GTWN_COPP_NCAAB_homeWin,0.955719,-3200.0,"(-0.4612730000000005, 0)",-0.4612730000000005,0.0,1.0
SIU_APSU_NCAAB_under,0.49374100000000004,-110.0,"(-0.06314389999999998, 0)",-0.06314389999999998,0.0,1.0
SPU_UMBC_NCAAB_under,0.499868,-108.0,"(-0.04027456000000007, 0)",-0.04027456000000007,0.0,1.0
SPU_UMBC_NCAAB_over,0.49995000000000006,-112.0,"(-0.060105999999999826, 0)",-0.060105999999999826,0.0,1.0
NCAT_NCCU_NCAAB_over,0.49355800000000005,-112.0,"(-0.07365703999999984, 0)",-0.07365703999999984,0.0,1.0
BOS_CLE_NBA_awayCover,0.520086,-110.0,"(-0.00781939999999992, 0)",-0.00781939999999992,0.0,1.0
