homeTeamAbbrev,awayTeamAbbrev,sport,,probability,odds,kelly,unitPercent,unitReturn
BOS,ORL,NBA,homeCover,0.539031,-108.0,"(0.04118448000000008, 0.0015705198082133426)",0.04118448000000008,0.0015705198082133426
BOS,ORL,NBA,awayCover,0.460898,-112.0,"(-0.14289623999999995, 0)",-0.14289623999999995,0.0
BOS,ORL,NBA,over,0.300522,-108.0,"(-0.4549142400000001, 0)",-0.4549142400000001,0.0
BOS,ORL,NBA,under,0.67772,-112.0,"(0.3167664, 0.08959013586514282)",0.3167664,0.08959013586514282
BOS,ORL,NBA,homeWin,0.6458419999999999,-180.0,"(0.008357599999999743, 3.880526542221953e-05)",0.008357599999999743,3.880526542221953e-05
BOS,ORL,NBA,awayWin,0.3541580000000001,150.0,"(-0.07640333333333321, 0)",-0.07640333333333321,0.0
CHA,NO,NBA,homeCover,0.568206,-110.0,"(0.09323259999999994, 0.007902107002509082)",0.09323259999999994,0.007902107002509082
CHA,NO,NBA,awayCover,0.431747,-110.0,"(-0.19333129999999998, 0)",-0.19333129999999998,0.0
CHA,NO,NBA,over,0.42454,-110.0,"(-0.2084660000000001, 0)",-0.2084660000000001,0.0
CHA,NO,NBA,under,0.5754130000000001,-110.0,"(0.10836730000000011, 0.010675883372081854)",0.10836730000000011,0.010675883372081854
CHA,NO,NBA,homeWin,0.36363799999999996,275.0,"(0.1322336363636363, 0.0480857701113636)",0.1322336363636363,0.0480857701113636
CHA,NO,NBA,awayWin,0.6363620000000001,-345.0,"(-0.6181890999999995, 0)",-0.6181890999999995,0.0
MEM,HOU,NBA,homeCover,0.367231,-108.0,"(-0.31615952, 0)",-0.31615952,0.0
MEM,HOU,NBA,awayCover,0.6326769999999999,-112.0,"(0.22127523999999987, 0.043716724854515644)",0.22127523999999987,0.043716724854515644
MEM,HOU,NBA,over,0.496459,-108.0,"(-0.047365280000000065, 0)",-0.047365280000000065,0.0
MEM,HOU,NBA,under,0.478858,-112.0,"(-0.10482103999999992, 0)",-0.10482103999999992,0.0
MEM,HOU,NBA,homeWin,0.289691,136.0,"(-0.23259502941176474, 0)",-0.23259502941176474,0.0
MEM,HOU,NBA,awayWin,0.7103090000000001,-162.0,"(0.24100958000000017, 0.035855319538133645)",0.24100958000000017,0.035855319538133645
PHI,DET,NBA,homeCover,0.607637,-108.0,"(0.18388496, 0.03130896158722373)",0.18388496,0.03130896158722373
PHI,DET,NBA,awayCover,0.368884,-112.0,"(-0.33796592000000003, 0)",-0.33796592000000003,0.0
PHI,DET,NBA,over,0.519906,-108.0,"(0.0014044799999999302, 1.8264482133332328e-06)",0.0014044799999999302,1.8264482133332328e-06
PHI,DET,NBA,under,0.45550599999999997,-112.0,"(-0.15432728000000007, 0)",-0.15432728000000007,0.0
PHI,DET,NBA,homeWin,0.9003674999999999,-1200.0,"(-0.2952225000000016, 0)",-0.2952225000000016,0.0
PHI,DET,NBA,awayWin,0.09963250000000012,750.0,"(-0.020416499999999865, 0)",-0.020416499999999865,0.0
PHX,NY,NBA,homeCover,0.38912300000000005,-108.0,"(-0.27062415999999984, 0)",-0.27062415999999984,0.0
PHX,NY,NBA,awayCover,0.587067,-112.0,"(0.12458204000000006, 0.013857754188001437)",0.12458204000000006,0.013857754188001437
PHX,NY,NBA,over,0.234896,-110.0,"(-0.6067184, 0)",-0.6067184,0.0
PHX,NY,NBA,under,0.765011,-110.0,"(0.5065231, 0.2332415007578273)",0.5065231,0.2332415007578273
PHX,NY,NBA,homeWin,0.522226,-192.0,"(-0.3951000800000001, 0)",-0.3951000800000001,0.0
PHX,NY,NBA,awayWin,0.47777400000000003,160.0,"(0.15138275000000007, 0.03666677919610003)",0.15138275000000007,0.03666677919610003
SA,LAL,NBA,homeCover,0.515165,-112.0,"(-0.027850200000000047, 0)",-0.027850200000000047,0.0
SA,LAL,NBA,awayCover,0.48482,-108.0,"(-0.07157439999999998, 0)",-0.07157439999999998,0.0
SA,LAL,NBA,over,0.421298,-110.0,"(-0.21527420000000003, 0)",-0.21527420000000003,0.0
SA,LAL,NBA,under,0.554577,-110.0,"(0.06461169999999994, 0.0037951561608090835)",0.06461169999999994,0.0037951561608090835
SA,LAL,NBA,homeWin,0.3368305,260.0,"(0.08176530769230766, 0.017382470409246144)",0.08176530769230766,0.017382470409246144
SA,LAL,NBA,awayWin,0.6631695,-325.0,"(-0.43152962500000003, 0)",-0.43152962500000003,0.0
TOR,ATL,NBA,homeCover,0.33522,-108.0,"(-0.38274239999999987, 0)",-0.38274239999999987,0.0
TOR,ATL,NBA,awayCover,0.642103,-112.0,"(0.24125836, 0.05196928238383)",0.24125836,0.05196928238383
TOR,ATL,NBA,over,0.34749500000000005,-108.0,"(-0.3572103999999999, 0)",-0.3572103999999999,0.0
TOR,ATL,NBA,under,0.629498,-112.0,"(0.21453576000000002, 0.04109427885605141)",0.21453576000000002,0.04109427885605141
TOR,ATL,NBA,homeWin,0.3926489999999999,-125.0,"(-0.36653975000000016, 0)",-0.36653975000000016,0.0
TOR,ATL,NBA,awayWin,0.6073510000000001,105.0,"(0.2333995714285716, 0.05719912794019289)",0.2333995714285716,0.05719912794019289
WSH,IND,NBA,homeCover,0.391445,-105.0,"(-0.24753775000000006, 0)",-0.24753775000000006,0.0
WSH,IND,NBA,awayCover,0.60848,-115.0,"(0.15823200000000004, 0.021771622455652177)",0.15823200000000004,0.021771622455652177
WSH,IND,NBA,over,0.400916,-110.0,"(-0.25807639999999993, 0)",-0.25807639999999993,0.0
WSH,IND,NBA,under,0.574673,-110.0,"(0.10681329999999994, 0.010371891869899988)",0.10681329999999994,0.010371891869899988
WSH,IND,NBA,homeWin,0.2122835,280.0,"(-0.0690438214285714, 0)",-0.0690438214285714,0.0
WSH,IND,NBA,awayWin,0.7877164999999999,-355.0,"(0.03411007499999974, 0.0003277456947903138)",0.03411007499999974,0.0003277456947903138
BRAD,CLEV,NCAAB,homeCover,0.267378,-110.0,"(-0.5385062, 0)",-0.5385062,0.0
BRAD,CLEV,NCAAB,awayCover,0.7324689999999999,-110.0,"(0.4381848999999998, 0.174550915080009)",0.4381848999999998,0.174550915080009
BRAD,CLEV,NCAAB,over,0.5534079999999999,-112.0,"(0.053224959999999766, 0.0025293717562514012)",0.053224959999999766,0.0025293717562514012
BRAD,CLEV,NCAAB,under,0.41962400000000005,-108.0,"(-0.20718208, 0)",-0.20718208,0.0
BRAD,CLEV,NCAAB,homeWin,0.5107855,-470.0,"(-1.78852265, 0)",-1.78852265,0.0
BRAD,CLEV,NCAAB,awayWin,0.4892145,360.0,"(0.3473296388888889, 0.43429636098246943)",0.3473296388888889,0.43429636098246943
GONZ,CONN,NCAAB,homeCover,0.39386199999999993,-110.0,"(-0.2728898000000002, 0)",-0.2728898000000002,0.0
GONZ,CONN,NCAAB,awayCover,0.5795039999999999,-110.0,"(0.1169583999999998, 0.012435697573236329)",0.1169583999999998,0.012435697573236329
GONZ,CONN,NCAAB,over,0.6641699999999999,-115.0,"(0.2779654999999998, 0.06718679929586949)",0.2779654999999998,0.06718679929586949
GONZ,CONN,NCAAB,under,0.335638,-105.0,"(-0.36194210000000004, 0)",-0.36194210000000004,0.0
GONZ,CONN,NCAAB,homeWin,0.3059865,154.0,"(-0.14467161688311692, 0)",-0.14467161688311692,0.0
GONZ,CONN,NCAAB,awayWin,0.6940135000000001,-185.0,"(0.12793847500000022, 0.008847704532608464)",0.12793847500000022,0.008847704532608464
NMSU,UNM,NCAAB,homeCover,0.172325,-110.0,"(-0.7381175, 0)",-0.7381175,0.0
NMSU,UNM,NCAAB,awayCover,0.827602,-110.0,"(0.6379641999999999, 0.3699984731651272)",0.6379641999999999,0.3699984731651272
NMSU,UNM,NCAAB,over,0.45202899999999996,-110.0,"(-0.15073910000000007, 0)",-0.15073910000000007,0.0
NMSU,UNM,NCAAB,under,0.547898,-110.0,"(0.05058579999999996, 0.0023262937833090896)",0.05058579999999996,0.0023262937833090896
NMSU,UNM,NCAAB,homeWin,0.026692,800.0,"(-0.09497149999999999, 0)",-0.09497149999999999,0.0
NMSU,UNM,NCAAB,awayWin,0.973308,-1350.0,"(0.6129659999999992, 0.027831653122666528)",0.6129659999999992,0.027831653122666528
USD,PRST,NCAAB,homeCover,0.558922,-110.0,"(0.07373620000000003, 0.004942751991309101)",0.07373620000000003,0.004942751991309101
USD,PRST,NCAAB,awayCover,0.44089199999999995,-110.0,"(-0.17412680000000014, 0)",-0.17412680000000014,0.0
