homeTeamAbbrev,awayTeamAbbrev,sport,index,probability,odds,kelly,unitPercent,unitReturn
MRST,QUIN,NCAAB,under,0.9321119999999999,-110.0,"(0.8574351999999998, 0.6683592019991271)",0.8574351999999998,0.6683592019991271
MIN,PHI,NHL,awayCover,0.8769380000000001,-245.0,"(0.5754361000000003, 0.1351537572176369)",0.5754361000000003,0.1351537572176369
SA,CHA,NBA,homeWin,0.820233,-142.0,"(0.56496386, 0.22477757965218279)",0.56496386,0.22477757965218279
SA,CHA,NBA,homeCover,0.7904300000000001,-110.0,"(0.5599030000000002, 0.28499215400818206)",0.5599030000000002,0.28499215400818206
NEV,BOIS,NCAAB,under,0.761367,-110.0,"(0.4988707, 0.22624725028953646)",0.4988707,0.22624725028953646
ATL,IND,NBA,over,0.7614780000000001,-112.0,"(0.4943333600000002, 0.2181834560793659)",0.4943333600000002,0.2181834560793659
CAN,SIE,NCAAB,homeCover,0.746336,-108.0,"(0.47237888, 0.20661278358338372)",0.47237888,0.20661278358338372
MIN,POR,NBA,homeCover,0.7430640000000001,-112.0,"(0.45529568000000015, 0.18508406805952007)",0.45529568000000015,0.18508406805952007
MEM,LAC,NBA,under,0.7395640000000001,-110.0,"(0.4530844000000002, 0.18662315774850932)",0.4530844000000002,0.18662315774850932
USF,RICE,NCAAB,homeCover,0.729395,-105.0,"(0.44525975, 0.1888154714000595)",0.44525975,0.1888154714000595
USF,RICE,NCAAB,homeWin,0.822036,-245.0,"(0.3860242, 0.060822319585975476)",0.3860242,0.060822319585975476
VILL,DEP,NCAAB,homeCover,0.7123540000000002,-115.0,"(0.3815611000000003, 0.12659902002887843)",0.3815611000000003,0.12659902002887843
PHI,SAC,NBA,under,0.700238,-110.0,"(0.37049980000000005, 0.12479100163640004)",0.37049980000000005,0.12479100163640004
AKR,BUFF,NCAAB,over,0.700072,-112.0,"(0.3641526400000001, 0.11839923680265144)",0.3641526400000001,0.11839923680265144
PHI,SAC,NBA,homeCover,0.696644,-112.0,"(0.3568852800000001, 0.11372062775060576)",0.3568852800000001,0.11372062775060576
UNF,JAX,NCAAB,homeCover,0.691223,-110.0,"(0.35156830000000006, 0.1123638814226273)",0.35156830000000006,0.1123638814226273
YSU,WRST,NCAAB,over,0.686129,-110.0,"(0.3408709, 0.10562997315164548)",0.3408709,0.10562997315164548
PHI,SAC,NBA,homeWin,0.6769360000000001,-108.0,"(0.3280268800000002, 0.09963114259493938)",0.3280268800000002,0.09963114259493938
UNF,JAX,NCAAB,homeWin,0.7651790000000002,-198.0,"(0.30023342000000053, 0.045525306305503395)",0.30023342000000053,0.045525306305503395
MIN,POR,NBA,under,0.6614220000000001,-110.0,"(0.28898620000000014, 0.07592093071858191)",0.28898620000000014,0.07592093071858191
DEN,NO,NBA,awayCover,0.6496089999999999,-110.0,"(0.2641788999999997, 0.06344590109564535)",0.2641788999999997,0.06344590109564535
DEN,NO,NBA,awayWin,0.4515840000000001,270.0,"(0.2484669629629631, 0.16668674554690394)",0.2484669629629631,0.16668674554690394
CAN,SIE,NCAAB,homeWin,0.8962159999999999,-625.0,"(0.2475659999999993, 0.009806227896959934)",0.2475659999999993,0.009806227896959934
RMU,PFW,NCAAB,awayCover,0.644803,-112.0,"(0.24698236000000007, 0.05446454120640145)",0.24698236000000007,0.05446454120640145
KENN,FGCU,NCAAB,over,0.640274,-110.0,"(0.2445754, 0.05437920571378186)",0.2445754,0.05437920571378186
RMU,PFW,NCAAB,awayWin,0.7134659999999999,-166.0,"(0.23781955999999987, 0.03407117055336956)",0.23781955999999987,0.03407117055336956
CHI,GS,NBA,under,0.634636,-110.0,"(0.23273559999999993, 0.04924169046123635)",0.23273559999999993,0.04924169046123635
KENN,FGCU,NCAAB,homeCover,0.634551,-110.0,"(0.23255709999999996, 0.04916618614582726)",0.23255709999999996,0.04916618614582726
USF,RICE,NCAAB,over,0.633573,-112.0,"(0.22317476000000014, 0.04447051205451578)",0.22317476000000014,0.04447051205451578
YSU,WRST,NCAAB,homeWin,0.643557,-122.0,"(0.2086965400000001, 0.035700201481943965)",0.2086965400000001,0.035700201481943965
DAL,NSH,NHL,awayCover,0.7020299999999999,-166.0,"(0.20739979999999986, 0.025912456048216823)",0.20739979999999986,0.025912456048216823
YSU,WRST,NCAAB,homeCover,0.6209300000000001,-110.0,"(0.20395300000000016, 0.03781529655363646)",0.20395300000000016,0.03781529655363646
NEV,BOIS,NCAAB,homeCover,0.617748,-112.0,"(0.18962575999999992, 0.03210529362105139)",0.18962575999999992,0.03210529362105139
MIA,ORL,NBA,under,0.6051589999999999,-110.0,"(0.17083389999999976, 0.026531110353827204)",0.17083389999999976,0.026531110353827204
QUOC,STET,NCAAB,over,0.6005010000000001,-108.0,"(0.16904208000000015, 0.026458541491413377)",0.16904208000000015,0.026458541491413377
