homeTeamAbbrev,awayTeamAbbrev,sport,bookie,betType,probability,odds,unitPercent,unitReturn,vegasProbability,redFlag
DET,MIL,NBA,DraftKings,homeWin,0.414056,550.0,0.3075207272727273,0.5201294873629091,0.1475409836065574,True
DET,MIL,NBA,FanDuel,homeWin,0.414056,540.0,0.30554785185185185,0.5041412447649185,0.1475409836065574,True
UAPB,BCU,NCAAB,BetMGM,over,0.767365,-105.0,0.5230982499999999,0.26060169443148795,0.5,True
UAPB,BCU,NCAAB,FanDuel,over,0.7846770000000001,-115.0,0.5370555500000002,0.2508075337267849,0.5,True
ALCN,PV,NCAAB,DraftKings,awayWin,0.668425,130.0,0.4133673076923078,0.22213429038942314,0.4185661002900953,True
ALCN,PV,NCAAB,FanDuel,awayWin,0.668425,125.0,0.4031650000000001,0.2031775215312501,0.4185661002900953,True
ALCN,PV,NCAAB,FanDuel,awayCover,0.7264630000000001,-102.0,0.44745526000000013,0.19629040166830172,0.5,True
ALCN,PV,NCAAB,BetMGM,awayCover,0.744688,-115.0,0.4510792,0.17693256058490434,0.5,True
PHX,CHI,NBA,BetMGM,under,0.7414590000000001,-115.0,0.4441368500000002,0.17152829698080233,0.5,True
PHX,CHI,NBA,DraftKings,under,0.7231350000000001,-108.0,0.4241208000000002,0.16655412314133353,0.5,True
ALCN,PV,NCAAB,DraftKings,awayCover,0.7264630000000001,-110.0,0.4255723000000002,0.16464707502480924,0.5,True
ARI,PIT,NHL,FanDuel,homeCover,0.856655,-200.0,0.5699650000000002,0.16243005061250013,0.6441760947300545,True
ARI,PIT,NHL,DraftKings,homeCover,0.856655,-205.0,0.5627977500000001,0.15450795483173782,0.6441760947300545,True
LAM,TAMC,NCAAB,FanDuel,over,0.719293,-110.0,0.4105152999999999,0.1532025559400818,0.5,True
SELA,NWST,NCAAB,DraftKings,awayWin,0.5109980000000001,205.0,0.2724604390243903,0.1521811162083952,0.3153153153153153,False
ARI,PIT,NHL,BetMGM,homeCover,0.856655,-210.0,0.5556305000000001,0.14701202501440494,0.6441760947300545,True
SELA,NWST,NCAAB,BetMGM,awayWin,0.5109980000000001,200.0,0.2664970000000001,0.1420413020180001,0.3153153153153153,False
LAM,TAMC,NCAAB,BetMGM,over,0.700223,-105.0,0.3854571500000001,0.1415021090344024,0.5,True
PHI,SA,NBA,DraftKings,homeCover,0.708177,-110.0,0.3871716999999999,0.1362744775280818,0.5,True
PHI,SA,NBA,FanDuel,homeCover,0.708177,-112.0,0.3813352399999999,0.1298362189873728,0.5,True
LAM,TAMC,NCAAB,DraftKings,over,0.700223,-110.0,0.3704683000000001,0.12476978300444551,0.5,True
SELA,NWST,NCAAB,FanDuel,awayWin,0.5109980000000001,190.0,0.2536285263157896,0.1222221157861264,0.3153153153153153,False
PHI,SA,NBA,BetMGM,under,0.6997829999999999,-115.0,0.35453344999999986,0.10929910188600207,0.5,False
MTST,IDST,NCAAB,BetMGM,homeCover,0.685048,-110.0,0.3386008,0.1042277288733091,0.5,False
PHI,SA,NBA,DraftKings,under,0.681197,-110.0,0.3305137000000001,0.0993084598979001,0.5,False
MTST,IDST,NCAAB,FanDuel,homeCover,0.685048,-115.0,0.32285319999999995,0.09063842500020862,0.5,False
DET,MIL,NBA,BetMGM,homeCover,0.6528679999999999,-105.0,0.2883793999999998,0.07920255080415227,0.5,False
AMCC,MCN,NCAAB,BetMGM,under,0.673011,-115.0,0.29697365000000003,0.0766898685168022,0.5,False
NSH,FLA,NHL,FanDuel,homeCover,0.8342420000000002,-245.0,0.42813490000000054,0.07481611942775934,0.6824849800691548,False
DET,MIL,NBA,FanDuel,homeCover,0.6528679999999999,-108.0,0.2779654399999998,0.07154146836517916,0.5,False
NSH,FLA,NHL,DraftKings,homeCover,0.8342420000000002,-250.0,0.4198470000000005,0.07050860136360015,0.6824849800691548,False
AMCC,MCN,NCAAB,FanDuel,under,0.6528930000000001,-110.0,0.27107530000000013,0.06680165297280918,0.5,False
SELA,NWST,NCAAB,BetMGM,awayCover,0.637746,-105.0,0.25737930000000003,0.06308962292237147,0.5,False
DET,MIL,NBA,DraftKings,homeCover,0.6528679999999999,-112.0,0.2640801599999998,0.062266366880022725,0.5,False
MONT,WEB,NCAAB,FanDuel,under,0.6475660000000001,-110.0,0.2598886000000002,0.061401894918145565,0.5,False
AMCC,MCN,NCAAB,FanDuel,awayCover,0.642708,-108.0,0.2568326399999999,0.06107685645311998,0.5,False
SELA,NWST,NCAAB,FanDuel,awayCover,0.637746,-106.0,0.2537567600000001,0.06074763513745059,0.5,False
