oddsHomeTeam,oddsAwayTeam,bookie,homeScoreOddsImplied,awayScoreOddsImplied,sport,homeMoneyLine,awayMoneyLine,gameLine,homeCover,awayCover,overUnder,over,under,homeTeamAbbrev,awayTeamAbbrev,homeScore,awayScore,homeTeam,awayTeam,homeGameScoreStd,awayGameScoreStd,season,p_homeCover,p_awayCover,p_over,p_under,p_homeWin,p_awayWin,p_homeCoverOver,p_homeCoverUnder,p_awayCoverOver,p_awayCoverUnder,p_homeWinOver,p_homeWinUnder,p_awayWinOver,p_awayWinUnder,p_homeCoverAwayWin,p_awayCoverHomeWin,p_homeCoverOverAwayWin,p_homeCoverUnderAwayWin,p_awayCoverOverHomeWin,p_awayCoverUnderHomeWin,k_homeCover,r_homeCover,k_awayCover,r_awayCover,k_over,r_over,k_under,r_under,k_homeWin,r_homeWin,k_awayWin,r_awayWin,k_homeCoverOver,r_homeCoverOver,k_awayCoverOver,r_awayCoverOver,k_homeCoverUnder,r_homeCoverUnder,k_awayCoverUnder,r_awayCoverUnder,k_homeWinOver,r_homeWinOver,k_awayWinOver,r_awayWinOver,k_homeWinUnder,r_homeWinUnder,k_awayWinUnder,r_awayWinUnder
Texas Longhorns,Texas State Bobcats,DraftKings,78.5,59.5,NCAAB,-6500.0,2000.0,19.0,-110.0,-110.0,138.0,-110.0,-110.0,TEX,TXST,82.9345665867536,57.5418691535578,Texas Longhorns,Texas State Bobcats,12.940891262454324,14.820031488945403,2024.0,0.584555,0.40734700000000007,0.5107799999999999,0.480978,0.7194565,0.28054349999999995,0.21465099999999998,0.364495,0.293012,0.111575,0.27699000000000007,0.432869,0.229999,0.045701000000000006,0.0,0.123727,0.0,0.0,0.059222000000000004,0.063466,0.1275655000000001,0.014793597082045487,-0.24457129999999977,0.0,-0.02736200000000022,0.0,-0.08994619999999998,0.0,-17.515870999999997,0.0,0.24457067499999996,1.196296301399112,-0.08282968181818184,0.0,0.025213515151515153,0.0016783043542206064,0.12377340909090911,0.04044442194668184,-0.2249496212121212,0.0,-0.49216957446808496,0.0,0.2103008419033001,1.7288117000737075,-0.17046185106382988,0.0,0.021288132258889748,0.017714985039563792
Hofstra Pride,South Florida Bulls,DraftKings,76.0,70.5,NCAAB,-225.0,185.0,5.5,-110.0,-110.0,146.5,-112.0,-108.0,HOF,USF,72.79105360284585,72.65463943973694,Hofstra Pride,South Florida Bulls,19.82548864467153,21.85482402888052,2024.0,0.45115099999999997,0.548802,0.345086,0.654867,0.505377,0.49462300000000003,0.16356300000000001,0.287588,0.181523,0.36727899999999997,0.17156900000000003,0.32449700000000004,0.171352,0.313913,0.0,0.044915,0.0,0.0,0.008006,0.036909000000000004,-0.15258290000000008,0.0,0.052484200000000036,0.002504173863309098,-0.38841768,0.0,0.28212335999999993,0.07369776875712,-0.6075247500000003,0.0,0.2214462432432433,0.09072111149610954,-0.15691094636015324,0.0,-0.13206972030651343,0.0,0.021762626865671653,0.0012692799672931376,0.13118907462686563,0.04612433644789491,-0.3072928497109826,0.0,-0.017406086560364492,0.0,-0.054999067415730296,0.0,0.1611096592427617,0.11654388713292138
Miami Heat,Indiana Pacers,DraftKings,120.25,118.25,NBA,-130.0,110.0,2.0,-110.0,-110.0,238.5,-110.0,-110.0,MIA,IND,125.79374425599492,118.68160696527076,Miami Heat,Indiana Pacers,17.32629947781035,17.525602187261462,2024.0,0.510612,0.479929,0.465631,0.534381,0.5362115000000001,0.46378849999999994,0.22453099999999998,0.28608100000000003,0.237771,0.242158,0.231327,0.29797799999999997,0.22774899999999998,0.22914500000000004,0.0,0.009222,0.0,0.0,0.0034669999999999996,0.005755000000000001,-0.02771480000000015,0.0,-0.09214909999999993,0.0,-0.12217489999999998,0.0,0.022200099999999945,0.0004480404000090927,-0.06671354999999979,0.0,-0.0236765000000001,0.0,-0.06920725757575757,0.0,-0.05095210606060607,0.0,0.015657136363636415,0.0006471852264490962,-0.04490336363636363,0.0,-0.0916448487394958,0.0,-0.028812794019933585,0.0,0.0030107731092436363,2.1574116222519822e-05,-0.026953006644518218,0.0
New York Knicks,Detroit Pistons,DraftKings,115.75,102.25,NBA,-850.0,575.0,13.5,-110.0,-110.0,218.0,-108.0,-112.0,NY,DET,121.99702890879811,97.59879177927236,New York Knicks,Detroit Pistons,17.51082764940939,11.22024023137086,2024.0,0.387493,0.6124959999999999,0.623526,0.36791700000000005,0.520958,0.47904199999999997,0.25192400000000004,0.131747,0.371602,0.23617,0.311129,0.197992,0.305143,0.162769,0.0,0.126199,0.0,0.0,0.059204999999999994,0.066245,-0.28626470000000004,0.0,0.18624159999999984,0.03153266688232723,0.21693408000000003,0.04357443987541338,-0.3400159599999999,0.0,-3.5508989999999994,0.0,0.3884406086956521,0.8675951122821302,-0.02720883582089545,0.0,0.1371251343283582,0.05039285060504835,-0.2009169846743295,0.0,-0.05648517241379314,0.0,-0.28788926086956523,0.0,0.24723825,0.7335210271567499,-0.5180865714285714,0.0,0.09169675891341256,0.09904972211174468
Rice Owls,Tenn-Martin Skyhawks,DraftKings,84.5,79.0,NCAAB,-250.0,205.0,5.5,-110.0,-110.0,163.5,-110.0,-110.0,RICE,UTM,76.27305356121418,82.06227698254571,Rice Owls,Tenn-Martin Skyhawks,20.122363772915044,22.842942017174583,2024.0,0.40702,0.59295,0.30635100000000004,0.693619,0.452982,0.547018,0.14070499999999997,0.26631499999999997,0.16564600000000002,0.427304,0.149251,0.29770399999999997,0.15469900000000003,0.386262,0.0,0.039935,0.0,0.0,0.008546000000000002,0.031389,-0.24525800000000014,0.0,0.14519499999999996,0.01916508002272726,-0.4566629,0.0,0.35659989999999997,0.11560317152728178,-0.914563,0.0,0.3260511707317073,0.2179342001678097,-0.18478553030303035,0.0,-0.1503971818181818,0.0,-0.011595984848484897,0.0,0.21037369696969702,0.11683872387448246,-0.3601795389221557,0.0,-0.020674651452282117,0.0,-0.12283252694610786,0.0,0.25893046473029047,0.32315683042544097
Oklahoma City Thunder,Los Angeles Lakers,DraftKings,118.75,112.75,NBA,-270.0,220.0,6.0,-112.0,-108.0,231.5,-110.0,-110.0,OKC,LAL,118.32785040303528,104.66928396064138,Oklahoma City Thunder,Los Angeles Lakers,18.012707884680673,19.227087651352807,2024.0,0.44041399999999997,0.549713,0.49791799999999997,0.502122,0.506986,0.49301399999999995,0.220966,0.219448,0.272959,0.276754,0.242823,0.256692,0.248696,0.236887,0.0,0.049187999999999996,0.0,0.0,0.017863999999999998,0.031324,-0.18632232000000004,0.0,0.06340304000000002,0.0037221717418903697,-0.05437220000000009,0.0,-0.045543800000000134,0.0,-0.8241518,0.0,0.2625658181818181,0.15166977953047264,-0.07751445977011495,0.0,0.0016750447761194054,7.519477005373353e-06,-0.07961406896551729,0.0,0.006886089552238794,0.00012708085458149258,-0.22457020987654314,0.0,0.10166977690802351,0.05282075947165434,-0.20214009876543215,0.0,0.08754981800391387,0.03916799993216925
Cleveland Cavaliers,Portland Trail Blazers,DraftKings,115.75,104.25,NBA,-600.0,440.0,11.5,-110.0,-110.0,220.0,-110.0,-110.0,CLE,POR,120.9576108300016,89.96035107676506,Cleveland Cavaliers,Portland Trail Blazers,14.528088638121815,15.20618101879859,2024.0,0.423981,0.576009,0.5988600000000001,0.39236299999999996,0.5403045000000001,0.4596954999999999,0.258118,0.161645,0.34074200000000004,0.230718,0.306902,0.22146400000000005,0.285115,0.16377599999999998,0.0,0.109272,0.0,0.0,0.048783999999999994,0.059819000000000004,-0.20963990000000005,0.0,0.10961889999999996,0.010923912033827277,0.15760600000000013,0.022581501123636424,-0.2760377,0.0,-2.2178685,0.0,0.3368990227272726,0.49940418666420205,-0.022897909090909052,0.0,0.09102306060606069,0.021872921563929733,-0.1559137121212121,0.0,-0.060676696969696936,0.0,-0.2565923089430894,0.0,0.20832821160042966,0.40405999329977693,-0.41149209756097543,0.0,0.07395602148227709,0.05092098088656426
San Antonio Spurs,Atlanta Hawks,DraftKings,119.25,126.75,NBA,245.0,-305.0,-7.5,-110.0,-110.0,246.0,-110.0,-110.0,SA,ATL,108.34491765757366,136.77389149043822,San Antonio Spurs,Atlanta Hawks,18.201082708583737,16.386193973622316,2024.0,0.385784,0.614223,0.504837,0.485259,0.31622849999999997,0.6837715,0.27291299999999996,0.10955199999999998,0.231924,0.375707,0.228221,0.079081,0.267682,0.40276500000000004,0.06330000000000001,0.0,0.035758,0.027058000000000002,0.0,0.0,-0.28985360000000004,0.0,0.18986829999999993,0.032772701222627265,-0.03984230000000011,0.0,-0.08095609999999998,0.0,0.037138091836734666,0.003379132769920656,-0.2807254250000002,0.0,-0.0024987424242424727,0.0,-0.059013878787878754,0.0,-0.2277389090909091,0.0,0.1392323787878788,0.05117812999973881,0.09015677817531306,0.04543688759882507,-0.20784916883116888,0.0,-0.08566300715563509,0.0,0.01495006493506501,0.00034419684000649634
UCLA Bruins,UC Riverside Highlanders,DraftKings,74.0,54.5,NCAAB,-3200.0,1400.0,19.5,-110.0,-110.0,128.5,-112.0,-108.0,UCLA,UCR,79.17803938841237,49.033604176759056,UCLA Bruins,UC Riverside Highlanders,8.344658970463284,22.268063828421784,2024.0,0.588063,0.41183500000000006,0.542753,0.457145,0.7271445,0.27285550000000003,0.198013,0.39005,0.34474,0.067095,0.28379299999999996,0.440316,0.254313,0.015405,0.0,0.136046,0.0,0.0,0.08578,0.050266000000000005,0.1349323,0.016551568712081837,-0.23514649999999993,0.0,0.03063636000000014,0.0008380237089728607,-0.1291384,0.0,-8.004231500000001,0.0,0.22091660714285716,0.6832580623611608,-0.10926171264367818,0.0,0.09368252873563215,0.022906446256689642,0.16245671641791049,0.07073105502089554,-0.28100388059701487,0.0,-0.47010910526315797,0.0,0.22708820993063164,1.4124764189013674,-0.12502137373737382,0.0,-0.019897796701326638,0.0
Utah Utes,Hawai'i Rainbow Warriors,DraftKings,77.25,66.25,NCAAB,-650.0,470.0,11.0,-115.0,-105.0,143.5,-110.0,-110.0,UTAH,HAW,73.20275625487864,72.2014146189464,Utah Utes,Hawai'i Rainbow Warriors,12.911235417263525,14.92536990049716,2024.0,0.43207399999999996,0.559628,0.40327199999999996,0.596591,0.5316375,0.4683625,0.178472,0.253602,0.22280799999999998,0.33682,0.200885,0.32409600000000005,0.19975600000000002,0.26181299999999996,0.0,0.084746,0.0,0.0,0.020421,0.064325,-0.2210409000000001,0.0,0.09723740000000003,0.00900486853215239,-0.25312880000000004,0.0,0.15284109999999995,0.021236728953827277,-2.51271875,0.0,0.3552481382978724,0.59314582689129,-0.1411887003891051,0.0,-0.061877714285714286,0.0,-0.036825237354085605,0.0,0.0938969230769231,0.024069405805846166,-0.4650441666666667,0.0,0.11875964372469638,0.13934606741885416,-0.23915733333333322,0.0,0.18709771659919025,0.34585488889951344
