oddsHomeTeam,oddsAwayTeam,bookie,homeScoreOddsImplied,awayScoreOddsImplied,sport,homeMoneyLine,awayMoneyLine,gameLine,homeCover,awayCover,overUnder,over,under,homeTeamAbbrev,awayTeamAbbrev,homeScore,awayScore,homeTeam,awayTeam,homeGameScoreStd,awayGameScoreStd,homeScoreAvg,awayScoreAvg,season,p_homeCover,p_awayCover,p_over,p_under,p_homeWin,p_awayWin,p_homeCoverOver,p_homeCoverUnder,p_awayCoverOver,p_awayCoverUnder,p_homeWinOver,p_homeWinUnder,p_awayWinOver,p_awayWinUnder,p_homeCoverAwayWin,p_awayCoverHomeWin,p_homeCoverOverAwayWin,p_homeCoverUnderAwayWin,p_awayCoverOverHomeWin,p_awayCoverUnderHomeWin,k_homeCover,r_homeCover,k_awayCover,r_awayCover,k_over,r_over,k_under,r_under,k_homeWin,r_homeWin,k_awayWin,r_awayWin,k_homeCoverOver,r_homeCoverOver,k_awayCoverOver,r_awayCoverOver,k_homeCoverUnder,r_homeCoverUnder,k_awayCoverUnder,r_awayCoverUnder,k_homeWinOver,r_homeWinOver,k_awayWinOver,r_awayWinOver,k_homeWinUnder,r_homeWinUnder,k_awayWinUnder,r_awayWinUnder
Chicago Bulls,San Antonio Spurs,DraftKings,116.75,112.25,NBA,-192.0,160.0,4.5,-112.0,-108.0,229.0,-110.0,-110.0,CHI,SA,115.58015283610557,111.73968923370808,Chicago Bulls,San Antonio Spurs,13.201143369175416,12.966244527632336,107.56242568370986,109.3183023872679,2024.0,0.48554299999999995,0.514447,0.45389599999999997,0.524575,0.5820225,0.4179775,0.223301,0.25156300000000004,0.23059499999999997,0.273012,0.26217399999999996,0.296699,0.182005,0.21638800000000002,0.0,0.085877,0.0,0.0,0.038873,0.045136,-0.09064884000000006,0.0,-0.009950239999999999,0.0,-0.14681840000000013,0.0,0.001607499999999984,2.3491420454544984e-06,-0.22049429999999992,0.0,0.05421343750000002,0.004702554888906253,-0.07428482375478931,0.0,-0.056496417910447766,0.0,-0.03519447126436781,0.0,0.0017478208955223895,8.18707272597024e-06,-0.12615547368421065,0.0,-0.024559393939393936,0.0,-0.07345942105263159,0.0,0.01850618181818184,0.0013562159113309125
Cleveland Cavaliers,New Orleans Pelicans,DraftKings,113.5,115.5,NBA,105.0,-125.0,-2.0,-108.0,-112.0,229.0,-110.0,-110.0,CLE,NO,110.8933060779676,114.10457299561685,Cleveland Cavaliers,New Orleans Pelicans,12.843339145415,12.93878128091816,110.8460591133005,115.85714285714286,2024.0,0.46279299999999995,0.515348,0.40327399999999997,0.575283,0.43025250000000004,0.5697475,0.18514199999999997,0.267501,0.20912500000000003,0.29496100000000003,0.16786599999999996,0.242367,0.226564,0.320103,0.021712000000000006,0.0,0.008432000000000002,0.012320999999999997,0.0,0.0,-0.11739055999999998,0.0,-0.02746223999999986,0.0,-0.2531246000000002,0.0,0.10809429999999998,0.010622161538627266,-0.1123641666666666,0.0,0.03193187499999994,0.0008157157128124985,-0.11890949253731348,0.0,-0.09389224137931032,0.0,-0.005819522388059717,0.0,0.024831114942528765,0.001609284942844489,-0.11809070103092789,0.0,-0.09041796721311479,0.0,-0.017987982817869397,0.0,0.04145668852459017,0.004193523137156723
Detroit Pistons,Utah Jazz,DraftKings,117.25,118.25,NBA,-105.0,-115.0,-1.0,-110.0,-110.0,235.5,-110.0,-110.0,DET,UTAH,114.71968523422396,114.03603277472924,Detroit Pistons,Utah Jazz,14.137095000972192,14.207289202284755,108.88888888888889,110.1557519559548,2024.0,0.523524,0.45665,0.369233,0.6307829999999999,0.5134960000000001,0.48650399999999994,0.19270900000000002,0.33081499999999997,0.169396,0.287254,0.18505400000000002,0.318414,0.17652399999999996,0.299968,0.0,0.0,0.0,0.0,0.0,0.0,-0.0005996000000000334,0.0,-0.14103500000000002,0.0,-0.3246107000000001,0.0,0.22464429999999974,0.04587732865680902,0.0026668000000000802,6.773164038095674e-06,-0.10401640000000012,0.0,-0.1130830454545454,0.0,-0.14522672727272729,0.0,0.07733583333333333,0.01578939414983333,0.017274454545454565,0.0007877938987854576,-0.11346101831501829,0.0,-0.14389467704280168,0.0,0.06874879853479851,0.0129030646289408,0.02758200778210118,0.001955171583960154
Memphis Grizzlies,Indiana Pacers,DraftKings,124.75,122.25,NBA,-142.0,120.0,2.5,-110.0,-110.0,247.0,-110.0,-110.0,MEM,IND,110.7512118644932,128.88357606904125,Memphis Grizzlies,Indiana Pacers,12.657816466399437,12.427298413838788,105.25066312997347,127.29629629629628,2024.0,0.122794,0.8770789999999999,0.32670799999999994,0.65242,0.15393150000000003,0.8460685,0.041795,0.078376,0.284913,0.574044,0.049942,0.09402900000000002,0.27202400000000004,0.549654,0.0,0.024398000000000006,0.0,0.0,0.008146999999999996,0.015653,-0.8421326000000001,0.0,0.7418658999999999,0.5003318305298272,-0.41391320000000004,0.0,0.270082,0.06631298793090912,-1.04748577,0.0,0.71779225,0.6182708569920752,-0.3211614393939394,0.0,0.014046712121212168,0.0005208987205387901,-0.27072399999999996,0.0,0.4126970303030303,0.4496417344872825,-0.37230599999999997,0.0,0.04453150000000006,0.006345774375200022,-0.30862477777777775,0.0,0.40892087499999996,0.5350921024344498
Milwaukee Bucks,Orlando Magic,DraftKings,121.5,114.5,NBA,-278.0,225.0,7.0,-112.0,-108.0,236.0,-110.0,-110.0,MIL,ORL,119.82423985978957,112.58114680185909,Milwaukee Bucks,Orlando Magic,14.31954666665526,14.24930598073488,123.09578544061304,112.96153846153848,2024.0,0.49344,0.48672200000000004,0.420166,0.5603340000000001,0.639043,0.360957,0.208092,0.27551000000000003,0.20363099999999998,0.273462,0.265362,0.35227099999999995,0.147133,0.197831,0.0,0.116447,0.0,0.0,0.048827,0.065399,-0.07390719999999995,0.0,-0.06761823999999989,0.0,-0.2176514,0.0,0.0767014000000002,0.00534827705632731,-0.36441745999999986,0.0,0.07693788888888886,0.013318737180027766,-0.09532102681992338,0.0,-0.09352161194029848,0.0,-0.002072375478927191,0.0,0.0023657313432835503,1.4999115233432464e-05,-0.19378675,0.0,-0.016879884615384616,0.0,-0.052559625000000054,0.0,0.04356773076923079,0.009870365254776926
Minnesota Timberwolves,Los Angeles Lakers,DraftKings,115.5,109.5,NBA,-225.0,185.0,6.0,-112.0,-108.0,225.0,-108.0,-112.0,MIN,LAL,106.27597808794258,103.15878197889857,Minnesota Timberwolves,Los Angeles Lakers,13.733345957126662,13.5940486343739,112.74403183023873,112.40309155766944,2024.0,0.42677099999999996,0.5524180000000001,0.20649299999999998,0.778267,0.562688,0.43731200000000003,0.09006800000000001,0.329971,0.112069,0.431894,0.11544600000000001,0.428136,0.08662500000000001,0.333575,0.0,0.10467,0.0,0.0,0.021022000000000002,0.081763,-0.21524548000000004,0.0,0.06902944000000016,0.004412095913623723,-0.65049456,0.0,0.5299260400000001,0.25073357845543004,-0.4212640000000002,0.0,0.1331563243243244,0.03280162240899464,-0.2533025660377358,0.0,-0.21558081549815497,0.0,0.07026983720930235,0.012739653055268387,0.21751437735849055,0.12537813654777732,-0.3814944494382022,0.0,-0.11679927616926503,0.0,0.09757877456647407,0.016472397835397945,0.18176976082004553,0.14504667971425111
Oklahoma City Thunder,LA Clippers,DraftKings,120.25,115.75,NBA,-180.0,150.0,4.5,-110.0,-105.0,236.0,-110.0,-110.0,OKC,LAC,114.37860961883601,116.57351264192438,Oklahoma City Thunder,LA Clippers,15.719874186152934,17.079240597239192,118.35172413793104,116.27586206896552,2024.0,0.38597800000000004,0.614018,0.405887,0.57714,0.4628635,0.5371365,0.14550500000000002,0.23415500000000003,0.260382,0.342985,0.172701,0.274001,0.22625100000000004,0.29320199999999996,0.0,0.068127,0.0,0.0,0.027196,0.039846,-0.2894462,0.0,0.2087368999999999,0.04149627944915233,-0.24763730000000006,0.0,0.11199399999999998,0.01140241457818183,-0.5039822,0.0,0.22856083333333338,0.07836008180104168,-0.17816734848484847,0.0,-0.010540344322344297,0.0,-0.05593780303030296,0.0,0.10232016483516482,0.02858150604007416,-0.247247730964467,0.0,0.0210125384615385,0.00166455593269308,-0.09452641116751276,0.0,0.10572242440318297,0.042138160951758985
Portland Trail Blazers,Washington Wizards,DraftKings,122.25,118.75,NBA,-162.0,136.0,3.5,-110.0,-110.0,241.0,-110.0,-110.0,POR,WSH,114.53261068351273,115.01026417761864,Portland Trail Blazers,Washington Wizards,16.36110467770896,15.463030602467692,105.39787798408489,116.96153846153848,2024.0,0.42979899999999993,0.5702300000000001,0.298026,0.686254,0.492108,0.507892,0.135345,0.28759799999999996,0.162681,0.398656,0.151133,0.324025,0.141302,0.34976599999999997,0.0,0.053282,0.0,0.0,0.015787999999999996,0.036427,-0.19742210000000016,0.0,0.09748300000000026,0.00863903208090914,-0.47414540000000005,0.0,0.34113340000000003,0.10579272417778188,-0.3306770400000001,0.0,0.1460478823529412,0.02900877815809886,-0.19217583333333332,0.0,-0.15448528787878787,0.0,0.017748757575757557,0.000831648564075148,0.17087418181818184,0.07708268307176731,-0.2550234593301436,0.0,-0.10334130484330484,0.0,0.0005919856459329909,7.324342404305737e-07,0.1645141481481481,0.09499781634259698
Appalachian State Mountaineers,UNC Asheville Bulldogs,DraftKings,75.75,65.75,NCAAB,-550.0,410.0,10.0,-108.0,-112.0,141.5,-110.0,-110.0,APP,UNCA,78.84881419388492,65.53395080833134,Appalachian State Mountaineers,UNC Asheville Bulldogs,14.39985048689554,16.269335974045084,75.53333333333333,69.42222222222222,2024.0,0.549265,0.432436,0.555749,0.444192,0.7285634999999999,0.2714365000000001,0.287351,0.26191400000000004,0.258045,0.17439100000000002,0.38522900000000004,0.335654,0.161402,0.102295,0.0,0.15337800000000001,0.0,0.0,0.087525,0.06585300000000001,0.062471200000000005,0.0036135655828148238,-0.20323567999999997,0.0,0.0670729000000001,0.004089794467645464,-0.1671968000000001,0.0,-0.7643372500000005,0.0,0.09373808536585373,0.03602599745702994,0.02143719402985078,0.0012316028115009023,-0.026228946360153216,0.0,-0.01349122388059698,0.0,-0.14193428735632185,0.0,-0.102684492063492,0.0,0.06545257208237985,0.037442502539820406,-0.19160473015873014,0.0,-0.0004172425629290627,0.0
Arkansas Razorbacks,Abilene Christian Wildcats,DraftKings,83.75,67.75,NCAAB,-1350.0,800.0,16.0,-110.0,-110.0,151.5,-108.0,-112.0,ARK,ACU,78.00084139046548,71.23925327941657,Arkansas Razorbacks,Abilene Christian Wildcats,16.382655476000636,15.014667398006736,77.63333333333334,70.88571428571429,2024.0,0.329496,0.6539980000000001,0.459468,0.540527,0.6190485,0.3809515,0.16350599999999998,0.16599,0.287981,0.366017,0.293373,0.317042,0.158224,0.214089,0.0,0.264418,0.0,0.0,0.12188600000000001,0.142532,-0.40805840000000004,0.0,0.27339580000000013,0.06795023950694555,-0.12430656000000007,0.0,0.025917239999999953,0.0005997351153728534,-4.523796750000001,0.0,0.3035704375,0.7372400841915313,-0.14861862686567168,0.0,0.022302268656716417,0.0013330083817934342,-0.15355406130268204,0.0,0.12311163601532565,0.03955839954738577,-0.3670260654205607,0.0,0.10667617391304349,0.18583223329825393,-0.3460240194174757,0.0,0.1650920548628429,0.43717640072452824
Boston College Eagles,Lehigh Mountain Hawks,DraftKings,83.75,66.75,NCAAB,-1650.0,950.0,17.0,-118.0,-102.0,150.5,-108.0,-112.0,BC,LEH,83.83121337832416,69.63897264877676,Boston College Eagles,Lehigh Mountain Hawks,18.027075432630923,13.468378997598716,78.44,71.71428571428571,2024.0,0.43616200000000005,0.5459759999999999,0.5485509999999999,0.45137499999999997,0.7334630000000001,0.2665369999999999,0.281709,0.154453,0.25653,0.289446,0.435349,0.290738,0.10628000000000001,0.152807,0.0,0.272137,0.0,0.0,0.14332799999999998,0.128809,-0.22916683999999987,0.0,0.08287151999999981,0.0067330282618729125,0.060986079999999776,0.0034437981053392418,-0.16308500000000004,0.0,-3.6643974999999984,0.0,0.18933036842105255,0.34053688986128916,0.0011265781249999995,3.2490963756248473e-06,-0.008050071174377282,0.0,-0.18376580000000003,0.0,0.031062727272727242,0.0026534558204545414,-0.1075846538461539,0.0,0.05978052029136317,0.06868671785320292,-0.4115016039603961,0.0,0.10793448940677966,0.21994924358612208
