oddsHomeTeam,oddsAwayTeam,bookie,homeScoreOddsImplied,awayScoreOddsImplied,sport,homeMoneyLine,awayMoneyLine,gameLine,homeCover,awayCover,overUnder,over,under,homeScoreOddsImpliedAll,awayScoreOddsImpliedAll,homeTeamAbbrev,awayTeamAbbrev,homeScore,awayScore,homeTeam,awayTeam,homeGameScoreStd,awayGameScoreStd,homeScoreAvg,awayScoreAvg,season,p_homeCover,p_awayCover,p_over,p_under,p_homeWin,p_awayWin,p_tie,p_homeCoverOver,p_homeCoverUnder,p_awayCoverOver,p_awayCoverUnder,p_homeWinOver,p_homeWinUnder,p_awayWinOver,p_awayWinUnder,p_homeCoverAwayWin,p_awayCoverHomeWin,p_homeCoverOverAwayWin,p_homeCoverUnderAwayWin,p_awayCoverOverHomeWin,p_awayCoverUnderHomeWin,k_homeCover,r_homeCover,k_awayCover,r_awayCover,k_over,r_over,k_under,r_under,k_homeWin,r_homeWin,k_awayWin,r_awayWin,k_homeCoverOver,r_homeCoverOver,k_awayCoverOver,r_awayCoverOver,k_homeCoverUnder,r_homeCoverUnder,k_awayCoverUnder,r_awayCoverUnder,k_homeWinOver,r_homeWinOver,k_awayWinOver,r_awayWinOver,k_homeWinUnder,r_homeWinUnder,k_awayWinUnder,r_awayWinUnder
Minnesota Timberwolves,Memphis Grizzlies,DraftKings,113.5,100.5,NBA,-850.0,575.0,13.0,-115.0,-105.0,214.0,-110.0,-110.0,113.53571428571429,100.57142857142857,MIN,MEM,115.0012797439892,96.9632345971872,Minnesota Timberwolves,Memphis Grizzlies,12.817893245301343,14.114240087289142,112.82311320754718,107.70990566037736,2024.0,0.579908,0.39909999999999995,0.47005800000000003,0.508945,0.8150800000000001,0.1710609999999999,0.013858999999999998,0.25939100000000004,0.307612,0.19357,0.19693,0.369741,0.42787000000000003,0.08645800000000001,0.081075,0.0,0.21425999999999998,0.0,0.0,0.10057100000000001,0.10912499999999999,0.09680219999999995,0.008148405152034776,-0.23184500000000002,0.0,-0.11287819999999987,0.0,-0.031215500000000063,0.0,-0.7567399999999987,0.0,0.026897695652173814,0.004160044680532576,-0.02878370817120618,0.0,-0.10182560439560442,0.0,0.03820032684824903,0.0037503109762745527,-0.09723483516483516,0.0,-0.18801032743362844,0.0,0.009625199327165698,0.0011015426542224076,-0.0784397345132744,0.0,0.0037894659377628315,0.00017074101939129496
New York Knicks,Washington Wizards,DraftKings,123.25,111.25,NBA,-650.0,470.0,12.0,-108.0,-112.0,234.5,-110.0,-110.0,123.28571428571429,111.5,NY,WSH,132.85564727111824,104.55705544685742,New York Knicks,Washington Wizards,14.088027881550952,12.572561489116662,114.95121951219512,115.53846153846152,2024.0,0.793415,0.19148300000000001,0.557402,0.442431,0.927697,0.06525199999999998,0.007051000000000001,0.450963,0.342452,0.095143,0.09634000000000001,0.5195540000000001,0.40814300000000003,0.030796999999999998,0.034288,0.0,0.11934700000000001,0.0,0.0,0.060939,0.058408000000000015,0.5703031999999999,0.3011534628983703,-0.7140560399999998,0.0,0.07054419999999989,0.00452407650330908,-0.17089489999999996,0.0,0.45772749999999995,0.03223299450096149,-0.1336305531914894,0.0,0.24609844776119405,0.1623127152544573,-0.2515455057471264,0.0,0.09709826865671639,0.025267237720033416,-0.24988988505747126,0.0,0.11918233333333345,0.01704531429453339,-0.06730046963562752,0.0,-0.08507116666666664,0.0,-0.06345612955465586,0.0
Sacramento Kings,Indiana Pacers,DraftKings,127.0,119.5,NBA,-310.0,250.0,7.5,-110.0,-110.0,246.5,-112.0,-108.0,127.03571428571429,119.64285714285714,SAC,IND,128.71954615193863,122.63473173044208,Sacramento Kings,Indiana Pacers,13.264079273239611,12.270656028315088,116.6485686402082,125.1951219512195,2024.0,0.46544500000000005,0.534458,0.611592,0.388311,0.619205,0.35976299999999994,0.021032000000000002,0.291185,0.17426,0.31168799999999997,0.22277,0.38409200000000004,0.235113,0.206468,0.153198,0.0,0.15376,0.0,0.0,0.09290700000000002,0.060853,-0.12256549999999983,0.0,0.022361799999999987,0.0004545909993090913,0.17657504000000007,0.027838164956251455,-0.2723131199999999,0.0,-0.5612595,0.0,0.10366819999999993,0.026867739228099957,0.019608371647509615,0.0010035143029204993,0.04796692720306506,0.00600515613484381,-0.13385194029850747,0.0,-0.06724119402985071,0.0,-0.026513333333333222,0.0,0.06527013523131675,0.023942270908502785,-0.2583624838709677,0.0,0.005671519163763072,0.00018463358404710903
Toronto Raptors,Chicago Bulls,DraftKings,112.25,114.75,NBA,110.0,-130.0,-2.5,-112.0,-108.0,227.0,-110.0,-110.0,112.66071428571429,114.94642857142857,TOR,CHI,113.79140723666616,107.47156118278184,Toronto Raptors,Chicago Bulls,12.121763686645398,11.905371136498042,114.6263230556834,108.49820305480682,2024.0,0.6979299999999999,0.301919,0.37100000000000005,0.6066400000000001,0.633709,0.344345,0.021946000000000007,0.251767,0.430845,0.10529500000000001,0.189733,0.22881900000000002,0.390513,0.120235,0.21612699999999999,0.042275,0.0,0.014939999999999997,0.026394,0.0,0.0,0.35961159999999986,0.11546473469157134,-0.45200848,0.0,-0.3209,0.0,0.17394400000000015,0.027505922850909154,0.3007171818181818,0.09947390578473635,-0.5080064999999999,0.0,-0.03491231034482756,0.0,-0.2285501492537313,0.0,0.2127779501915708,0.11816633038896643,-0.11260543283582083,0.0,-0.02738731229235883,0.0,-0.2494141596638656,0.0,0.18802562458471758,0.1064144428564242,-0.1132314033613446,0.0
Utah Jazz,Oklahoma City Thunder,DraftKings,120.25,123.75,NBA,130.0,-155.0,-3.5,-108.0,-112.0,244.0,-110.0,-110.0,120.35714285714286,123.82142857142857,UTAH,OKC,113.76095279684068,119.02834190221802,Utah Jazz,Oklahoma City Thunder,12.928892859069688,12.66841450672108,115.61235554729372,121.29292452830188,2024.0,0.461382,0.53857,0.274357,0.7081660000000001,0.3751819999999999,0.6036680000000001,0.021150000000000006,0.12207100000000001,0.33102800000000004,0.136463,0.39218100000000006,0.09963599999999999,0.268827,0.15357099999999999,0.439339,0.06505,0.0,0.017108,0.047158000000000005,0.0,0.0,-0.12032544000000006,0.0,0.02176840000000002,0.00042309217728571163,-0.5238503000000001,0.0,0.3871486000000001,0.13625821680178193,-0.1054472307692309,0.0,-0.010646599999999729,0.0,-0.20551444776119396,0.0,-0.1943940881226054,0.0,0.08141158208955235,0.0177626264715081,0.1593001570881227,0.06623276952606447,-0.16595810029498526,0.0,-0.24195657009345792,0.0,0.05314174926253684,0.00957351429477313,0.17734787850467287,0.0673078578216316
Albany Great Danes,UMass Lowell River Hawks,DraftKings,76.0,79.5,NCAAB,136.0,-162.0,-3.5,-110.0,-110.0,155.5,-110.0,-110.0,75.91666666666667,79.08333333333333,ALB,UML,75.0046214138294,80.44492023263405,Albany Great Danes,UMass Lowell River Hawks,12.082809453780918,11.729996611101908,76.9375,73.76923076923077,2024.0,0.453992,0.5457590000000001,0.509605,0.49014599999999997,0.36198700000000006,0.61552,0.022493000000000003,0.23099000000000003,0.223002,0.26768200000000003,0.278077,0.18486000000000002,0.17712699999999998,0.30225199999999997,0.31301900000000005,0.06951199999999999,0.0,0.034570000000000004,0.03494200000000001,0.0,0.0,-0.14661680000000005,0.0,0.04609390000000019,0.0019314978338272955,-0.029829500000000064,0.0,-0.07069340000000013,0.0,-0.10714020588235279,0.0,-0.007337600000000166,0.0,-0.06030166666666659,0.0,-0.009711181818181758,0.0,-0.07131542424242424,0.0,0.0046213181818182125,5.63813757872734e-05,-0.047373618233618214,0.0,-0.03159871770334938,0.0,-0.05730975213675216,0.0,-0.015680043062200888,0.0
Austin Peay Governors,North Alabama Lions,DraftKings,71.75,67.75,NCAAB,-174.42857142857142,144.42857142857142,4.0,-110.0,-110.0,139.5,-110.0,-110.0,71.625,67.875,APSU,UNA,71.43632269661579,68.00272695949575,Austin Peay Governors,North Alabama Lions,11.379702741205602,10.706390279434435,63.76923076923077,70.67851851851852,2024.0,0.47269400000000006,0.501601,0.510619,0.489192,0.574381,0.400698,0.024921000000000002,0.24510600000000002,0.227588,0.24014999999999997,0.26145100000000004,0.295649,0.278732,0.190049,0.21046,0.0,0.076171,0.0,0.0,0.037480000000000006,0.038691,-0.10734259999999984,0.0,-0.04663790000000012,0.0,-0.027700099999999894,0.0,-0.07269679999999995,0.0,-0.16802014142857125,0.0,-0.014248983184965425,0.0,-0.040838696969696914,0.0,-0.04767196969696974,0.0,-0.06499230303030301,0.0,-0.018302409090909022,0.0,-0.05652649999999998,0.0,-0.030646095367847404,0.0,-0.08190200000000003,0.0,-0.004673514986376026,0.0
Binghamton Bearcats,Vermont Catamounts,DraftKings,68.0,74.5,NCAAB,236.85714285714286,-297.42857142857144,-6.5,-110.0,-110.0,142.5,-110.0,-110.0,67.90625,74.59375,BING,UVM,63.09477382697637,73.50975422298757,Binghamton Bearcats,Vermont Catamounts,11.947264947426994,13.191062199590853,70.66666666666667,69.875,2024.0,0.413004,0.5868470000000001,0.382799,0.617052,0.26980699999999996,0.711295,0.018898000000000005,0.138285,0.274719,0.231995,0.354852,0.087751,0.182056,0.27615,0.434996,0.12429899999999999,0.0,0.04415500000000001,0.08014399999999999,0.0,0.0,-0.23269160000000016,0.0,0.13237870000000024,0.015931018376081883,-0.29612210000000005,0.0,0.19580920000000007,0.03485567527694551,-0.038477137515078474,0.0,-0.14739615714285714,0.0,-0.18812219696969695,0.0,-0.05891598484848487,0.0,-8.651515151558709e-06,0.0,0.11047775757575756,0.03222208418607515,-0.08025065745856355,0.0,-0.19084999999999996,0.0,0.03142174585635357,0.005361180791750714,0.0704772903225806,0.007698925099380632
CSU Bakersfield Roadrunners,UC Riverside Highlanders,DraftKings,66.5,67.5,NCAAB,-102.0,-118.0,-1.0,-108.0,-112.0,134.0,-110.0,-110.0,66.13461538461539,67.5576923076923,CSUB,UCR,71.4946723801553,69.65232431560622,CSU Bakersfield Roadrunners,UC Riverside Highlanders,11.962846203073424,12.369846201151423,66.16666666666667,65.9375,2024.0,0.553995,0.422893,0.658515,0.320947,0.530942,0.446005,0.023053000000000004,0.355303,0.18654900000000002,0.279771,0.133996,0.340535,0.179234,0.294927,0.141713,0.0,0.0,0.0,0.0,0.0,0.0,0.07230960000000003,0.004841368752000009,-0.22346684,0.0,0.2828814999999999,0.0727472209475,-0.4260113000000001,0.0,0.05250284000000005,0.002702498243201578,-0.2077091000000001,0.0,0.11474441791044773,0.035285634263508045,0.0038211915708811772,3.810992810578458e-05,-0.11697749253731338,0.0,-0.1978062988505747,0.0,0.1033173741007194,0.029675053819169038,0.016242019762845783,0.0006674221111209858,-0.11600556834532377,0.0,-0.19753087351778661,0.0
CSU Fullerton Titans,UC Davis Aggies,DraftKings,65.5,68.0,NCAAB,120.0,-142.0,-2.5,-115.0,-105.0,133.5,-110.0,-110.0,65.78846153846153,67.90384615384616,CSUF,UCD,61.36824548587306,65.46691620770385,CSU Fullerton Titans,UC Davis Aggies,11.398816087430191,11.16941710687015,62.61538461538461,72.09629629629629,2024.0,0.46018899999999996,0.539648,0.35383,0.646007,0.38664899999999996,0.589149,0.024201999999999998,0.158633,0.301556,0.179477,0.360171,0.133427,0.25322199999999995,0.19620100000000001,0.39278500000000005,0.049338,0.0,0.016724,0.032614000000000004,0.0,0.0,-0.16059365000000014,0.0,0.056278400000000006,0.003016436482438096,-0.3569570000000001,0.0,0.2566147,0.059864640232809116,-0.12447683333333343,0.0,0.005740579999999995,2.3207224462253624e-05,-0.1687471556420234,0.0,-0.12108087545787544,0.0,0.02978790661478592,0.002280410807862406,0.12580140293040296,0.04320496083337324,-0.1373770625,0.0,-0.16104299999999994,0.0,0.019853874999999938,0.0012613643280499948,0.12291166666666675,0.03399137505625006
