oddsHomeTeam,oddsAwayTeam,bookie,homeScoreOddsImplied,awayScoreOddsImplied,sport,homeMoneyLine,awayMoneyLine,gameLine,homeCover,awayCover,overUnder,over,under,homeTeamAbbrev,awayTeamAbbrev,homeScore,awayScore,homeTeam,awayTeam,homeGameScoreStd,awayGameScoreStd,season,p_homeCover,p_awayCover,p_over,p_under,p_homeWin,p_awayWin,p_homeCoverOver,p_homeCoverUnder,p_awayCoverOver,p_awayCoverUnder,p_homeWinOver,p_homeWinUnder,p_awayWinOver,p_awayWinUnder,p_homeCoverAwayWin,p_awayCoverHomeWin,p_homeCoverOverAwayWin,p_homeCoverUnderAwayWin,p_awayCoverOverHomeWin,p_awayCoverUnderHomeWin,k_homeCover,r_homeCover,k_awayCover,r_awayCover,k_over,r_over,k_under,r_under,k_homeWin,r_homeWin,k_awayWin,r_awayWin,k_homeCoverOver,r_homeCoverOver,k_awayCoverOver,r_awayCoverOver,k_homeCoverUnder,r_homeCoverUnder,k_awayCoverUnder,r_awayCoverUnder,k_homeWinOver,r_homeWinOver,k_awayWinOver,r_awayWinOver,k_homeWinUnder,r_homeWinUnder,k_awayWinUnder,r_awayWinUnder
Detroit Pistons,Washington Wizards,DraftKings,118.5,115.5,NBA,-162.0,136.0,3.0,-115.0,-105.0,234.0,-112.0,-110.0,DET,WSH,121.35619326241772,117.26105400022225,Detroit Pistons,Washington Wizards,14.495832734502237,16.253076631825742,2024.0,0.509909,0.471735,0.578565,0.40349999999999997,0.5735265,0.42647349999999995,0.27788999999999997,0.222532,0.28993100000000005,0.17338500000000004,0.309648,0.244636,0.25837,0.151861,0.0,0.036205,0.0,0.0,0.021014,0.014520999999999996,-0.053695650000000095,0.0,-0.08294325000000002,0.0,0.10655780000000004,0.010138004232892864,-0.25265000000000004,0.0,-0.11736056999999989,0.0,0.0047628382352940535,3.085109415558751e-05,-0.006405275590551207,0.0,0.02694248148148154,0.001959922732625939,-0.07998473151750973,0.0,-0.12940437728937723,0.0,-0.02547433009708744,0.0,0.044643775216138326,0.006915941329455338,-0.11678218181818187,0.0,-0.08977404273504275,0.0
Indiana Pacers,Portland Trail Blazers,DraftKings,127.0,114.5,NBA,-800.0,550.0,12.5,-110.0,-110.0,241.5,-110.0,-110.0,IND,POR,125.88142134999748,112.16958018299746,Indiana Pacers,Portland Trail Blazers,18.320184678836256,16.425879696671462,2024.0,0.516126,0.483935,0.448484,0.551577,0.709638,0.290362,0.249275,0.266851,0.19920899999999997,0.284726,0.329772,0.37275,0.112498,0.170809,0.0,0.18639599999999998,0.0,0.0,0.080497,0.10589900000000001,-0.016135400000000022,0.0,-0.08373649999999999,0.0,-0.15818359999999998,0.0,0.058311699999999966,0.003091140324445458,-1.613258,0.0,0.16133690909090911,0.14316279029254547,-0.035090530303030304,0.0,-0.10412092424242425,0.0,-0.010856954545454545,0.0,0.013788878787878767,0.0005019515905187862,-0.2530349565217392,0.0,0.034715177914110426,0.013750688220511169,-0.17268478260869569,0.0,0.09813669500438212,0.10988755244183136
LA Clippers,Denver Nuggets,DraftKings,113.0,107.0,NBA,-205.0,170.0,6.0,-110.0,-110.0,220.0,-110.0,-110.0,LAC,DEN,109.58003852895642,105.20996413097578,LA Clippers,Denver Nuggets,13.457896789409473,20.39967937903699,2024.0,0.43525200000000003,0.547526,0.43285799999999997,0.550222,0.5471615,0.45283850000000003,0.135435,0.29274,0.29083,0.24744,0.177475,0.35224900000000003,0.24821100000000001,0.188558,0.0,0.0861,0.0,0.0,0.035447000000000006,0.04946700000000001,-0.18597080000000005,0.0,0.04980459999999992,0.0022549983465090873,-0.19099820000000012,0.0,0.055466199999999966,0.002796817584036362,-0.38115742500000016,0.0,0.13097879411764712,0.02916425566447211,-0.19205174242424242,0.0,0.022204999999999975,0.001301683745999997,0.024838484848484887,0.0016287488700606088,-0.03762060606060608,0.0,-0.2695494565217391,0.0,0.06705702409638556,0.01866107459475242,0.00021041304347835244,8.146351391309008e-08,-0.0069701927710843214,0.0
Wisconsin Badgers,Western Illinois Leathernecks,DraftKings,81.5,54.0,NCAAB,-29706.0,4500.0,27.5,-110.0,-110.0,135.5,-110.0,-110.0,WIS,WIU,79.1905877331232,58.702866582451065,Wisconsin Badgers,Western Illinois Leathernecks,19.44565075623167,22.441776519102344,2024.0,0.392633,0.607281,0.5452910000000001,0.454623,0.7491310000000001,0.2508689999999999,0.19949700000000004,0.193136,0.34579399999999993,0.261487,0.39041399999999993,0.353251,0.14858300000000002,0.096734,0.0,0.351032,0.0,0.0,0.190917,0.16011499999999998,-0.27547069999999996,0.0,0.1752900999999999,0.027933290143645415,0.04511110000000018,0.0018500103120091085,-0.14529170000000002,0.0,-73.77401413999996,0.0,0.23422164444444435,2.4686900426816867,-0.10372383333333329,0.0,0.09798869696969689,0.025348711697282384,-0.11249430303030303,0.0,-0.01825277272727266,0.0,-0.27217947826086963,0.0,0.1387763079935499,1.672054542989036,-0.34973704347826085,0.0,0.08633010688781387,0.6470596801837919
Minnesota Vikings,Chicago Bears,DraftKings,23.5,20.5,NFL,-155.0,130.0,3.0,-108.0,-112.0,44.0,-110.0,-110.0,MIN,CHI,27.858767707006248,13.467623642020095,Minnesota Vikings,Chicago Bears,10.353743284435827,11.814474943128795,2023.0,0.36206399999999994,0.6090159999999999,0.226528,0.7560409999999999,0.44195450000000003,0.5580455,0.176584,0.17429899999999998,0.04764200000000001,0.5551320000000001,0.18150700000000003,0.223764,0.042564000000000005,0.48418999999999995,0.0,0.025687,0.0,0.0,0.0026209999999999996,0.022855,-0.3269068800000001,0.0,0.1711139199999998,0.02614283358729136,-0.6242912,0.0,0.4876860999999997,0.21621612012109978,-0.4230160249999999,0.0,0.21808049999999995,0.061826835824324945,-0.130660776119403,0.0,-0.317246122605364,0.0,-0.1337983880597015,0.0,0.384684490421456,0.38623343021582784,-0.2009663644859812,0.0,-0.23986549852507372,0.0,-0.13896310280373833,0.0,0.3320336578171091,0.37373512624035693
San José State Spartans,North Dakota State Bison,DraftKings,70.75,62.25,NCAAB,-395.0,310.0,8.5,-110.0,-110.0,133.0,-110.0,-110.0,SJSU,NDSU,70.63862017553511,62.69945679386882,San José State Spartans,North Dakota State Bison,25.724363104707898,19.98380296521113,2024.0,0.496702,0.5031370000000001,0.508421,0.478908,0.602054,0.397946,0.29128300000000007,0.199185,0.217138,0.27972299999999994,0.339624,0.24874799999999997,0.16294999999999998,0.22360899999999997,0.0,0.09915300000000002,0.0,0.0,0.048341,0.04956300000000001,-0.056925800000000026,0.0,-0.04341229999999985,0.0,-0.03231589999999995,0.0,-0.09429319999999997,0.0,-0.9698327000000001,0.0,0.20373503225806455,0.12867468644450322,0.022829590909091035,0.0013759421836418305,-0.07940063636363631,0.0,-0.10415401515151518,0.0,0.006890803030302983,0.00012535555930242277,-0.13546664748201448,0.0,0.04039509516837479,0.011144946164311845,-0.2917210647482015,0.0,0.10993535431918006,0.0825458919430074
Northwestern Wildcats,Northern Illinois Huskies,DraftKings,77.0,65.5,NCAAB,-800.0,550.0,11.5,-108.0,-112.0,142.5,-110.0,-110.0,NU,NIU,75.40321434129832,68.53363108857154,Northwestern Wildcats,Northern Illinois Huskies,16.53077937263294,15.290519938837916,2024.0,0.41869300000000004,0.58108,0.525292,0.474481,0.6198275,0.3801725,0.232013,0.18668,0.29327899999999996,0.287801,0.33319899999999997,0.278158,0.1835,0.187975,0.0,0.19266399999999997,0.0,0.0,0.10118600000000001,0.091478,-0.20911856,0.0,0.11188960000000009,0.011177930882285724,0.003113199999999927,8.81092203636316e-06,-0.10358990000000007,0.0,-2.4215525,0.0,0.2674765909090909,0.39349049676392056,-0.05454931343283578,0.0,0.022504670498084245,0.0013218611069333638,-0.11679761194029847,0.0,0.01492781992337161,0.0005816118980046326,-0.24662795652173913,0.0,0.11193996494303242,0.14297364112401403,-0.349530695652174,0.0,0.11680716476774759,0.1556770557857198
Rutgers Scarlet Knights,Saint Peter's Peacocks,DraftKings,69.0,54.0,NCAAB,-1450.0,850.0,15.0,-110.0,-110.0,123.0,-110.0,-110.0,RUTG,SPU,71.1284067470533,59.01372600227555,Rutgers Scarlet Knights,Saint Peter's Peacocks,14.229078208607424,11.454984359075604,2024.0,0.42674100000000004,0.55151,0.6414120000000001,0.338171,0.7462974999999998,0.25370250000000016,0.304985,0.114039,0.32245499999999994,0.21737900000000002,0.499831,0.22305,0.131106,0.108043,0.0,0.289223,0.0,0.0,0.18087399999999998,0.10225799999999999,-0.20384389999999997,0.0,0.05817099999999986,0.0030762411281818093,0.24696520000000016,0.05544710001003647,-0.38984090000000005,0.0,-2.9323887500000025,0.0,0.16590279411764725,0.2339517653163608,0.04172174242424248,0.004595458008015165,0.06580916666666659,0.011433434541833305,-0.22155228787878783,0.0,-0.07906834848484848,0.0,0.01889926923076929,0.00037146967255538717,0.08041206767794631,0.1108289647680785,-0.5240173076923077,0.0,0.056003501750291715,0.05375776245017506
Washington State Cougars,Eastern Washington Eagles,DraftKings,81.0,68.0,NCAAB,-1050.0,675.0,13.0,-108.0,-112.0,149.0,-110.0,-110.0,WSU,EWU,80.74182195441892,65.64556452112481,Washington State Cougars,Eastern Washington Eagles,24.10601584667197,16.046806535881213,2024.0,0.523318,0.46272499999999994,0.45820000000000005,0.527848,0.7006585,0.29934150000000004,0.30189,0.214097,0.150331,0.30636800000000003,0.37179599999999996,0.31279,0.081836,0.207505,0.0,0.157502,0.0,0.0,0.06392700000000001,0.09131,0.00850143999999986,6.69208167348138e-05,-0.13902300000000012,0.0,-0.1377799999999999,0.0,0.008480799999999955,6.538542603636397e-05,-2.4424272500000006,0.0,0.19554024074074078,0.2580929038053913,0.04140119402985076,0.004593677763820899,-0.17521267816091957,0.0,-0.07915038805970145,0.0,0.04060861302681995,0.004304045169620852,-0.20453794495412841,0.0,0.015302376811594215,0.003231445757959425,-0.31767788990825685,0.0,0.15007782608695652,0.31082228358521735
UConn Huskies,New Hampshire Wildcats,DraftKings,89.5,58.0,NCAAB,-50000.0,6600.0,31.5,-110.0,-110.0,147.5,-110.0,-110.0,CONN,UNH,84.61299929236958,62.06080961574463,UConn Huskies,New Hampshire Wildcats,19.891371663780923,18.819316317727026,2024.0,0.36958799999999997,0.630257,0.49031899999999995,0.509526,0.7942025,0.20579749999999997,0.191187,0.17840099999999998,0.299132,0.331125,0.393742,0.39522599999999997,0.091554,0.10885399999999999,0.0,0.41938000000000003,0.0,0.0,0.20255499999999999,0.216825,-0.3238652,0.0,0.2235396999999999,0.045427270432809044,-0.07033010000000017,0.0,-0.029995399999999894,0.0,-102.10454749999998,0.0,0.19376412878787874,2.4779394819250937,-0.1151815606060606,0.0,0.033651696969697,0.0029896329116024267,-0.1328107424242424,0.0,0.07776325757575758,0.015964407964015152,-0.27247558241758235,0.0,0.08439580915609486,0.9039358418609421,-0.26936081318681326,0.0,0.10183212623118745,1.316029025087142
