homeTeamAbbrev,teamName,win,pointsForAvg,pointsAgainstAvg,movAvg,observedDominance,scheduleStrength,scheduleStrengthRank,winRank,movRank,dominanceRank,ovr,ovrRank
CREI,Creighton Bluejays,354,93.4108292831065,60.31497003083666,33.09585925226983,1.318850071537009,-0.13870052647418585,344.0,3.0,3.0,4.0,6.671353853498584,1.0
HOU,Houston Cougars,353,76.51310974241149,46.706271930159424,29.806837812252063,1.3302607294455584,-0.12275203570503002,339.0,4.0,4.0,2.0,6.482274830223762,2.0
CONN,UConn Huskies,352,88.27448230050906,59.04243001118112,29.232052289327946,1.3212641128859508,-0.11971033341104942,337.0,5.0,6.0,3.0,6.36054805347918,3.0
BYU,BYU Cougars,356,94.06617640454742,57.36672437571674,36.69945202883068,1.233667577489734,-0.11904239707751696,336.0,1.0,1.0,20.0,6.353707085528393,4.0
PUR,Purdue Boilermakers,349,85.67216274484731,58.92073619527808,26.75142654956923,1.3452429620490025,-0.04631864015306064,263.0,8.0,7.0,1.0,6.309036984495908,5.0
BAY,Baylor Bears,351,89.94835009513453,60.29919097008598,29.64915912504855,1.3075908658917312,-0.09446973478061604,324.0,6.0,5.0,5.0,6.2838509752308465,6.0
ARIZ,Arizona Wildcats,355,92.25299711424877,57.25494986376986,34.99804725047891,1.2348508068673,-0.15261079556607982,351.0,2.0,2.0,19.0,6.216572003150691,7.0
OU,Oklahoma Sooners,348,84.42831992906304,59.98882668644878,24.439493242614255,1.2803051933033154,-0.12884967603894704,341.0,9.0,12.0,7.0,5.637635121720874,8.0
NEV,Nevada Wolf Pack,343,83.08703523418492,59.79548203416116,23.291553200023763,1.2984123762944926,-0.15246116343566518,349.0,14.0,14.0,6.0,5.630267556439854,9.0
CIN,Cincinnati Bearcats,350,84.66389202896274,59.24921274958577,25.414679279376962,1.252642830769009,-0.1375515510512102,342.0,7.0,10.0,10.0,5.5319620275039965,10.0
