homeTeamAbbrev,teamName,win,pointsForAvg,pointsAgainstAvg,movAvg,observedDominance,scheduleStrength,scheduleStrengthRank,winRank,movRank,dominanceRank,ovr,ovrRank
BOS,Boston Celtics,29,118.60465895503927,104.1759973636729,14.428661591366364,1.2039810992754352,1.103116424260004,1.0,1.0,1.0,1.0,5.8153395691404075,1.0
PHI,Philadelphia 76ers,27,116.82430310669866,104.97760039362217,11.846702713076496,1.126604094236516,1.0484454672786676,4.0,3.0,2.0,3.0,4.430680457677663,2.0
MIN,Minnesota Timberwolves,28,110.150675041249,100.72763278976103,9.42304225148797,1.1279268276286083,1.07771435996486,2.0,2.0,3.0,2.0,4.204714968216647,3.0
LAC,LA Clippers,25,111.65482408902042,104.546217129013,7.108606960007421,1.0691593285531336,1.0333736533627473,8.0,5.0,5.0,6.0,2.9330459816716155,4.0
OKC,Oklahoma City Thunder,26,115.3478449893975,106.72434596544501,8.62349902395249,1.0357619112636975,1.0094194136996375,14.0,4.0,4.0,14.0,2.9304998167135468,5.0
DEN,Denver Nuggets,24,112.21155850461601,106.02691131465781,6.1846471899581985,1.071336458827962,1.0410364268603596,5.0,6.0,6.0,5.0,2.706608493762655,6.0
NO,New Orleans Pelicans,21,112.06536858248786,108.98110078731288,3.0842677951749806,1.106412385845107,1.0640352356894003,3.0,9.0,9.0,4.0,2.2675102096144837,7.0
HOU,Houston Rockets,23,108.27069957826349,104.0579786386037,4.212720939659789,1.0660704452456538,1.0248653603984728,9.0,7.0,7.0,8.0,2.2523729672678234,8.0
MIL,Milwaukee Bucks,21,117.32920023292317,115.01316855713137,2.3160316757918054,1.0420262156435942,0.9938921125448591,20.0,9.0,11.0,12.0,1.505792252939168,9.0
ORL,Orlando Magic,18,109.80350057424562,107.44605432358857,2.3574462506570484,1.0683944940191117,1.0179283166448707,10.0,11.5,10.0,7.0,1.4365520792577264,10.0
DAL,Dallas Mavericks,21,116.0986050372782,112.89675954520841,3.2018454920697934,1.0097563340053484,0.9972531541841286,17.0,9.0,8.0,18.0,1.3091780835602613,11.0
PHX,Phoenix Suns,18,109.1220187759162,108.09050300095439,1.031515774961818,1.0531576694819988,1.0140451636925767,12.0,11.5,14.0,9.0,1.0896021174149415,12.0
BKN,Brooklyn Nets,17,111.3342516468066,109.59187469203786,1.7423769547687442,1.0275229980316063,1.0129638306707716,13.0,13.0,13.0,15.0,0.8206667364129092,13.0
NY,New York Knicks,16,108.12946969632597,106.07092709686873,2.0585425994572404,1.0174953250722456,1.0000644259976605,15.0,14.5,12.0,17.0,0.6517344411660184,14.0
CLE,Cleveland Cavaliers,14,106.77043297514578,106.05886439515538,0.7115685799903986,1.0401449440750516,1.015978655913886,11.0,16.0,15.0,13.0,0.4564821373422931,15.0
SAC,Sacramento Kings,13,113.90669341186796,113.71423354589209,0.19245986597587716,1.0492142806282778,1.040691298685268,6.0,17.0,17.0,10.0,0.3585853275139213,16.0
GS,Golden State Warriors,11,109.5081914269134,109.71986573898448,-0.21167431207108223,1.0469986512463867,1.0402099664668307,7.0,19.0,18.0,11.0,0.04975541587408461,17.0
LAL,Los Angeles Lakers,16,112.11174854184705,111.81423477225104,0.2975137695960086,0.9817636987305092,0.9970368034057681,18.0,14.5,16.0,20.0,0.034558263315985854,18.0
MIA,Miami Heat,12,112.77376091988997,113.26015138023517,-0.4863904603452056,1.0246746491015783,0.9939590616821419,19.0,18.0,20.0,16.0,-0.10176967226887279,19.0
IND,Indiana Pacers,10,122.1892869236654,122.6752051450152,-0.4859182213497917,1.0034629720733554,0.9734461225921537,22.0,20.0,19.0,19.0,-0.5433613421960958,20.0
ATL,Atlanta Hawks,9,112.60639310621306,114.26316850220451,-1.6567753959914455,0.976671058047412,0.9976514725009075,16.0,21.0,21.0,21.0,-1.0981284204921737,21.0
TOR,Toronto Raptors,8,108.03830526125407,111.03254309062666,-2.9942378293725938,0.9643657234617936,0.9837645031947434,21.0,22.0,22.0,22.0,-1.5309686958443731,22.0
CHI,Chicago Bulls,5,102.08013279245488,108.69499390528951,-6.614861112834632,0.8819993473007484,0.946762377209513,24.0,25.0,23.0,24.0,-3.23110196114571,23.0
POR,Portland Trail Blazers,7,99.32617302489147,108.64839910713785,-9.322226082246374,0.8834675631382922,0.9129706047848333,28.0,23.0,27.0,23.0,-3.383137838159464,24.0
MEM,Memphis Grizzlies,6,104.7163844088789,112.94436321704846,-8.227978808169567,0.8712967603587943,0.9586634699439561,23.0,24.0,26.0,26.0,-3.4603379695185597,25.0
UTAH,Utah Jazz,2,104.88715894769298,112.33776688729539,-7.450607939602406,0.8756815616518833,0.944586202223599,25.0,28.0,24.0,25.0,-3.7580091372667344,26.0
CHA,Charlotte Hornets,3,107.78559848821266,115.79168912108204,-8.006090632869387,0.8662368095002011,0.9405959306375946,27.0,27.0,25.0,27.0,-3.8204612186006868,27.0
WSH,Washington Wizards,4,114.62881352197107,124.62467737714546,-9.995863855174392,0.8261988792822872,0.907946973500418,29.0,26.0,28.0,29.0,-4.400628358117076,28.0
SA,San Antonio Spurs,0,110.51295951840572,120.58707692340131,-10.07411740499559,0.8654650200938916,0.9414140292240961,26.0,30.0,29.0,28.0,-4.470931891858799,29.0
DET,Detroit Pistons,1,104.51004536241743,117.80475273534749,-13.294707372930063,0.8031896198891326,0.901119265188217,30.0,29.0,30.0,30.0,-5.454842813393644,30.0
