homeTeamAbbrev,teamName,win,pointsForAvg,pointsAgainstAvg,movAvg,observedDominance,scheduleStrength,scheduleStrengthRank,winRank,movRank,dominanceRank,ovr,ovrRank
BOS,Boston Celtics,29,114.56781603614635,98.36743925662292,16.200376779523438,1.1855125621807605,1.013493340566238,8.0,1.0,1.0,1.0,5.626412929066449,1.0
PHI,Philadelphia 76ers,27,118.57004339015617,106.30668112009461,12.263362270061563,1.1246039872415832,1.0213001743892338,3.0,3.0,2.0,3.0,4.268757633406196,2.0
MIN,Minnesota Timberwolves,28,109.0285532467986,98.88370103351805,10.144852213280544,1.1383557239605486,0.9995542261095659,18.0,2.0,3.0,2.0,4.259151228731129,3.0
ORL,Orlando Magic,26,110.66070150773902,105.57227794947066,5.08842355826836,1.080866809627098,0.9734328037517408,29.0,4.0,7.0,6.0,2.79623630367656,4.0
BKN,Brooklyn Nets,25,113.87928652877642,108.50723268313182,5.372053845644601,1.050956047409657,1.0094313773144017,10.0,5.0,5.0,9.0,2.406529875963928,5.0
OKC,Oklahoma City Thunder,23,114.11683125047414,106.8253694273928,7.291461823081335,1.0467984031966424,1.002537920065527,14.0,7.0,4.0,11.0,2.3772999520153846,6.0
PHX,Phoenix Suns,23,109.8778792986379,106.0968506755316,3.7810286231062946,1.0850696715497994,0.9523448469315877,30.0,7.0,9.0,4.0,2.3342449044250557,7.0
DEN,Denver Nuggets,23,112.0908212012189,106.83461473103425,5.256206470184651,1.0497987548607417,1.002076083918197,15.0,7.0,6.0,10.0,2.1524019274857893,8.0
NO,New Orleans Pelicans,18,111.38446689250799,109.24770513329587,2.1367617592121206,1.0815261798610631,0.99337876335693,20.0,12.5,15.0,5.0,1.521651177054097,9.0
HOU,Houston Rockets,21,106.29463769405751,102.52310700785145,3.771530686206063,1.0284197434756173,1.0016730686099369,16.0,9.0,10.0,16.0,1.5152872335944956,10.0
MIL,Milwaukee Bucks,19,117.36777975928077,114.26063457013576,3.107145189145001,1.0370813873853846,0.9802141835441734,26.0,10.5,11.0,14.0,1.2944294375265897,11.0
NY,New York Knicks,19,109.26571689084444,104.60308129578061,4.662635595063833,1.008034253787801,1.000471716403845,17.0,10.5,8.0,18.0,1.187544512503616,12.0
GS,Golden State Warriors,18,111.71875761941702,109.13705491292588,2.581702706491143,1.0429979901399744,1.0287389225845116,2.0,12.5,13.0,12.0,1.1762011142539057,13.0
MIA,Miami Heat,16,109.84797496840929,107.71513093146221,2.132844036947077,1.0581619445950263,0.9824464711873093,25.0,14.0,16.0,7.0,1.050221832794474,14.0
SAC,Sacramento Kings,15,113.35859914662278,110.80099162556239,2.5576075210603904,1.0322787385047336,1.0151765827748471,6.0,15.0,14.0,15.0,0.7202444820945064,15.0
CLE,Cleveland Cavaliers,13,107.49927962920535,106.56816842520534,0.931111204000004,1.0566786542668778,1.002663490994814,13.0,17.0,18.0,8.0,0.5422814059519783,16.0
LAC,LA Clippers,14,108.97515892728828,106.15525399973477,2.819904927553509,1.0173409363889618,0.9840818356718481,24.0,16.0,12.0,17.0,0.48386639025997974,17.0
IND,Indiana Pacers,12,122.84980053225067,120.7656611538097,2.084139378440966,1.0413836675331862,0.9991763357531991,19.0,18.0,17.0,13.0,0.41429045863315517,18.0
DAL,Dallas Mavericks,11,114.94251265707902,114.69162526731954,0.2508873897594839,0.9919158100115882,0.9759205448214379,28.0,19.0,19.0,19.0,-0.44562888885599183,19.0
LAL,Los Angeles Lakers,10,108.75112726604524,108.51460172942019,0.23652553662505227,0.9686787714871468,1.015865686387859,5.0,20.0,20.0,22.0,-0.8033031048452703,20.0
TOR,Toronto Raptors,9,108.33786956801436,109.00900014355865,-0.6711305755442964,0.9716794934946352,1.017157667924889,4.0,21.0,21.0,21.0,-1.0000200063587918,21.0
ATL,Atlanta Hawks,8,117.63657042176402,118.62941313178571,-0.9928427100216908,0.9857955662275268,1.0113246594940315,9.0,22.0,22.0,20.0,-1.0071706958880142,22.0
POR,Portland Trail Blazers,6,100.93119542875827,110.4679814207897,-9.536785992031426,0.8974417410626434,0.986008410878954,23.0,24.0,26.0,23.0,-3.2306323873819407,23.0
CHI,Chicago Bulls,7,103.4243472989829,111.71782967206408,-8.29348237308119,0.8693663100056561,1.0146398826241796,7.0,23.0,23.0,26.0,-3.2529405553923265,24.0
MEM,Memphis Grizzlies,5,102.14694577378347,111.59380110856547,-9.446855334782,0.880176512087732,0.9797032992440975,27.0,25.0,25.0,24.0,-3.512955875509858,25.0
UTAH,Utah Jazz,4,107.90950293494909,117.34763842597798,-9.438135491028888,0.8663662379441146,1.00378368476966,12.0,26.0,24.0,27.0,-3.7695011998212355,26.0
CHA,Charlotte Hornets,1,109.94141843888305,121.22352381974513,-11.282105380862077,0.8696152763713622,0.9931768478344046,21.0,29.0,27.0,25.0,-4.308965364093682,27.0
WSH,Washington Wizards,3,112.3734061239126,126.81308883875674,-14.439682714844139,0.8325283948891186,1.0041631082089442,11.0,27.0,29.0,29.0,-4.865327960436408,28.0
DET,Detroit Pistons,2,105.8185014766081,119.62296783827226,-13.804466361664154,0.8299005430012244,0.9920696154436397,22.0,28.0,28.0,30.0,-4.926504198750402,29.0
SA,San Antonio Spurs,0,106.86470750722597,121.62978208702158,-14.765074579795609,0.8558892711013351,1.0358920328981926,1.0,30.0,30.0,28.0,-5.004102562103311,30.0
