homeTeamAbbrev,teamName,win,pointsForAvg,pointsAgainstAvg,movAvg,observedDominance,scheduleStrength,scheduleStrengthRank,winRank,movRank,dominanceRank,ovr,ovrRank
BOS,Boston Celtics,1.0,119.54285706843538,107.74279809048514,11.800058977950243,1.2270534355110982,0.9993801344244598,19.0,1.0,1.0,1.0,5.2701097845432425,1.0
MIN,Minnesota Timberwolves,0.896551724137931,113.65634835806809,105.19563763749248,8.460710720575605,1.1776130282630248,1.0319763056878786,1.0,4.0,3.0,2.0,4.023581069811188,2.0
NO,New Orleans Pelicans,0.9310344827586207,117.12146298820677,110.82808943643268,6.293373551774096,1.1744317492306222,1.0094085823455479,9.0,3.0,6.0,3.0,3.7824374938010137,3.0
OKC,Oklahoma City Thunder,0.8620689655172413,121.05002839695443,111.94569318824821,9.104335208706217,1.1359070470458457,1.0056612170514951,11.0,5.0,2.0,4.0,3.6721104578689165,4.0
LAC,LA Clippers,0.7931034482758621,117.73268996119985,110.16346740830522,7.5692225528946295,1.1349330235550923,1.0023100707367236,13.0,7.0,4.0,5.0,3.2034095578993016,5.0
DEN,Denver Nuggets,0.8275862068965517,116.55050010504362,110.58437085674689,5.966129248296738,1.109343523405972,0.9993886837322667,18.0,6.0,7.0,6.0,2.867757935381966,6.0
MIL,Milwaukee Bucks,0.9655172413793104,123.6306444574974,118.92521083348329,4.7054336240141055,1.0604771349776403,0.9701017230274701,28.0,2.0,8.0,9.0,2.7382842260250344,7.0
PHI,Philadelphia 76ers,0.7586206896551724,118.33569503212262,111.74633502103781,6.589360011084807,1.1067736112702309,0.9790706929106742,27.0,8.0,5.0,7.0,2.7142017089474466,8.0
NY,New York Knicks,0.7241379310344828,114.29085869194935,110.1211222975167,4.169736394432647,1.0486117330943157,0.9999814152884599,15.0,9.0,9.0,11.0,1.7648694668433742,9.0
CLE,Cleveland Cavaliers,0.6896551724137931,112.60262967886504,109.67908892150051,2.9235407573645347,1.047334033894784,0.9894915261327378,24.0,10.0,10.0,12.0,1.4514247273272163,10.0
DAL,Dallas Mavericks,0.6206896551724138,118.37976880044178,116.5256891707286,1.8540796297131834,1.0448647930628951,0.9994176165371371,17.0,11.5,11.0,13.0,1.0414567948449607,11.0
MIA,Miami Heat,0.5862068965517241,111.71353423759189,110.3336607701274,1.379873467464492,1.0676758353783606,0.9682450419792227,29.0,13.0,13.0,8.0,1.039092170583848,12.0
ORL,Orlando Magic,0.6206896551724138,111.92042112459285,110.2430325781994,1.6773885463934448,1.0228088130237265,1.0055375887055527,12.0,11.5,12.0,15.0,0.8371896645236228,13.0
SAC,Sacramento Kings,0.5517241379310345,116.74375275647506,115.37697491737222,1.3667778391028378,1.05253068587775,1.0123347631722206,7.0,14.0,14.0,10.0,0.8014802939220649,14.0
IND,Indiana Pacers,0.5172413793103449,124.05583742494579,122.91772034618064,1.1381170787651484,1.0093234007561869,0.9914584200070463,23.0,15.5,15.0,17.0,0.305380784427564,15.0
PHX,Phoenix Suns,0.4482758620689655,114.59344565238119,113.78103184211759,0.8124138102636067,1.0391783832877828,0.9672453782988715,30.0,17.0,16.0,14.0,0.2684486751375066,16.0
HOU,Houston Rockets,0.5172413793103449,112.13054628832103,111.44864262791032,0.6819036604107112,0.9899771680426672,1.0141744535865191,5.0,15.5,17.0,18.0,0.08043449894913897,17.0
