homeTeamAbbrev,teamName,observedRecord,observedWinPercent,win,pointsForAvg,pointsAgainstAvg,movAvg,observedDominance,scheduleStrength,scheduleStrengthRank,winRank,movRank,dominanceRank,ovr,ovrRank
BOS,Boston Celtics,35 - 10,0.7777777777777778,1.0,120.05519938500129,107.86774585825353,12.18745352674776,0.2209622662940502,-0.006642657556983345,16.0,1.0,1.0,1.0,5.362498932556596,1.0
MIN,Minnesota Timberwolves,32 - 13,0.7111111111111111,0.9655172413793104,113.07458214610264,106.19251364082443,6.8820685052782125,0.1591248071346029,0.0021623312877368486,9.0,2.0,4.0,2.0,3.9266278805938892,2.0
OKC,Oklahoma City Thunder,31 - 13,0.7045454545454546,0.896551724137931,121.12862139885479,112.22296301152426,8.905658387330533,0.1286413970389996,-0.0023253089134422536,13.0,4.0,2.0,4.0,3.7812801533930234,3.0
NO,New Orleans Pelicans,26 - 18,0.5909090909090909,0.9310344827586207,117.64709082354696,111.5398859254834,6.107204898063557,0.152455786267468,-0.004292496695276214,14.0,3.0,5.0,3.0,3.638326078202894,4.0
LAC,LA Clippers,28 - 14,0.6666666666666666,0.8620689655172413,118.51306661844873,110.63598556076143,7.877081057687306,0.1264100835551045,-0.0020351418219548495,12.0,5.0,3.0,5.0,3.4875153689813834,5.0
PHI,Philadelphia 76ers,29 - 14,0.6744186046511628,0.7931034482758621,118.33864982993249,112.40312893727288,5.935520892659611,0.102974779265582,-0.03599250781276017,29.0,7.0,6.0,6.0,2.7700559459526217,6.0
NY,New York Knicks,28 - 17,0.6222222222222222,0.7586206896551724,114.3093586614169,108.78698881335758,5.522369848059313,0.0665342510285208,-0.01476568293792154,22.0,8.0,7.0,8.0,2.3063931129910236,7.0
DEN,Denver Nuggets,31 - 15,0.6739130434782609,0.7241379310344828,115.3436449072772,110.96217887472018,4.3814660325570145,0.098699198124093,-0.004349209058756693,15.0,9.0,9.0,7.0,2.2635632874944185,8.0
MIL,Milwaukee Bucks,31 - 13,0.7045454545454546,0.8275862068965517,123.20536171594601,119.31754071675597,3.8878209991900405,0.0587608294447628,-0.042051288632508114,30.0,6.0,10.0,11.0,2.2144154806574496,9.0
CLE,Cleveland Cavaliers,26 - 16,0.6190476190476191,0.6896551724137931,113.66185568303689,109.03192790981166,4.6299277732252335,0.0647468234483631,-0.01663640759636126,26.0,10.0,8.0,9.0,1.9239856268457534,10.0
PHX,Phoenix Suns,26 - 18,0.5909090909090909,0.6551724137931034,115.54271554460634,112.78634493169311,2.75637061291323,0.0578126835263984,-0.030597030735953077,27.0,11.0,11.0,12.0,1.4598314451578758,11.0
SAC,Sacramento Kings,25 - 18,0.5813953488372093,0.6206896551724138,117.300220099456,115.89328778230897,1.4069323171470245,0.0600995563529154,0.0035985345976557227,8.0,12.0,12.0,10.0,1.1506116397464212,12.0
IND,Indiana Pacers,25 - 21,0.5434782608695652,0.5517241379310345,123.2643413209454,122.3371219034522,0.9272194174932054,0.0167811931291183,-0.01495729591930954,23.0,14.0,14.0,15.0,0.5090484437198475,13.0
ORL,Orlando Magic,23 - 21,0.5227272727272727,0.5517241379310345,111.34392410717781,110.34221000666032,1.0017141005174892,0.007580276245665,0.0017438608072102284,10.0,14.0,13.0,17.0,0.44895426363952856,14.0
GS,Golden State Warriors,19 - 23,0.4523809523809524,0.5517241379310345,117.82138880807895,117.2984727932636,0.5229160148153511,0.013519779859036,0.01830458922467974,1.0,14.0,16.0,16.0,0.41962144973797233,15.0
DAL,Dallas Mavericks,24 - 20,0.5454545454545454,0.4827586206896552,117.99259946016119,117.31079236903788,0.6818070911233036,0.0201175969738697,-0.0005210446480896671,11.0,16.0,15.0,14.0,0.26900929209484026,16.0
MIA,Miami Heat,24 - 21,0.5333333333333333,0.41379310344827586,110.49630323234123,111.11241838155232,-0.6161151492110832,0.0224632530728918,-0.03241919056016906,28.0,18.0,18.0,13.0,-0.1452459059966666,17.0
HOU,Houston Rockets,20 - 23,0.4651162790697674,0.4482758620689655,112.00728831983704,112.11668633563,-0.10939801579296216,-0.0238327805190371,0.008191683152190363,3.0,17.0,17.0,20.0,-0.3131172075305796,18.0
LAL,Los Angeles Lakers,24 - 23,0.5106382978723404,0.3793103448275862,114.98230021121637,115.67790642542005,-0.6956062142036785,-0.0202381939259255,0.007037738029282101,4.0,19.0,19.0,18.0,-0.6050434192047485,19.0
UTAH,Utah Jazz,23 - 23,0.5,0.3448275862068966,116.8664281509935,117.7619038109033,-0.8954756599098062,-0.0210917463314526,0.00478762504994531,6.0,20.0,20.0,19.0,-0.7569677852104846,20.0
BKN,Brooklyn Nets,17 - 27,0.3863636363636363,0.3103448275862069,113.2419975646018,114.77515182050881,-1.5331542559070073,-0.0375005610895861,-0.009743428647845616,20.0,21.0,21.0,21.0,-1.0996576638727085,21.0
TOR,Toronto Raptors,16 - 28,0.3636363636363636,0.2413793103448276,112.99116746471,115.82288885379143,-2.831721389081423,-0.0841784397174948,-0.009534551238993709,18.0,23.0,22.0,23.0,-1.8969840761050991,22.0
CHI,Chicago Bulls,21 - 25,0.4565217391304347,0.27586206896551724,109.41421473597924,112.75948639864839,-3.3452716626691483,-0.0987726842931986,-0.01571981101498347,24.0,22.0,23.0,24.0,-1.9785792646139266,23.0
ATL,Atlanta Hawks,18 - 26,0.4090909090909091,0.20689655172413793,118.41347293054878,122.39313383241658,-3.9796609018678026,-0.0724104806216621,-0.016426343919652135,25.0,24.0,24.0,22.0,-2.100266914607493,24.0
MEM,Memphis Grizzlies,17 - 27,0.3863636363636363,0.13793103448275862,106.78785787033496,112.96144869639348,-6.173590826058515,-0.1020105057809813,0.01231081954423956,2.0,26.0,25.0,25.0,-2.9058023418940557,25.0
POR,Portland Trail Blazers,13 - 31,0.2954545454545454,0.1724137931034483,107.1038254699692,116.81233830516405,-9.708512835194853,-0.1768919912982101,0.005241959717213248,5.0,25.0,26.0,26.0,-3.9362511161647804,26.0
