homeTeamAbbrev,teamName,win,pointsForAvg,pointsAgainstAvg,movAvg,observedDominance,scheduleStrength,scheduleStrengthRank,winRank,movRank,dominanceRank,ovr,ovrRank
BOS,Boston Celtics,1.0,124.5580073109248,97.0875895046921,27.47041780623269,1.2620079173628849,0.9978750987822937,16.0,1.0,1.0,1.0,5.5640630889128335,1.0
NO,New Orleans Pelicans,0.9655172413793104,118.35064497948551,102.1105445464118,16.240100433073707,1.1776448395242252,0.9887777376773152,23.0,2.0,5.0,2.0,3.8352047019683733,2.0
PHI,Philadelphia 76ers,0.8936781609195402,121.49976507255025,101.93543452876276,19.56433054378749,1.1440395818300713,0.9779274529402997,27.0,4.0,3.0,4.0,3.63943921729725,3.0
MIN,Minnesota Timberwolves,0.9310344827586207,115.11890671712594,98.11454142246798,17.00436529465796,1.1499209717966807,1.0294002291412567,2.0,3.0,4.0,3.0,3.581774654716578,4.0
OKC,Oklahoma City Thunder,0.8649425287356322,123.6293803240134,103.64353082065608,19.985849503357315,1.1395496312843254,1.0198207876001701,5.0,5.0,2.0,5.0,3.5481919050858304,5.0
DEN,Denver Nuggets,0.8275862068965517,116.68957074473325,101.29719494549936,15.39237579923389,1.120077838819319,0.9984693359115334,15.0,6.0,6.0,7.0,2.8765285537554335,6.0
LAC,LA Clippers,0.7873563218390804,118.29175868534949,103.42856050832489,14.8631981770246,1.1208849531552028,0.9931147125077163,20.0,7.0,7.0,6.0,2.7034391323338673,7.0
MIL,Milwaukee Bucks,0.7586206896551724,124.59240958299378,112.32291299164655,12.269496591347234,1.076595588939076,0.9655225060941499,28.0,8.0,8.0,9.0,2.0506151671127166,8.0
MIA,Miami Heat,0.6982758620689655,113.78584947978148,103.47640891692684,10.309440562854633,1.109489282627149,0.9643706756317123,29.0,10.0,10.0,8.0,1.9249479361674537,9.0
SAC,Sacramento Kings,0.6379310344827587,118.01613275159971,107.6229478429132,10.393184908686507,1.0708039142333283,1.0161936743875217,7.0,12.0,9.0,10.0,1.4447302655383294,10.0
HOU,Houston Rockets,0.7068965517241379,111.87740708690853,102.58902977754184,9.288377309366695,1.0241204342870291,1.007499614802717,12.0,9.0,12.0,16.0,1.2269144935392131,11.0
GS,Golden State Warriors,0.6522988505747127,117.21624124625534,108.26210067601241,8.954140570242927,1.0401229915348562,1.0360854638110428,1.0,11.0,14.0,14.0,1.1369136277457337,12.0
ORL,Orlando Magic,0.5862068965517241,113.41846346951856,104.25376852948487,9.164694940033684,1.055520373589769,0.9943810192116949,18.0,13.0,13.0,11.0,1.0523192736634055,13.0
CLE,Cleveland Cavaliers,0.5517241379310345,112.94084455264134,104.19074329419242,8.750101258448922,1.0422305130371718,1.0126413682401554,10.0,14.0,15.0,13.0,0.8030798005144899,14.0
NY,New York Knicks,0.5172413793103449,115.52626831339397,106.05564783181327,9.470620481580696,1.0304854700138,1.0108434990192374,11.0,15.0,11.0,15.0,0.6650073652260127,15.0
DAL,Dallas Mavericks,0.4827586206896552,118.30172599566578,111.2270396066128,7.074686389052971,1.044986234403572,0.9808556064117775,26.0,16.0,16.0,12.0,0.4491513143234491,16.0
IND,Indiana Pacers,0.4482758620689655,125.9551442135678,119.42466339832441,6.5304808152433935,1.0016608720245754,0.9873436750596902,24.0,17.0,17.0,18.0,-0.03552255291799562,17.0
PHX,Phoenix Suns,0.41379310344827586,113.38351138183344,108.70161151678113,4.681899865052316,1.0047294790523835,0.9564597273621925,30.0,18.0,18.0,17.0,-0.28861134975979474,18.0
ATL,Atlanta Hawks,0.35919540229885055,121.60383944856348,117.36592523992269,4.237914208640788,1.0011522807460669,0.9940403119810922,19.0,20.0,19.0,19.0,-0.5343059439823273,19.0
LAL,Los Angeles Lakers,0.3649425287356322,112.38718754278653,108.64273893155922,3.7444486112273125,0.9721884604717262,1.0194343234311745,6.0,19.0,20.0,20.0,-0.7747347913507596,20.0
BKN,Brooklyn Nets,0.3103448275862069,112.49553384735994,111.1780221956845,1.3175116516754315,0.933754687922524,1.0048675020933828,13.0,21.0,21.0,21.0,-1.4545185551947428,21.0
TOR,Toronto Raptors,0.27586206896551724,110.87000501073508,110.60167102508314,0.26833398565194955,0.923824634007284,0.9904930708602729,22.0,22.0,22.0,22.0,-1.7344001849110406,22.0
CHI,Chicago Bulls,0.2413793103448276,105.84463449008236,107.34858768489912,-1.5039531948167593,0.8932464210167983,1.0218513924772377,4.0,23.0,23.0,24.0,-2.2317879079933154,23.0
UTAH,Utah Jazz,0.20689655172413793,110.89796674566509,113.4671029029961,-2.569136157331016,0.9008751462036638,0.9907321975239805,21.0,24.0,24.0,23.0,-2.3820907744901465,24.0
MEM,Memphis Grizzlies,0.13793103448275862,102.35396393452099,110.6475885286386,-8.293624594117603,0.8422373013605549,1.0143431303531372,8.0,26.0,25.0,25.0,-3.54943672329612,25.0
POR,Portland Trail Blazers,0.1724137931034483,103.49802196016763,113.57941392624635,-10.081391966078712,0.8151721409111025,0.9834374658940193,25.0,25.0,26.0,26.0,-3.794563696872986,26.0
SA,San Antonio Spurs,0.10057471264367815,106.58737891349196,120.5555962520647,-13.968217338572742,0.8007912412639419,1.0269028179669721,3.0,27.0,27.0,27.0,-4.479925572210392,27.0
WSH,Washington Wizards,0.07183908045977012,111.69614951820564,127.14001748151203,-15.443867963306388,0.7684102676828617,0.9965190611477627,17.0,28.0,30.0,29.0,-4.945770784714214,28.0
DET,Detroit Pistons,0.014367816091954023,105.97940314555616,121.19585441782449,-15.21645127226833,0.7725459583137327,1.0028115333207235,14.0,30.0,28.0,28.0,-5.0844674449169895,29.0
CHA,Charlotte Hornets,0.020114942528735632,104.41744746366058,119.81677468364192,-15.399327219981345,0.7550366710980798,1.0141930792262932,9.0,29.0,29.0,30.0,-5.212184215290137,30.0
