homeTeamAbbrev,teamName,win,pointsForAvg,pointsAgainstAvg,movAvg,observedDominance,scheduleStrength,scheduleStrengthRank,winRank,movRank,dominanceRank,ovr,ovrRank
BOS,Boston Celtics,1.0,119.73364056915078,109.20696531015425,10.526675258996534,0.2091419574827357,-0.008488345242965501,17.0,1.0,1.0,1.0,5.1713390780248485,1.0
MIN,Minnesota Timberwolves,0.9655172413793104,113.79577466878897,106.67647923589557,7.119295432893395,0.1644313435993569,0.014985658052967091,3.0,2.0,3.0,2.0,4.113608451718067,2.0
OKC,Oklahoma City Thunder,0.896551724137931,121.3815856321772,113.53505613653016,7.846529495647047,0.1283366993732455,0.0026966901363238596,9.0,4.0,2.0,5.0,3.737259414395745,3.0
NO,New Orleans Pelicans,0.9310344827586207,117.10248579748828,111.86742338575368,5.235062411734603,0.1634384033120897,-0.005221975678929715,14.0,3.0,6.0,3.0,3.6602702593751726,4.0
LAC,LA Clippers,0.8275862068965517,118.08370932816295,111.20503337733862,6.878675950824331,0.1321495287688635,-0.0019359845983030657,12.0,6.0,4.0,4.0,3.368777500131646,5.0
DEN,Denver Nuggets,0.8620689655172413,116.7658093525687,111.69403481455832,5.071774538010374,0.1011902628755591,-0.005672030077836572,15.0,5.0,7.0,7.0,2.9259967830124256,6.0
PHI,Philadelphia 76ers,0.7931034482758621,118.56029237566173,112.69713199705708,5.863160378604647,0.1062958843387006,-0.026999277006707654,27.0,7.0,5.0,6.0,2.8775332578350827,7.0
CLE,Cleveland Cavaliers,0.7241379310344828,113.26062421428854,109.56128357242424,3.6993406418642962,0.0570189926170041,-0.0159327185471534,21.0,9.0,8.0,9.0,1.8903142566352678,8.0
MIL,Milwaukee Bucks,0.7586206896551724,122.87645254982863,119.77491913017914,3.101533419649485,0.0501459608732398,-0.03358855118907807,28.0,8.0,10.0,12.0,1.8457251370331718,9.0
NY,New York Knicks,0.6896551724137931,113.84469690456916,110.21670582875886,3.6279910758103,0.0513602660316422,-0.016354184850254576,22.0,10.0,9.0,10.0,1.7206647663988166,10.0
ORL,Orlando Magic,0.6551724137931034,111.74076063467874,110.26979430552817,1.4709663291505706,0.0222151565770433,-0.0029665084286661703,13.0,11.0,11.0,16.0,1.002926108117726,11.0
DAL,Dallas Mavericks,0.5862068965517241,118.25347493297049,117.1854502643072,1.0680246686632842,0.0360534718594887,-0.009352331297499083,18.0,13.0,12.0,13.0,0.8110506188196241,12.0
IND,Indiana Pacers,0.6206896551724138,124.08610013173484,123.09331232752112,0.9927878042137195,0.0225978795883481,-0.01774683805725659,25.0,12.0,13.0,15.0,0.8079904702841887,13.0
PHX,Phoenix Suns,0.5517241379310345,114.63468194563738,113.73599962491659,0.8986823207207948,0.0253215656977997,-0.037739915019656387,29.0,14.0,14.0,14.0,0.5851471294402211,14.0
MIA,Miami Heat,0.4827586206896552,111.34707850385499,111.00170729207217,0.34537121178281893,0.057175331740786,-0.040754986703612425,30.0,16.0,17.0,8.0,0.5051960594157542,15.0
SAC,Sacramento Kings,0.4482758620689655,116.77697315603866,116.11101866540957,0.6659544906290904,0.051290797125776,0.003708600761471267,8.0,17.0,15.0,11.0,0.40289383481738017,16.0
HOU,Houston Rockets,0.5172413793103449,111.68124129285951,111.32117184455556,0.36006944830394616,-0.0174964678915089,0.007793337383019776,6.0,15.0,16.0,19.0,0.047609675463973225,17.0
GS,Golden State Warriors,0.41379310344827586,117.08592374840481,117.20930682553413,-0.12338307712931851,0.0136059767200129,0.016955414788680765,2.0,18.0,18.0,17.0,-0.13939350719788124,18.0
LAL,Los Angeles Lakers,0.3793103448275862,114.02325013781977,114.61364144709388,-0.5903913092741107,-0.0177374967480764,0.011648714574545235,4.0,19.0,19.0,20.0,-0.5761406859963099,19.0
UTAH,Utah Jazz,0.3448275862068966,116.58779452207133,117.29857564777058,-0.710781125699242,-0.0166130798333522,0.005317717910152176,7.0,20.0,20.0,18.0,-0.7023131538198369,20.0
TOR,Toronto Raptors,0.3103448275862069,113.6234929532258,115.33712303101825,-1.7136300777924447,-0.0688202277568894,-0.010823179308298615,19.0,21.0,22.0,23.0,-1.3938220419081933,21.0
BKN,Brooklyn Nets,0.27586206896551724,113.23978002901475,114.90327455621625,-1.6634945272014932,-0.0625905079096077,-0.016879155679864553,23.0,22.0,21.0,22.0,-1.450709035905211,22.0
ATL,Atlanta Hawks,0.20689655172413793,119.74307022140272,122.29372805517224,-2.5506578337695203,-0.0469991586951209,-0.020764795401980084,26.0,24.0,23.0,21.0,-1.7144636501827297,23.0
CHI,Chicago Bulls,0.2413793103448276,108.59625203637565,111.74174929873301,-3.1454972623573667,-0.1053703722935676,-0.012853872002346275,20.0,23.0,24.0,24.0,-2.154235737619625,24.0
MEM,Memphis Grizzlies,0.10344827586206896,107.15295998118728,112.61339288676093,-5.460432905573654,-0.1159469791701228,0.019686237214557627,1.0,27.0,25.0,25.0,-3.0979067517206333,25.0
SA,San Antonio Spurs,0.13793103448275862,111.8944192560478,120.24976979111045,-8.355350535062655,-0.1969555100557598,0.011033207385636488,5.0,26.0,26.0,27.0,-4.117034706892602,26.0
POR,Portland Trail Blazers,0.1724137931034483,106.21839939780325,115.75237086072102,-9.533971462917762,-0.1952359704620024,0.0007059734219763636,10.0,25.0,27.0,26.0,-4.197974118875376,27.0
WSH,Washington Wizards,0.06896551724137931,114.99277024552401,125.12471180637633,-10.131941560852312,-0.2428566882766616,-0.017737961079909718,24.0,28.0,29.0,28.0,-5.010061921395231,28.0
DET,Detroit Pistons,0.0,111.47319059428928,121.16772366196336,-9.694533067674087,-0.2481274471541536,-0.006461207987527763,16.0,30.0,28.0,29.0,-5.200648639743282,29.0
CHA,Charlotte Hornets,0.034482758620689655,107.69592864357581,118.79375877577098,-11.09783013219517,-0.2982578850441651,-0.0007696593034067573,11.0,29.0,30.0,30.0,-5.719598849662202,30.0
