homeTeamAbbrev,teamName,observedRecord,observedWinPercent,win,pointsForAvg,pointsAgainstAvg,movAvg,observedDominance,scheduleStrength,scheduleStrengthRank,winRank,movRank,dominanceRank,ovr,ovrRank
BOS,Boston Celtics,35 - 10,0.7777777777777778,1.0,120.06787518486118,107.70421150004613,12.363663684815052,0.2202838843559356,-0.0077780344263568306,17.0,1.0,1.0,1.0,5.316631728907014,1.0
OKC,Oklahoma City Thunder,32 - 13,0.7111111111111111,0.9310344827586207,121.07718865210398,111.39867851629621,9.67851013580777,0.1411422976553503,0.0017249892239238852,9.0,3.0,2.0,4.0,4.064310613338365,2.0
MIN,Minnesota Timberwolves,32 - 13,0.7111111111111111,0.9655172413793104,113.07278312634848,106.04152055021841,7.031262576130075,0.1599031197688727,0.0026227996445564693,7.0,2.0,4.0,2.0,3.9151172597869444,3.0
LAC,LA Clippers,29 - 14,0.6744186046511628,0.8620689655172413,118.76689762165556,110.42254115245439,8.344356469201173,0.1354160793186196,-0.002713763417702797,14.0,5.0,3.0,5.0,3.5870694702215498,4.0
NO,New Orleans Pelicans,26 - 19,0.5777777777777777,0.896551724137931,116.99399813106173,111.3848302059844,5.60916792507733,0.1437431023541755,0.0011387294097405657,10.0,4.0,6.0,3.0,3.343753028592901,5.0
PHI,Philadelphia 76ers,29 - 14,0.6744186046511628,0.8275862068965517,118.31012472496268,112.37691607096906,5.933208653993617,0.1013315415729657,-0.03824588319285523,29.0,6.0,5.0,6.0,2.8386591883675156,6.0
NY,New York Knicks,28 - 17,0.6222222222222222,0.7931034482758621,114.2830911303667,108.75850608543153,5.524585044935165,0.0655978813271227,-0.016412650054182888,22.0,7.0,7.0,9.0,2.386010189644462,7.0
DEN,Denver Nuggets,31 - 15,0.6739130434782609,0.7241379310344828,115.35696492034357,110.85239043036097,4.504574489982602,0.1001077724185069,-0.003313601944559265,15.0,9.0,9.0,7.0,2.2678890041745348,8.0
CLE,Cleveland Cavaliers,27 - 16,0.627906976744186,0.6896551724137931,113.62095078866226,108.75895347618157,4.861997312480682,0.0727207805430057,-0.017408445787165487,26.0,10.0,8.0,8.0,1.9977099427220635,9.0
MIL,Milwaukee Bucks,31 - 14,0.6888888888888889,0.7586206896551724,122.67033142505174,119.10962676157153,3.560704663480209,0.0481977650042977,-0.0408955856576819,30.0,8.0,10.0,12.0,1.8353493265452905,10.0
PHX,Phoenix Suns,26 - 19,0.5777777777777777,0.6551724137931034,115.88110697565604,113.07875191073754,2.802355064918501,0.0636635304346093,-0.028903095686655333,27.0,11.0,11.0,10.0,1.4967247104500738,11.0
SAC,Sacramento Kings,25 - 18,0.5813953488372093,0.6206896551724138,117.32248568621516,115.85953034587443,1.4629553403407272,0.0611343789752514,0.0036048677602251605,5.0,12.0,12.0,11.0,1.15710916576048,12.0
IND,Indiana Pacers,26 - 21,0.5531914893617021,0.5517241379310345,123.43310518683775,122.51005087099834,0.9230543158394084,0.0110761922844544,-0.01539121124373001,21.0,13.5,13.0,16.0,0.4598703366423286,13.0
