homeTeamAbbrev,teamName,win,pointsForAvg,pointsAgainstAvg,movAvg,observedDominance,scheduleStrength,scheduleStrengthRank,winRank,movRank,dominanceRank,ovr,ovrRank
BOS,Boston Celtics,29,118.3564854423095,102.9983818610438,15.35810358126571,1.2129446261816423,1.1046310727369453,1.0,1.0,1.0,1.0,5.7514243156212945,1.0
PHI,Philadelphia 76ers,27,117.02831341451902,104.4621096815567,12.566203732962322,1.1179582063771485,1.0395960882373725,7.0,3.0,2.0,3.0,4.237936073320195,2.0
MIN,Minnesota Timberwolves,28,110.47566467613721,100.1997949273843,10.27586974875291,1.1329029694542725,1.079693921855592,2.0,2.0,3.0,2.0,4.192476299028025,3.0
LAC,LA Clippers,26,113.97546913590288,104.44450867170066,9.530960464202224,1.1002168713164977,1.0487486373547723,6.0,4.0,5.0,5.0,3.550141790403178,4.0
DEN,Denver Nuggets,24,112.21958952083247,105.08852575922943,7.131063761603045,1.0890504632172946,1.049128987368316,5.0,6.0,6.0,6.0,2.895438324692205,5.0
OKC,Oklahoma City Thunder,25,115.86178072311841,106.04354413793536,9.818236585183058,1.038640258509454,1.0080711262618258,14.0,5.0,4.0,14.0,2.881088460832501,6.0
NO,New Orleans Pelicans,23,112.76103170336465,108.47559002858647,4.285441674778184,1.1147607270877793,1.0689985658895942,3.0,7.0,7.0,4.0,2.6510284939802733,7.0
HOU,Houston Rockets,22,108.22935919773992,104.41966781799245,3.809691379747477,1.0530962668428188,1.0231270208245384,9.0,8.0,8.0,13.0,1.879928711642635,8.0
MIL,Milwaukee Bucks,21,117.49080802663235,114.70236860178169,2.788439424850665,1.0543037499411714,0.9894403872513012,19.0,9.0,9.0,12.0,1.6416400697427478,9.0
PHX,Phoenix Suns,18,109.23895340049089,107.64846169976516,1.590491700725721,1.0613723400647204,1.0103683801714325,12.0,11.5,12.0,8.0,1.207408142649448,10.0
SAC,Sacramento Kings,18,116.41329010253914,114.64234150938552,1.7709485931536193,1.0564731561486094,1.0324172509628042,8.0,11.5,11.0,10.0,1.184186174725732,11.0
CLE,Cleveland Cavaliers,17,107.15404025172985,105.73599427464282,1.4180459770870328,1.057116722796206,1.0220299007495386,10.0,13.0,14.0,9.0,1.029113452729404,12.0
DAL,Dallas Mavericks,19,115.77193683189745,113.71664960836027,2.055287223537178,0.9934859851875996,0.9903864323383511,18.0,10.0,10.0,18.0,0.730089089021619,13.0
ORL,Orlando Magic,14,109.1425030855562,107.67082426617506,1.4716788193811396,1.0545611633132583,1.0120178971656753,11.0,16.5,13.0,11.0,0.6682444465317554,14.0
GS,Golden State Warriors,14,109.63750981718067,109.44943583821481,0.18807397896586053,1.0650544214741595,1.0511784332367577,4.0,16.5,19.0,7.0,0.5989995502341185,15.0
MIA,Miami Heat,14,113.014269303581,112.65994921844407,0.35432008513693347,1.0291586745391934,0.9957614962487372,16.0,16.5,17.0,15.0,0.27554147088858993,16.0
BKN,Brooklyn Nets,14,111.22989810192774,110.30947695330366,0.9204211486240865,1.015005861026667,1.0092644161760218,13.0,16.5,16.0,16.0,0.2143988517233926,17.0
NY,New York Knicks,12,108.60305824571692,107.61953381984932,0.9835244258675999,1.009845709193644,0.9978890819477926,15.0,19.0,15.0,17.0,-0.055822625420519634,18.0
LAL,Los Angeles Lakers,15,112.1486208551576,111.87991417327153,0.26870668188607283,0.9720037679960372,0.9916674652289557,17.0,14.0,18.0,20.0,-0.1714853786775472,19.0
IND,Indiana Pacers,10,121.25973790971206,123.53722645477599,-2.2774885450639317,0.9783711531252198,0.9673417049061391,22.0,20.0,21.0,19.0,-1.0202088175152626,20.0
ATL,Atlanta Hawks,9,112.79869546708464,114.57501059116211,-1.7763151240774704,0.9621240161381972,0.9783920846967867,21.0,21.0,20.0,22.0,-1.2245827963345937,21.0
TOR,Toronto Raptors,8,107.29889621815678,110.44618893520675,-3.1472927170499645,0.9687506147904682,0.9808122533290888,20.0,22.0,22.0,21.0,-1.4570952398151098,22.0
CHI,Chicago Bulls,7,103.49208000142707,109.04178859177541,-5.549708590348345,0.9046664638812832,0.9536689697363924,23.0,23.0,23.0,23.0,-2.5070207044276134,23.0
POR,Portland Trail Blazers,6,101.27369864964385,110.82091162627543,-9.547212976631585,0.8782325130973476,0.9182842820875835,28.0,24.0,26.0,25.0,-3.4061096265863284,24.0
UTAH,Utah Jazz,2,105.45837749974986,113.08469966793572,-7.626322168185865,0.8810646464035629,0.949727517712681,25.0,28.0,24.0,24.0,-3.581925763923994,25.0
MEM,Memphis Grizzlies,5,104.55890182394805,113.78174227154324,-9.222840447595189,0.8626871357776416,0.9516089226053464,24.0,25.0,25.0,26.0,-3.62717822045257,26.0
WSH,Washington Wizards,4,115.98954058272916,125.62733896746606,-9.637798384736897,0.8179124673781722,0.8941852393493932,29.0,26.0,27.0,29.0,-4.227645686526492,27.0
CHA,Charlotte Hornets,3,106.21006066205167,117.77323569092823,-11.563175028876557,0.8557354360234248,0.9394842178317988,27.0,27.0,28.0,27.0,-4.233414060953333,28.0
SA,San Antonio Spurs,0,109.55879596818524,122.42189754911827,-12.863101580933034,0.85527717629715,0.9452238491096634,26.0,30.0,29.0,28.0,-4.7536197467359855,29.0
DET,Detroit Pistons,1,105.55492891343205,118.92918233764408,-13.374253424212029,0.7912768855115746,0.8874957138838008,30.0,29.0,30.0,30.0,-5.3229750503977575,30.0
