homeTeamAbbrev,teamName,win,pointsForAvg,pointsAgainstAvg,movAvg,observedDominance,scheduleStrength,scheduleStrengthRank,winRank,movRank,dominanceRank,ovr,ovrRank
HOU,Houston Cougars,355,76.82425239433037,40.44582489785105,36.378427496479325,1.353307056952604,0.9998638959359565,173.0,3.0,3.0,1.0,7.017739802996028,1.0
CREI,Creighton Bluejays,356,95.67765907040186,58.63274609794807,37.04491297245379,1.33085702442092,0.993913113235271,191.0,2.0,2.0,2.0,6.916234963658566,2.0
ARIZ,Arizona Wildcats,357,93.81246672031641,54.98973621798556,38.82273050233085,1.2989300649489357,0.9926093941868508,195.0,1.0,1.0,7.0,6.830953723213673,3.0
CONN,UConn Huskies,353,88.7944397990381,57.908498415765344,30.88594138327276,1.3064928770242688,0.9977481337404926,181.0,5.0,5.0,5.0,6.242920069626127,4.0
PUR,Purdue Boilermakers,351,87.34762989941356,58.80806407309007,28.53956582632349,1.3257200003635683,1.1432559835816476,2.0,6.0,9.0,3.0,6.183697520287694,5.0
BAY,Baylor Bears,350,89.55584711590436,59.0216313369485,30.534215778955854,1.302200285362026,1.0288723525910184,97.0,8.0,6.0,6.0,6.156205302951465,6.0
OU,Oklahoma Sooners,354,84.47500812176544,58.02274957958989,26.45225854217555,1.3077500108276523,0.9769437916715535,235.0,4.0,10.0,4.0,5.924296980005304,7.0
ALA,Alabama Crimson Tide,350,96.02902956906247,67.13102559792564,28.89800397113683,1.2490206168662978,1.0869259780341574,11.0,8.0,8.0,14.0,5.648237891903587,8.0
AUB,Auburn Tigers,350,84.2014106833928,59.78990219364878,24.411508489744016,1.2786216977556453,1.0297794133431086,94.0,8.0,12.0,8.0,5.520313422106706,9.0
BYU,BYU Cougars,349,90.86610727691712,58.39558530752108,32.47052196939604,1.1802745028434125,0.968152293752091,256.0,10.0,4.0,41.0,5.414684056706223,10.0
ISU,Iowa State Cyclones,342,84.19871758204403,54.95739782319795,29.241319758846075,1.2005490033629125,0.92344666508326,339.0,16.0,7.0,32.0,5.247508647859162,11.0
FAU,Florida Atlantic Owls,347,84.47444934856043,61.680494822812804,22.793954525747623,1.2558527485444202,1.061959615426451,28.0,11.0,15.0,12.0,5.204053124457001,12.0
UK,Kentucky Wildcats,343,89.01054878425225,64.31028604208782,24.700262742164426,1.2348312478076704,1.0212927325231862,110.0,15.0,11.0,20.0,5.158854120356962,13.0
MSST,Mississippi State Bulldogs,346,76.14336606177228,56.065950915788754,20.07741514598353,1.275612544860082,1.0182011728109523,120.0,12.0,23.0,9.0,5.130172585098634,14.0
MARQ,Marquette Golden Eagles,344,83.1874663276131,59.78426040577775,23.403205921835344,1.2378458156225698,1.0681434572882385,24.0,14.0,14.0,18.0,5.091566305574812,15.0
CLEM,Clemson Tigers,345,82.17274895176222,61.34299061379814,20.829758337964073,1.2605734827496669,1.0830305312678914,14.0,13.0,20.0,11.0,5.069307069763841,16.0
OSU,Ohio State Buckeyes,337,80.53963652475777,60.47933386154251,20.06030266321526,1.2737546474217714,1.0144221701355003,132.0,21.0,24.0,10.0,5.02847604922786,17.0
KU,Kansas Jayhawks,337,82.2510520433953,60.4555285077003,21.795523535695004,1.2475503247655226,1.0573292485021777,39.0,21.0,18.0,16.0,4.9715522637297855,18.0
CSU,Colorado State Rams,334,86.854025802327,66.04189687691462,20.81212892541238,1.252674194880965,1.0481588230810779,57.0,24.0,21.0,13.0,4.904674971736427,19.0
GONZ,Gonzaga Bulldogs,335,82.80981425326056,62.24438157659909,20.565432676661466,1.2463044030524597,1.0724568469894047,19.0,23.0,22.0,17.0,4.849638984534927,20.0
TENN,Tennessee Volunteers,340,85.17674720910877,60.9986500894406,24.178097119668166,1.1870971877679977,1.1211066482737568,4.0,18.0,13.0,38.0,4.745921574394773,21.0
SC,South Carolina Gamecocks,331,78.08337904336602,59.84478514315536,18.23859390021066,1.2489874580690516,1.0207305260967852,113.0,26.5,31.0,15.0,4.653273684178535,22.0
CIN,Cincinnati Bearcats,341,83.1608869142607,61.190319496839365,21.970567417421336,1.194895308259898,0.9651308083394771,267.0,17.0,17.0,35.0,4.643850194997395,23.0
INST,Indiana State Sycamores,331,88.33393818054097,65.79618083616953,22.537757344371443,1.1998182820455174,1.0118655738032327,140.0,26.5,16.0,33.0,4.62584198360396,24.0
UNC,North Carolina Tar Heels,333,85.26629793916133,65.2387376581887,20.027560280972637,1.2208798196847337,1.0612803360037115,30.0,25.0,25.0,25.0,4.606047621032741,25.0
NU,Northwestern Wildcats,337,78.61411175506503,60.06684292232388,18.547268832741146,1.2234108261066974,1.0288015033278004,98.0,21.0,29.0,22.0,4.550329946494937,26.0
DRKE,Drake Bulldogs,339,81.87874451438883,62.95977322263949,18.918971291749337,1.216424876647106,1.0556833197112332,42.0,19.0,28.0,27.0,4.5475706700735286,27.0
UNM,New Mexico Lobos,321,83.41136494344168,62.56386484304227,20.847500100399415,1.2185733171125808,0.9978492761943087,180.0,36.5,19.0,26.0,4.535807575551546,28.0
PRIN,Princeton Tigers,330,81.39353435481617,62.462128845145294,18.931405509670874,1.223325497853179,1.0041955907274698,157.0,28.5,27.0,23.0,4.511278527414586,29.0
USU,Utah State Aggies,319,79.8485918918039,62.22433506137577,17.624256830428138,1.2321309207400004,1.0467984893643874,61.0,40.0,36.0,21.0,4.368983086557999,30.0
BUT,Butler Bulldogs,324,78.69138694653701,60.29684070372474,18.394546242812268,1.21249292762372,0.9893847908652376,206.0,33.5,30.0,29.0,4.334319275498891,31.0
JMU,James Madison Dukes,321,82.3820613345102,65.86961431916153,16.51244701534867,1.221063286637,1.012607521212524,135.0,36.5,45.0,24.0,4.223912510779677,32.0
UVA,Virginia Cavaliers,310,70.2130513510244,53.028606595472084,17.18444475555232,1.215361035498023,1.0112036653297467,142.0,47.5,40.0,28.0,4.127595912347339,33.0
