homeTeamAbbrev,teamName,win,pointsForAvg,pointsAgainstAvg,movAvg,observedDominance,scheduleStrength,scheduleStrengthRank,winRank,movRank,dominanceRank,ovr,ovrRank
HOU,Houston Cougars,0.9805555555555555,76.97663409361833,50.24251608575727,26.734118007861056,1.3940325495760215,1.0340901476546975,92.0,6.5,2.0,4.0,6.7601164254086195,1.0
PUR,Purdue Boilermakers,0.9805555555555555,85.8005136540127,63.06909012031209,22.731423533700614,1.4340535191146335,1.1597190161250432,1.0,6.5,6.0,1.0,6.60608752229691,2.0
CONN,UConn Huskies,0.9861111111111112,86.8349911871628,63.00926261226733,23.82572857489547,1.390190405013087,1.0645314871657137,49.0,4.5,3.0,5.0,6.465185935375571,3.0
AUB,Auburn Tigers,0.9972222222222222,86.3880636164703,64.47296848143748,21.91509513503283,1.4071773116687458,1.0353419776851776,91.0,1.5,8.0,3.0,6.417132221019051,4.0
ARIZ,Arizona Wildcats,0.9972222222222222,94.98722482342897,67.14930384637765,27.837920977051326,1.3050600090646562,1.1260195986511181,7.0,1.5,1.0,12.0,6.381515210932587,5.0
ALA,Alabama Crimson Tide,0.975,93.12383956367275,70.14994559605604,22.973893967616704,1.3615132732040625,1.1504877024275815,2.0,11.0,5.0,6.0,6.165437901228653,6.0
CREI,Creighton Bluejays,0.9666666666666667,83.00458226897226,64.25750075691374,18.747081512058514,1.4111558939040605,1.0734460696604495,40.0,12.5,12.0,2.0,6.0192726841782,7.0
TENN,Tennessee Volunteers,0.9944444444444445,80.97748242348027,58.92841641708995,22.04906600639032,1.3126128885215096,1.150369971304914,3.0,3.0,7.0,11.0,5.83995972804819,8.0
ISU,Iowa State Cyclones,0.9444444444444444,82.83576787035058,59.42095918450607,23.414808685844513,1.2664261633974925,0.9841127957896878,210.0,21.5,4.0,24.0,5.5195378453242405,9.0
UNC,North Carolina Tar Heels,0.95,84.32336893103103,66.12211083770775,18.201258093323275,1.3358476840803075,1.1078841510411777,14.0,19.0,14.0,7.0,5.444391171281115,10.0
DUKE,Duke Blue Devils,0.9638888888888889,82.75581968832702,64.48084014825625,18.274979540070774,1.281369786459002,1.0574714823751525,58.0,14.0,13.0,18.0,5.165172557632978,11.0
WIS,Wisconsin Badgers,0.9583333333333334,78.77913123694134,61.556661713810335,17.222469523131004,1.2996377513395112,1.1351978850534492,6.0,15.5,15.0,14.0,5.153010713837371,12.0
MSU,Michigan State Spartans,0.9777777777777777,81.19802009565471,61.278589316879625,19.919430778775087,1.2425341146204798,1.1201570895258834,9.0,9.0,10.0,37.0,5.138973157540866,13.0
UK,Kentucky Wildcats,0.9666666666666667,90.08334223068958,73.51796917861918,16.5653730520704,1.3027862465018474,1.0536525307560551,65.0,12.5,19.0,13.0,5.135560065573696,14.0
BAY,Baylor Bears,0.8916666666666667,85.4721097834659,66.06549611517046,19.406613668295435,1.2772339914234634,1.0723582538111198,41.0,38.5,11.0,19.0,5.002748492246743,15.0
USU,Utah State Aggies,0.9583333333333334,81.47590967358549,64.74248686340684,16.733422810178652,1.2719566583455606,1.0506175573146352,68.0,15.5,18.0,22.0,4.9340988056182,16.0
MSST,Mississippi State Bulldogs,0.9555555555555556,78.85225446180716,63.74571275786629,15.10654170394087,1.2923639337554191,1.0675564491100604,46.0,17.0,27.0,16.0,4.887314910406265,17.0
SJU,St. John's Red Storm,0.8666666666666667,82.41361069360066,66.9952668897774,15.418343803823262,1.3305698738570575,1.1084055794572645,13.0,47.5,25.0,9.0,4.845394686668021,18.0
OSU,Ohio State Buckeyes,0.9027777777777778,77.29272307001594,61.64480456539896,15.647918504616982,1.299417996702624,1.055253905643839,63.0,34.0,23.0,15.0,4.801991108964637,19.0
ILL,Illinois Fighting Illini,0.9444444444444444,84.21133925950815,67.28427250295334,16.927066756554808,1.255029846368521,1.0719850618627527,42.0,21.5,16.0,32.0,4.801367255892787,20.0
MARQ,Marquette Golden Eagles,0.9416666666666667,83.24136943514549,66.83439622869433,16.406973206451156,1.2598516906253272,1.1456750327364036,5.0,23.0,20.0,28.0,4.769411088194465,21.0
