homeTeamAbbrev,teamName,win,pointsForAvg,pointsAgainstAvg,movAvg,observedDominance,scheduleStrength,scheduleStrengthRank,winRank,movRank,dominanceRank,ovr,ovrRank
HOU,Houston Cougars,0.9361111111111111,76.94506935892439,50.301793620109926,26.64327573881446,1.4369281387151742,1.0179210577065296,123.0,4.0,2.0,2.0,6.9674494618975285,1.0
PUR,Purdue Boilermakers,0.95,86.0243404958326,62.46514380405563,23.559196691776975,1.473724575216681,1.1475701496747972,2.0,2.0,6.0,1.0,6.94459534150954,2.0
ARIZ,Arizona Wildcats,0.9611111111111111,95.53278401388573,67.1794291423925,28.353354871493238,1.3124229396722125,1.1284092395251262,8.0,1.0,1.0,14.0,6.500170935393129,3.0
CONN,UConn Huskies,0.9277777777777778,86.10918541808901,61.856001587260984,24.25318383082803,1.3849918689069882,1.0415902043985958,82.0,6.5,4.0,5.0,6.394671530765513,4.0
AUB,Auburn Tigers,0.9444444444444444,87.4694194124953,66.66259980813898,20.80681960435632,1.416665166976343,1.0191969179223583,120.0,3.0,9.0,3.0,6.318027688480162,5.0
ALA,Alabama Crimson Tide,0.9222222222222223,96.21863035650367,71.25538110357434,24.96324925292933,1.3479617108560054,1.169203552925918,1.0,9.0,3.0,6.0,6.221250090527772,6.0
CREI,Creighton Bluejays,0.8944444444444445,83.81010294776614,64.81126550891373,18.998837438852405,1.4100844163692985,1.0773216586585823,35.0,17.0,12.0,4.0,5.896824564495873,7.0
TENN,Tennessee Volunteers,0.9333333333333333,80.80900971517063,59.62101605559835,21.187993659572278,1.3142672185346147,1.1284263784019837,7.0,5.0,8.0,13.0,5.703163613756208,8.0
UK,Kentucky Wildcats,0.9194444444444444,90.52351635672125,72.67247414371539,17.851042213005854,1.3201503573792193,1.0475161703866007,69.0,10.5,15.0,11.0,5.357752890351597,9.0
ISU,Iowa State Cyclones,0.8611111111111112,85.10028258793425,61.67808644174143,23.422196146192817,1.269789817510084,0.9285475416858788,322.0,24.5,7.0,28.0,5.356334936282164,10.0
MSU,Michigan State Spartans,0.9277777777777778,81.12248890091827,60.522156004247314,20.600332896670956,1.2572195095388785,1.1046021198021854,15.0,6.5,10.0,32.0,5.2859135158107895,11.0
