homeTeamAbbrev,teamName,observedRecord,observedWinPercent,win,pointsForAvg,pointsAgainstAvg,movAvg,observedDominance,scheduleStrength,scheduleStrengthRank,winRank,movRank,dominanceRank,ovr,ovrRank
HOU,Houston Cougars,16.0 - 2.0,0.8888888888888888,0.9888888888888889,76.32676203894759,49.98477621354333,26.341985825404265,0.3359179040875056,0.05563090705361906,55.0,5.0,1.0,4.0,6.649512046403701,1.0
PUR,Purdue Boilermakers,17.0 - 2.0,0.8947368421052632,0.9944444444444445,86.55178810606324,64.23671301752313,22.315075088540112,0.3977495256457516,0.1511007710253872,1.0,3.0,3.0,1.0,6.629191852165645,2.0
AUB,Auburn Tigers,16.0 - 2.0,0.8888888888888888,1.0,85.95299055758697,64.76231991753889,21.190670640048083,0.3570074083334901,0.027328886831228243,93.0,1.0,5.0,2.0,6.275668314398864,3.0
CONN,UConn Huskies,17.0 - 2.0,0.8947368421052632,0.9888888888888889,84.4875919689402,63.07056496647448,21.417027002465716,0.3428121770063395,0.05774766325052716,53.0,5.0,4.0,3.0,6.172628665252269,4.0
TENN,Tennessee Volunteers,14.0 - 4.0,0.7777777777777778,0.9972222222222222,80.6485864693754,59.92591522137328,20.722671248002122,0.2989251226362274,0.13968755131912522,2.0,2.0,7.0,7.0,5.854495704269997,5.0
ALA,Alabama Crimson Tide,12.0 - 6.0,0.6666666666666666,0.975,90.65592228957041,70.07377269035014,20.582149599220273,0.2867701038121514,0.13631565755100322,4.0,9.5,8.0,8.0,5.68702982763082,6.0
ARIZ,Arizona Wildcats,13.0 - 4.0,0.7647058823529411,0.9888888888888889,90.9560169399938,67.69544917736366,23.260567762630146,0.2253172658608105,0.09646087323039187,19.0,5.0,2.0,28.0,5.634602946140422,7.0
UNC,North Carolina Tar Heels,15.0 - 2.0,0.8823529411764706,0.975,84.1232592141843,65.79873516120361,18.324524052980692,0.3137370562839298,0.09637532813516823,20.0,9.5,10.0,6.0,5.616867608553983,8.0
CREI,Creighton Bluejays,14.0 - 4.0,0.7777777777777778,0.9527777777777777,82.3617850990647,64.60280987582439,17.758975223240313,0.3205372412200442,0.09470461903299998,23.0,18.0,11.0,5.0,5.52272965589827,9.0
ISU,Iowa State Cyclones,13.0 - 4.0,0.7647058823529411,0.9583333333333334,81.2525187938096,60.15793613281328,21.094582660996316,0.2487288167264172,-0.003190786234544199,143.0,16.0,6.0,19.0,5.446288120095573,10.0
BYU,BYU Cougars,13.0 - 4.0,0.7647058823529411,0.9333333333333333,86.39382352774932,66.1284469397275,20.265376588021823,0.234791811910036,0.007103678254902604,122.0,24.5,9.0,25.0,5.1854091146429795,11.0
ILL,Illinois Fighting Illini,14.0 - 4.0,0.7777777777777778,0.9583333333333334,83.40829878809001,66.80156125216132,16.606737535928687,0.2555979204265281,0.08066320695091586,30.0,16.0,15.0,14.0,5.0153889219993095,12.0
UK,Kentucky Wildcats,14.0 - 3.0,0.8235294117647058,0.9777777777777777,89.5706210622736,74.89485919946289,14.675761862810717,0.2703488995764781,0.05977993808158688,51.0,8.0,24.0,11.0,4.9707720658508405,13.0
MARQ,Marquette Golden Eagles,13.0 - 5.0,0.7222222222222222,0.9694444444444444,83.39537946251286,67.33741775779045,16.057961704722416,0.2495400863096942,0.13716798132833066,3.0,12.5,17.0,18.0,4.958108520613818,14.0
MSU,Michigan State Spartans,12.0 - 6.0,0.6666666666666666,0.9694444444444444,78.27835540673506,61.07458228408603,17.203773122649032,0.2241207314082021,0.09853678004588765,18.0,12.5,14.0,29.0,4.9205590479140655,15.0
DAY,Dayton Flyers,15.0 - 2.0,0.8823529411764706,0.9416666666666667,77.07448794619738,60.66254703066218,16.411940915535197,0.2521018328417655,0.08197283708988597,29.0,22.5,16.0,16.0,4.915396033698155,16.0
KU,Kansas Jayhawks,15.0 - 3.0,0.8333333333333334,0.9805555555555555,81.65882464617668,66.43724152251524,15.221583123661446,0.2485024820636256,0.07626568184592673,34.0,7.0,20.0,20.0,4.901772290659972,17.0
WIS,Wisconsin Badgers,14.0 - 4.0,0.7777777777777778,0.9611111111111111,79.67472243568037,64.69852458308722,14.976197852593145,0.2598358469744246,0.12295812672095235,6.0,14.0,22.0,12.0,4.87930169440882,18.0
BAY,Baylor Bears,14.0 - 4.0,0.7777777777777778,0.8972222222222223,82.7453466474926,65.25202212481437,17.493324522678222,0.2387220977723375,0.07368713179511394,36.0,36.0,12.0,24.0,4.7924349682893075,19.0
DUKE,Duke Blue Devils,13.0 - 4.0,0.7647058823529411,0.95,81.8639192749046,66.34922041646946,15.514698858435139,0.2153141802044145,0.04058850182536749,72.0,19.0,18.0,32.0,4.620114257179994,20.0
UNM,New Mexico Lobos,16.0 - 3.0,0.8421052631578947,0.9305555555555556,83.23372602897543,68.86962157361249,14.364104455362934,0.2389338178791404,0.03658613919966039,80.0,26.5,28.0,23.0,4.578700807092752,21.0
SMC,Saint Mary's Gaels,14.0 - 6.0,0.7,0.8888888888888888,73.8438577987879,56.37609384248117,17.467763956306726,0.2030837307552853,0.05054186320545364,61.0,40.0,13.0,39.0,4.538702015595417,22.0
OSU,Ohio State Buckeyes,13.0 - 5.0,0.7222222222222222,0.8694444444444445,77.02104835605556,61.69511396372041,15.32593439233515,0.2497363499119473,0.05308652835189086,59.0,48.5,19.0,17.0,4.536274911698303,23.0
SJU,St. John's Red Storm,12.0 - 7.0,0.631578947368421,0.8777777777777778,80.67052988725347,66.4128174520526,14.257712435200872,0.25777221537378,0.11642389247584455,9.0,45.5,30.0,13.0,4.5024371384442725,24.0
CLEM,Clemson Tigers,13.0 - 5.0,0.7222222222222222,0.9277777777777778,83.43574375929644,71.3197214639319,12.116022295364544,0.2438076293166436,0.10543728310158909,13.0,28.0,46.0,21.0,4.362181325530441,25.0
