homeTeamAbbrev,teamName,observedRecord,observedWinPercent,win,pointsForAvg,pointsAgainstAvg,movAvg,observedDominance,scheduleStrength,scheduleStrengthRank,winRank,movRank,dominanceRank,ovr,ovrRank
UGA,Georgia Bulldogs,13.0 - 1.0,0.9285714285714286,0.9772727272727273,64.00840567012027,-2.891374103704733,66.899779773825,0.3867463410208536,0.0947977213209478,22.0,2.0,1.0,3.0,6.302820156701428,1.0
TEX,Texas Longhorns,12.0 - 2.0,0.8571428571428571,0.9545454545454546,65.68926332768645,-0.7677745796405601,66.457037907327,0.3751616523935047,0.10325513775223163,14.0,5.0,2.0,4.0,6.1479048218384476,2.0
ORE,Oregon Ducks,12.0 - 2.0,0.8571428571428571,0.946969696969697,56.23088200624505,-2.209612384816268,58.440494391061314,0.4049765408257607,0.1321090707954947,5.0,6.0,3.0,2.0,5.947209555297146,3.0
MICH,Michigan Wolverines,15.0 - 0.0,1.0,0.9621212121212122,47.644262976378805,-3.949646614263404,51.59390959064221,0.4133483391361423,0.06222203431282099,42.0,3.5,4.0,1.0,5.773462731406897,4.0
ALA,Alabama Crimson Tide,12.0 - 2.0,0.8571428571428571,0.9621212121212122,42.709741089721724,-1.6986600647292434,44.40840115445097,0.34142857670755,0.14398228981534072,1.0,3.5,10.0,6.0,5.150887916500043,5.0
MIZ,Missouri Tigers,11.0 - 2.0,0.8461538461538461,0.9166666666666666,48.14152598007378,1.0023251329551959,47.13920084711859,0.3184684887821988,0.10581432586882286,12.0,9.0,7.0,7.0,4.983878444935223,6.0
PSU,Penn State Nittany Lions,10.0 - 3.0,0.7692307692307693,1.0,45.76777680789545,-4.504348400887264,50.27212520878272,0.2283716783683278,0.08801567599379025,24.0,1.0,5.0,17.0,4.982959271422436,7.0
OSU,Ohio State Buckeyes,11.0 - 2.0,0.8461538461538461,0.9166666666666666,46.17876608029887,-0.8226904113615805,47.00145649166045,0.306018920955158,0.10667560736792521,11.0,9.0,8.0,8.0,4.919489154632805,8.0
OU,Oklahoma Sooners,10.0 - 3.0,0.7692307692307693,0.9166666666666666,61.043945528631866,14.410071517882896,46.63387401074897,0.2912489491500035,0.06634869409228504,40.0,9.0,9.0,9.0,4.835091430664,9.0
WASH,Washington Huskies,14.0 - 1.0,0.9333333333333332,0.9090909090909091,51.24306255065907,18.064330453818098,33.178732096840974,0.3686835218205592,0.14264601096040702,2.0,12.0,15.0,5.0,4.6467216172546815,10.0
KSU,Kansas State Wildcats,9.0 - 4.0,0.6923076923076923,0.8863636363636364,57.30850041326939,9.142744544940992,48.165755868328404,0.2568586961647826,0.1297632300727684,7.0,16.0,6.0,12.0,4.622011762521868,11.0
ND,Notre Dame Fighting Irish,10.0 - 3.0,0.7692307692307693,0.9015151515151515,48.00230187885729,3.6472751458536843,44.355026733003605,0.2719032830506578,0.06708175356423053,39.0,14.0,11.0,11.0,4.598946481221514,12.0
ARIZ,Arizona Wildcats,10.0 - 3.0,0.7692307692307693,0.8560606060606061,50.01093896648894,13.226180520046967,36.78475844644198,0.2339516255303774,0.0812708772830341,26.0,19.5,12.0,15.0,3.9569009668987922,13.0
FSU,Florida State Seminoles,13.0 - 1.0,0.9285714285714286,0.8181818181818182,38.117250533098044,6.656331984067584,31.46091854903046,0.2772902109541136,0.06100533839312718,43.0,22.5,18.0,10.0,3.8156730510702475,14.0
ORST,Oregon State Beavers,8.0 - 5.0,0.6153846153846154,0.8560606060606061,44.19469544813051,12.608776612963412,31.5859188351671,0.236636016134244,0.13204958151399626,6.0,19.5,17.0,14.0,3.7657228570266277,15.0
LSU,LSU Tigers,10.0 - 3.0,0.7692307692307693,0.8636363636363636,52.82593560929121,25.901830652215427,26.92410495707578,0.2225459411906789,0.10682148201544259,10.0,17.5,22.0,20.0,3.5436820455326563,16.0
MISS,Ole Miss Rebels,11.0 - 2.0,0.8461538461538461,0.8106060606060606,39.80822182913024,12.353056491227465,27.455165337902777,0.2515180127637457,0.0805553116976286,29.0,24.5,20.0,13.0,3.5089039618662454,17.0
CLEM,Clemson Tigers,9.0 - 4.0,0.6923076923076923,0.8636363636363636,31.47330862361846,6.444205884726236,25.029102738892227,0.2250439222341952,0.06809668742726319,37.0,17.5,24.0,18.0,3.48119624119781,18.0
LOU,Louisville Cardinals,10.0 - 4.0,0.7142857142857143,0.7803030303030303,36.73020022744894,9.841699553182327,26.888500674266613,0.1834721374201113,0.07884804866177421,31.0,28.0,23.0,24.0,3.0540570248235754,19.0
TENN,Tennessee Volunteers,9.0 - 4.0,0.6923076923076923,0.7651515151515151,38.839826186536534,11.8604063095118,26.979419877024732,0.1924343280536416,0.06718464686318354,38.0,31.0,21.0,23.0,3.044978391659055,20.0
KU,Kansas Jayhawks,9.0 - 4.0,0.6923076923076923,0.7651515151515151,42.571500102444034,22.35362667051409,20.217873431929945,0.2292749907272836,0.07956598773633683,30.0,31.0,27.0,16.0,2.954346390219244,21.0
WVU,West Virginia Mountaineers,9.0 - 4.0,0.6923076923076923,0.7424242424242424,39.348587711950046,16.8678545556283,22.480733156321747,0.1947085500073183,0.05114167386154879,49.0,33.0,25.0,22.0,2.796654666045906,22.0
UTAH,Utah Utes,8.0 - 5.0,0.6153846153846154,0.7727272727272727,19.476819972775576,7.89572185827916,11.581098114496417,0.1524207848609178,0.1209652312574722,9.0,29.0,39.0,28.0,2.2790275471746453,23.0
ISU,Iowa State Cyclones,7.0 - 6.0,0.5384615384615384,0.803030303030303,27.428973582686446,13.008906696080741,14.420066886605705,0.0976185993550396,0.10257383717432932,15.0,26.0,36.0,39.0,2.240930144544406,24.0
UCLA,UCLA Bruins,8.0 - 5.0,0.6153846153846154,0.7196969696969697,31.176399742776304,14.697437480076143,16.47896226270016,0.1374112783610029,0.05837452510405576,44.0,35.5,31.0,31.0,2.2071261642218807,25.0
TA&M,Texas A&M Aggies,7.0 - 6.0,0.5384615384615384,0.696969696969697,31.699624211325155,15.688176622603196,16.011447588721957,0.1133583187309181,0.039806038554897685,57.0,38.0,33.0,36.0,1.992163632784351,26.0
MIA,Miami Hurricanes,7.0 - 6.0,0.5384615384615384,0.7121212121212122,34.665244754444416,17.765033219730466,16.90021153471395,0.07571319096977,0.05684435746429346,45.0,37.0,30.0,44.0,1.9037632169247174,27.0
MD,Maryland Terrapins,8.0 - 5.0,0.6153846153846154,0.6818181818181818,28.7421735061111,16.75970874422834,11.98246476188276,0.1167667091232887,0.04618308230246044,53.0,39.5,37.0,35.0,1.7951893299840962,28.0
HAW,Hawai'i Rainbow Warriors,5.0 - 8.0,0.3846153846153846,0.8939393939393939,53.68778654921938,18.34065405949442,35.34713248972496,-0.2591047935401004,-0.10185468729137678,95.0,15.0,13.0,114.0,1.702148955964149,29.0
