homeTeamAbbrev,teamName,win,pointsForAvg,pointsAgainstAvg,movAvg,observedDominance,scheduleStrength,scheduleStrengthRank,winRank,movRank,dominanceRank,ovr,ovrRank
ORE,Oregon Ducks,0.9924242424242424,39.48901973810956,15.49618187340033,23.99283786470923,1.4992673280707352,1.1606780374936991,5.0,2.0,2.0,2.0,6.209252775503705,1.0
MICH,Michigan Wolverines,0.9772727272727273,36.145352636419126,12.348355652926294,23.796996983492832,1.5118715782588072,1.0810760345545731,42.0,4.0,4.0,1.0,6.200482613371818,2.0
UGA,Georgia Bulldogs,1.0,39.86959707189923,15.914062318277292,23.955534753621937,1.4721830114670793,1.1225764050181535,18.0,1.0,3.0,3.0,6.101971405808727,3.0
TEX,Texas Longhorns,0.946969696969697,36.83985201262068,18.77213751421703,18.067714498403653,1.455226636474479,1.1253627662483991,17.0,7.5,8.0,4.0,5.319325767910016,4.0
PSU,Penn State Nittany Lions,0.9393939393939394,36.63728095734243,10.912102332673152,25.725178624669283,1.2565522719481654,1.11046024879418,23.0,9.0,1.0,17.0,5.01522778931323,5.0
WASH,Washington Huskies,0.9166666666666666,38.3523684921969,22.14996125279594,16.202407239400962,1.4458299576282945,1.1769498327279175,1.0,12.0,12.0,5.0,5.005730953996235,6.0
ND,Notre Dame Fighting Irish,0.9696969696969697,36.619822814786325,17.143036541877006,19.47678627290932,1.3124600580394772,1.089106432429691,37.0,5.0,5.0,11.0,4.836411279752662,7.0
ALA,Alabama Crimson Tide,0.9318181818181818,31.87726978980515,16.246703705530557,15.630566084274594,1.4069561002803148,1.1760535998719581,2.0,10.5,15.0,6.0,4.820715906139944,8.0
OSU,Ohio State Buckeyes,0.9015151515151515,34.588846026605324,15.371328406630084,19.21751761997524,1.3580080011133022,1.1299143058099916,12.0,14.5,6.0,8.0,4.798193838867891,9.0
MIZ,Missouri Tigers,0.9318181818181818,34.52621227709568,18.66211510149507,15.864097175600612,1.3750202919372687,1.1309627330919942,11.0,10.5,13.0,7.0,4.688044359454893,10.0
OU,Oklahoma Sooners,0.8787878787878788,39.54663006024487,22.367348279267393,17.17928178097748,1.338097660763989,1.0841378263326538,41.0,17.0,10.0,9.0,4.444882750221366,11.0
FSU,Florida State Seminoles,0.8484848484848485,34.15850528378815,16.76082751727523,17.39767776651292,1.319549263123183,1.0803150196470075,43.0,21.5,9.0,10.0,4.271149648871208,12.0
CLEM,Clemson Tigers,0.9848484848484849,32.8653909540579,17.12497987335641,15.740411080701492,1.2523777222114778,1.0843644700984916,40.0,3.0,14.0,18.0,4.27049755643488,13.0
LSU,LSU Tigers,0.9015151515151515,42.60750891112149,23.507985108173525,19.099523802947967,1.249253210512291,1.1257697146239314,16.0,14.5,7.0,20.0,4.265841391359313,14.0
KSU,Kansas State Wildcats,0.8863636363636364,36.04229046491126,19.78330636868594,16.258984096225323,1.2928624274321951,1.150286843932286,7.0,16.0,11.0,12.0,4.172609477915917,15.0
ARIZ,Arizona Wildcats,0.9090909090909091,36.50740373939513,21.95710318137926,14.55030055801587,1.2635833655541724,1.1033398315875658,28.0,13.0,17.0,15.0,3.959366823295505,16.0
JMU,James Madison Dukes,0.946969696969697,33.65487683928031,19.995476873756342,13.65939996552397,1.2375131141123827,0.9512064130959724,81.0,7.5,19.0,21.0,3.885641261417708,17.0
