homeTeamAbbrev,teamName,win,pointsForAvg,pointsAgainstAvg,movAvg,observedDominance,scheduleStrength,scheduleStrengthRank,winRank,movRank,dominanceRank,ovr,ovrRank
ORE,Oregon Ducks,132,48.766708724384216,12.934585483200271,35.83212324118394,1.3745575739380398,1.1256785145751356,3.0,1.0,2.0,3.0,6.55079128202253,1.0
WASH,Washington Huskies,127,43.90942727919417,17.65654439712612,26.25288288206805,1.3850736864327036,1.0979751516742575,16.0,5.5,3.0,2.0,5.831374685731293,2.0
TEX,Texas Longhorns,124,36.471407702540255,12.85044750025946,23.620960202280795,1.3896948661790844,1.0877408278113108,23.0,9.5,9.0,1.0,5.602428017314174,3.0
FSU,Florida State Seminoles,129,34.638392954607966,8.388007941089581,26.250385013518382,1.3287506204673305,1.0539483138114356,44.0,4.0,4.0,5.0,5.526649981352951,4.0
LSU,LSU Tigers,131,56.13969618314808,18.806334582195102,37.33336160095298,1.1936429942626867,1.1007870269083384,14.0,2.0,1.0,19.0,5.482490695703271,5.0
OU,Oklahoma Sooners,124,39.731575928750935,15.17753872444071,24.554037204310227,1.3185786031025364,1.0575503552674757,42.0,9.5,6.0,6.0,5.21618736093578,6.0
MICH,Michigan Wolverines,119,32.93451462014329,9.677792520665239,23.25672209947805,1.3495068768070315,0.9761989308068618,80.0,14.0,10.0,4.0,5.193209063699055,7.0
UGA,Georgia Bulldogs,127,37.38628703696603,17.056174817501006,20.330112219465025,1.301421453570498,1.0459986976393323,47.0,5.5,14.0,7.0,4.896223002750514,8.0
OSU,Ohio State Buckeyes,130,35.81671346883297,11.332236162436509,24.484477306396464,1.2392287955114654,1.0395825237180243,53.0,3.0,8.0,11.0,4.865030058156376,9.0
ALA,Alabama Crimson Tide,120,33.0819279297748,11.700801569403726,21.381126360371074,1.2996899952086958,1.101854567938949,12.0,13.0,12.0,8.0,4.775398649861703,10.0
MIZ,Missouri Tigers,123,36.86778399666915,17.66133138466532,19.206452612003826,1.2512448536442873,1.0600202157378311,37.0,11.0,15.0,9.0,4.397743896458213,11.0
LOU,Louisville Cardinals,125,32.123910165012475,14.67186185242874,17.452048312583734,1.2330336621907187,1.0793232999393578,25.0,7.5,17.0,12.0,4.214268357304621,12.0
ARIZ,Arizona Wildcats,121,37.905802708672496,20.669657829963107,17.23614487870939,1.2463135970062542,1.0740807026388322,26.0,12.0,18.0,10.0,4.179625674499046,13.0
PSU,Penn State Nittany Lions,118,32.50209131026171,7.5763474700466285,24.925743840215084,1.17236001201622,1.0451652088469103,48.0,15.0,5.0,21.0,4.160248741934254,14.0
KSU,Kansas State Wildcats,116,36.17404977327619,19.560237060546523,16.613812712729665,1.2319027317953015,1.1277686286362154,2.0,16.0,19.0,13.0,3.9158922768830173,15.0
ND,Notre Dame Fighting Irish,115,37.40401109717755,14.742760465857463,22.661250631320087,1.163570438436945,1.061743502525818,36.0,17.5,11.0,23.0,3.8715809300420236,16.0
TENN,Tennessee Volunteers,125,39.68044271672245,15.134280319282992,24.54616239743946,1.101740498773184,1.0488281088268243,45.0,7.5,7.0,37.0,3.8690968581103817,17.0
KU,Kansas Jayhawks,111,39.18503894990874,22.817104760198845,16.367934189709892,1.2150580523652097,1.1037816367617461,11.0,22.0,20.0,16.0,3.6625370185550468,18.0
JMU,James Madison Dukes,114,29.76032419668405,15.469115206891695,14.291208989792354,1.2214333380796287,0.980687576876989,77.0,19.0,26.0,14.0,3.6385900807665026,19.0
MISS,Ole Miss Rebels,115,36.29164299719388,15.627925499907715,20.663717497286168,1.1390933163756618,1.062490892156196,35.0,17.5,13.0,24.0,3.5798346523451814,20.0
CLEM,Clemson Tigers,112,25.702089264410798,11.497207419723681,14.204881844687117,1.214731971244289,1.069895315461321,29.0,21.0,27.0,17.0,3.538302594146963,21.0
ORST,Oregon State Beavers,107,37.520061688065965,22.991021385666443,14.529040302399522,1.205509957008134,1.1109992378110234,8.0,26.0,24.0,18.0,3.3722390635060346,22.0
TA&M,Texas A&M Aggies,103,31.930682639476217,15.937189899534417,15.9934927399418,1.1379941014418686,1.0412727288464227,52.0,30.0,21.0,25.0,2.941268422344975,23.0
UNC,North Carolina Tar Heels,113,34.66065206234263,21.619968497202663,13.040683565139965,1.1287280880238617,1.057420896606977,43.0,20.0,30.0,27.0,2.9401618180323905,24.0
USC,USC Trojans,108,42.60649015188751,26.948066798535272,15.65842335335224,1.0936156981078848,1.091290662979384,21.0,24.0,22.0,40.0,2.767307750402276,25.0
DUKE,Duke Blue Devils,107,32.09739015929817,18.51675356941181,13.58063658988636,1.115789709123635,1.086231158968005,24.0,26.0,29.0,31.0,2.7393760901359117,26.0
UCLA,UCLA Bruins,110,31.428470161644555,13.8309148893484,17.597555272296155,1.0529347474239912,1.0594559297399166,40.0,23.0,16.0,45.0,2.6945771378924457,27.0
LIB,Liberty Flames,94,34.46557326309967,26.404873995648874,8.060699267450797,1.218030696857327,0.9001929772635874,120.0,38.5,43.0,15.0,2.6707510065741724,28.0
TROY,Troy Trojans,103,30.86004129417085,18.662606980837406,12.197434313333442,1.1251658266648756,1.0136550575862389,62.0,30.0,33.0,29.0,2.6000741730607038,29.0
MIA,Miami Hurricanes,102,33.335966043140886,19.39861998168039,13.937346061460495,1.1056692043201075,1.0923144265219558,20.0,32.5,28.0,35.0,2.5698547849947366,30.0
ISU,Iowa State Cyclones,104,31.169081993699994,19.39756292437396,11.771519069326033,1.1020610546134657,1.108649120404106,9.0,28.0,35.0,36.0,2.450634144526169,31.0
WVU,West Virginia Mountaineers,94,33.77849549342992,25.005726168853638,8.772769324576284,1.1644347137460187,1.0594850612545401,39.0,38.5,38.0,22.0,2.3802723199150364,32.0
UCF,UCF Knights,99,39.01969469132832,26.350355302747996,12.669339388580322,1.1004574573831254,1.067774102772658,33.0,34.0,31.0,38.0,2.3720837221195437,33.0
TCU,TCU Horned Frogs,107,39.23531598815034,23.743739202340432,15.491576785809908,1.0136158889761342,1.0986570039749652,15.0,26.0,23.0,53.0,2.22352355561375,34.0
MD,Maryland Terrapins,103,33.94681644078894,19.629150111674843,14.3176663291141,1.0346584894018394,1.02562489290499,56.0,30.0,25.0,48.0,2.172402020629437,35.0
UTAH,Utah Utes,92,27.16278312365478,18.490639009506587,8.672144114148193,1.1375476379011469,1.1243866405027798,4.0,41.0,39.0,26.0,2.1512351847404103,36.0
OKST,Oklahoma State Cowboys,96,29.602990174401093,21.23794088195414,8.365049292446951,1.1122562344532243,1.1114765504366853,7.0,36.5,42.0,32.0,2.074027852375168,37.0
TTU,Texas Tech Red Raiders,93,29.11515042042913,20.47704503383687,8.638105386592262,1.1085707087388883,1.1200480912716355,6.0,40.0,40.0,34.0,1.9914657890389806,38.0
