homeTeamAbbrev,teamName,win,pointsForAvg,pointsAgainstAvg,movAvg,observedDominance,scheduleStrength,scheduleStrengthRank,winRank,movRank,dominanceRank,ovr,ovrRank
BAL,Baltimore Ravens,30,27.675556925569477,11.487815657435382,16.187741268134097,1.2949336740668078,1.018805443514642,7.0,2.0,2.0,1.0,6.375126290191726,1.0
SF,San Francisco 49ers,31,30.905047602459298,14.400704711330372,16.50434289112893,1.2216006119770766,0.9983459547089182,17.0,1.0,1.0,2.0,5.868943731643748,2.0
KC,Kansas City Chiefs,25,23.402821029859115,18.718572346420416,4.6842486834387,1.173690507177542,1.0067752869793873,13.0,7.0,8.0,3.0,3.2082059821183098,3.0
MIA,Miami Dolphins,29,31.74202674036216,19.91993223392182,11.82209450644034,0.9832376813805124,0.946092953568365,31.0,3.0,3.0,20.0,2.8933606236382046,4.0
BUF,Buffalo Bills,28,26.881960597868872,19.845199886554163,7.0367607113147095,1.0284209615468871,0.9415684517145961,32.0,4.0,4.0,14.0,2.5466516514097988,5.0
DET,Detroit Lions,26,27.113547320306807,20.337337218553717,6.77621010175309,1.0446157395424838,0.9976590322593467,18.0,5.0,5.0,11.0,2.442362996411758,6.0
GB,Green Bay Packers,25,23.533610340632862,19.294736104192005,4.238874236440857,1.061683482695544,0.9990344293313583,16.0,7.0,9.0,8.0,2.146631295034296,7.0
DAL,Dallas Cowboys,25,28.014876485724095,21.336095763382474,6.678780722341621,1.0236536147731847,0.9472894364561495,30.0,7.0,6.0,15.0,2.1347626163195175,8.0
JAX,Jacksonville Jaguars,22,23.640352553754724,18.89569233002202,4.744660223732705,1.0630173051356668,1.0391759728064318,4.0,10.0,7.0,7.0,1.9055014514005282,9.0
IND,Indianapolis Colts,24,21.861708501975922,18.675138644695018,3.1865698572809045,1.0500635429466894,0.9927200285219616,19.0,9.0,11.0,9.0,1.7941228255345554,10.0
MIN,Minnesota Vikings,21,20.770035510876447,17.81665701216694,2.953378498709508,1.0646884587505896,1.0043820623926716,14.0,11.0,12.0,6.0,1.5724428067128238,11.0
PHI,Philadelphia Eagles,18,22.692324857816782,21.940241715235402,0.7520831425813803,1.1303290577722742,0.9923318030608418,20.0,14.0,15.0,4.0,1.5422303926098107,12.0
HOU,Houston Texans,19,23.64085957852273,21.560618647962038,2.0802409305606915,1.067074102249007,0.9992573759171867,15.0,13.0,14.0,5.0,1.2622534983719058,13.0
SEA,Seattle Seahawks,20,23.766135333423286,19.76476947423281,4.001365859190475,1.0000349911412314,1.0073314558399353,12.0,12.0,10.0,17.0,1.0282039143734067,14.0
