homeTeamAbbrev,teamName,observedRecord,observedWinPercent,win,pointsForAvg,pointsAgainstAvg,movAvg,observedDominance,scheduleStrength,scheduleStrengthRank,winRank,movRank,dominanceRank,ovr,ovrRank
BAL,Baltimore Ravens,14 - 4,0.7777777777777778,1.0,29.83521279090793,16.374043596509267,13.461169194398664,0.3278597533531152,0.036761845521563266,4.0,1.0,1.0,1.0,6.659834604298695,1.0
SF,San Francisco 49ers,13 - 5,0.7222222222222222,0.967741935483871,29.933973090610145,16.97988345242475,12.954089638185394,0.2324833896005815,0.0032631932759004606,12.0,2.0,2.0,2.0,5.741574361569892,2.0
KC,Kansas City Chiefs,13 - 6,0.6842105263157895,0.9032258064516129,24.271266169048754,18.248936074016846,6.022330095031908,0.1383598116099875,-0.0006875452903837521,14.0,4.0,4.0,3.0,3.5562918137032744,3.0
DET,Detroit Lions,14 - 5,0.7368421052631579,0.8709677419354839,28.220709935960585,21.106661610261494,7.114048325699091,0.1174767324113533,0.002358985375422218,13.0,5.0,3.0,4.0,3.4892727800557335,4.0
BUF,Buffalo Bills,12 - 7,0.631578947368421,0.8387096774193549,25.336346726352886,20.71300061713321,4.623346109219675,0.0953402312495258,-0.046076993168502466,27.0,6.0,5.0,5.0,2.761493029047413,5.0
GB,Green Bay Packers,10 - 9,0.5263157894736842,0.9354838709677419,25.168471973792194,21.762540285712763,3.4059316880794306,0.0684811501226593,-0.004903192958114174,17.0,3.0,8.0,8.0,2.6631254824047783,6.0
JAX,Jacksonville Jaguars,9 - 8,0.5294117647058824,0.8064516129032258,24.279655314650373,20.07961613211698,4.200039182533395,0.0271610451725245,0.023054416689644808,7.0,7.0,6.0,12.0,2.0631216726604733,7.0
LAR,Los Angeles Rams,10 - 8,0.5555555555555556,0.7741935483870968,24.798151270110296,21.319532739552272,3.4786185305580233,0.0507199252282879,0.028230974711878173,6.0,8.0,7.0,9.0,2.000875818482193,8.0
HOU,Houston Texans,11 - 8,0.5789473684210527,0.6774193548387096,22.610653791237745,21.139919217849517,1.4707345733882278,0.0414943802115548,-0.002098648886382653,15.0,10.0,10.0,10.0,1.2413080918569888,9.0
CLE,Cleveland Browns,11 - 7,0.6111111111111112,0.6129032258064516,21.515332673020755,20.27239132145205,1.2429413515687031,0.074001485232418,0.04604784038917853,3.0,14.0,11.0,7.0,1.2277825334893355,10.0
MIA,Miami Dolphins,11 - 7,0.6111111111111112,0.6451612903225806,24.94501661808439,22.92233396532687,2.0226826527575206,0.021578683050818,-0.04847406069094236,29.0,12.5,9.0,13.0,1.0834316291596104,11.0
