homeTeamAbbrev,teamName,win,pointsForAvg,pointsAgainstAvg,movAvg,observedDominance,scheduleStrength,scheduleStrengthRank,winRank,movRank,dominanceRank,ovr,ovrRank
BAL,Baltimore Ravens,0.9032258064516129,29.304298594602496,19.76008629995647,9.544212294646027,1.3877663599793233,1.0407321331111847,5.0,2.5,2.0,1.0,6.480571289599192,1.0
SF,San Francisco 49ers,0.9032258064516129,29.98094820445466,18.59064844188505,11.390299762569608,1.279247609513893,1.007262164525988,13.0,2.5,1.0,2.0,6.072944447405199,2.0
KC,Kansas City Chiefs,0.9354838709677419,23.555738302438808,19.188554519435367,4.367183783003441,1.144240931635497,0.995534103260189,17.0,1.0,5.0,3.0,3.6530492288077467,3.0
DET,Detroit Lions,0.8387096774193549,27.990025179112347,21.963887098496215,6.026138080616132,1.1208515829846826,1.0089358480623998,12.0,6.0,3.0,4.0,3.4798643173708688,4.0
BUF,Buffalo Bills,0.8709677419354839,25.77960067014812,20.84297328732801,4.9366273828201095,1.1088497463667444,0.9509849810720965,30.0,4.5,4.0,5.0,3.272727865874403,5.0
GB,Green Bay Packers,0.8709677419354839,24.88999091917301,21.937034262054894,2.952956657118115,1.0591542533454943,0.9857948902040751,21.0,4.5,7.0,8.0,2.468958802509591,6.0
JAX,Jacksonville Jaguars,0.8064516129032258,24.263984146670335,20.237230594155925,4.0267535525144105,1.0303757396783482,1.0350647746732553,7.0,7.0,6.0,12.0,2.2480275209915024,7.0
LAR,Los Angeles Rams,0.7419354838709677,24.559289370818718,21.72937141707783,2.829917953740889,1.053390348420392,1.0395962451886989,6.0,8.5,8.0,9.0,1.9185480950814695,8.0
HOU,Houston Texans,0.7419354838709677,23.17184963294745,21.751313837408848,1.4205357955386013,1.0448244953406902,0.9886914200983248,19.0,8.5,11.0,10.0,1.5471620003100677,9.0
MIA,Miami Dolphins,0.6451612903225806,25.48803315620527,22.962017243642997,2.526015912562272,1.0210362549466534,0.9661220198443122,27.0,10.5,9.0,13.0,1.2502706686859144,10.0
CLE,Cleveland Browns,0.5483870967741935,21.38098317263553,20.913089515861024,0.4678936567745069,1.0764916239527522,1.0574230876095094,3.0,14.5,15.0,7.0,0.8550226679925182,11.0
DAL,Dallas Cowboys,0.5806451612903226,24.2655106277207,22.452409091885592,1.8131015358351092,1.0196686016755243,0.9541079466189429,29.0,12.5,10.0,14.0,0.8442854635712109,12.0
TB,Tampa Bay Buccaneers,0.6451612903225806,21.310963692498532,20.05054852945588,1.2604151630426514,0.9830799579247742,0.9872991529521661,20.0,10.5,12.0,20.0,0.6907888960330826,13.0
IND,Indianapolis Colts,0.5806451612903226,22.263215653976516,21.76785313050599,0.4953625234705257,1.00584881893923,0.99634236903451,16.0,12.5,14.0,16.0,0.45365817698859395,14.0
PHI,Philadelphia Eagles,0.4838709677419355,22.44067966366675,22.122353079496627,0.31832658417012283,1.0366601825252486,0.964256663989766,28.0,16.5,16.0,11.0,0.28470998194447716,15.0
CIN,Cincinnati Bengals,0.41935483870967744,21.4482632613987,22.041866105422958,-0.5936028440242573,1.0857760699452814,1.0836042937352552,1.0,19.0,19.0,6.0,0.21227456502008402,16.0
NO,New Orleans Saints,0.5483870967741935,22.831525916839137,22.27907919146958,0.5524467253695562,0.956840820724268,0.9453500880499204,31.0,14.5,13.0,23.0,-0.019966134349189535,17.0
SEA,Seattle Seahawks,0.4838709677419355,22.48709899178705,22.41521077964422,0.07188821214283081,0.9923048970966856,1.0281047199130418,8.0,16.5,17.0,18.0,-0.10024575228177174,18.0
CHI,Chicago Bears,0.45161290322580644,20.819254326697084,21.236606675356185,-0.41735234865910087,1.0119699283567087,0.9811211637422126,22.0,18.0,18.0,15.0,-0.18025719625371223,19.0
LV,Las Vegas Raiders,0.3870967741935484,19.11567962880779,19.802889946757166,-0.6872103179493756,0.9559800917938076,0.9981338509740157,15.0,20.0,20.0,24.0,-0.8974633077799958,20.0
PIT,Pittsburgh Steelers,0.25806451612903225,20.62931635744592,21.72810524049386,-1.0987888830479413,1.000656624493426,1.0714644290971729,2.0,24.5,21.0,17.0,-1.1341738936532741,21.0
DEN,Denver Broncos,0.25806451612903225,21.03905083862868,22.97066329283991,-1.9316124542112298,0.9668124906926708,0.9997463804662599,14.0,24.5,22.0,22.0,-1.5685495865794878,22.0
