homeTeamAbbrev,teamName,observedRecord,observedWinPercent,win,pointsForAvg,pointsAgainstAvg,movAvg,observedDominance,scheduleStrength,scheduleStrengthRank,winRank,movRank,dominanceRank,ovr,ovrRank
BAL,Baltimore Ravens,13 - 4,0.7647058823529411,1.0,29.923966204477157,16.62611837258768,13.297847831889477,0.327695519370617,0.03704807165685078,4.0,1.0,1.0,1.0,6.625428511601714,1.0
SF,San Francisco 49ers,12 - 5,0.7058823529411765,0.967741935483871,29.971765519044943,16.706816998921052,13.264948520123891,0.2462721000391277,-0.00011012182531742775,13.0,2.0,2.0,2.0,5.900894254591383,2.0
KC,Kansas City Chiefs,12 - 6,0.6666666666666666,0.9032258064516129,23.691549367357656,18.182518569728252,5.5090307976294035,0.1347414753600588,-0.007894924969923695,16.0,4.0,4.0,3.0,3.434095314650706,3.0
DET,Detroit Lions,13 - 5,0.7222222222222222,0.8709677419354839,27.925037829296564,21.120111048910925,6.804926780385639,0.1140887383441111,0.0015667313797266265,12.0,5.0,3.0,4.0,3.4073400985496347,4.0
BUF,Buffalo Bills,12 - 6,0.6666666666666666,0.8387096774193549,25.452356541067665,20.46231081827575,4.9900457227919155,0.1033232134964681,-0.05675873041607728,29.0,6.0,5.0,5.0,2.8874200999174953,5.0
GB,Green Bay Packers,10 - 8,0.5555555555555556,0.9354838709677419,24.86772127619278,21.34074172691323,3.526979549279549,0.0574707154505795,-0.0196025782776401,19.0,3.0,7.0,8.0,2.601806614888171,6.0
JAX,Jacksonville Jaguars,9 - 8,0.5294117647058824,0.8064516129032258,24.255808514235802,20.016687192229135,4.2391213220066675,0.0299235315239539,0.02468167168569303,7.0,7.0,6.0,12.0,2.092086442270646,7.0
LAR,Los Angeles Rams,10 - 8,0.5555555555555556,0.7419354838709677,24.642329261693252,21.3047317534985,3.337597508194751,0.052013865713038,0.028634156706884954,6.0,9.0,8.0,9.0,1.8766907854730246,8.0
HOU,Houston Texans,11 - 7,0.6111111111111112,0.7741935483870968,23.286547991492608,21.39526642704786,1.8912815644447463,0.0438489242696888,-0.019941359894490973,20.0,8.0,10.0,10.0,1.660032568915553,9.0
CLE,Cleveland Browns,11 - 7,0.6111111111111112,0.6129032258064516,21.34998570871148,20.274000496429093,1.0759852122823865,0.0737072569771026,0.04680266335843336,3.0,14.0,13.0,7.0,1.1937393761393076,10.0
MIA,Miami Dolphins,11 - 7,0.6111111111111112,0.6451612903225806,25.01674815854548,22.952124805200988,2.0646233533444907,0.0208180478044438,-0.04850194765311626,28.0,11.5,9.0,13.0,1.0859081244703601,11.0
PHI,Philadelphia Eagles,11 - 7,0.6111111111111112,0.6451612903225806,22.410747611238918,21.56031850322341,0.8504291080155078,0.0360041827046761,-0.0459517293984738,27.0,11.5,14.0,11.0,0.9783104101505659,12.0
IND,Indianapolis Colts,9 - 8,0.5294117647058824,0.6451612903225806,22.366124538294148,21.77229421794821,0.593830320345937,0.0058317810000061,-0.012550578786902595,18.0,11.5,15.0,16.0,0.7053812541707282,13.0
