homeTeamAbbrev,teamName,win,pointsForAvg,pointsAgainstAvg,movAvg,observedDominance,scheduleStrength,scheduleStrengthRank,winRank,movRank,dominanceRank,ovr,ovrRank
SF,San Francisco 49ers,31,30.891108714844435,18.11740209020971,12.773706624634727,1.2010811050834225,1.099649996040562,2.0,1.0,1.0,2.0,6.044407972192581,1.0
BAL,Baltimore Ravens,30,25.848582170360665,16.84817835932756,9.000403811033106,1.2640789251642766,1.1477201995942117,1.0,2.0,3.0,1.0,5.852932213130879,2.0
BUF,Buffalo Bills,27,25.489933148811282,19.568946634723027,5.920986514088256,1.110656199971554,1.0226273951456404,9.0,5.0,5.0,4.0,3.4383263507403745,3.0
MIA,Miami Dolphins,29,29.611218126694297,19.33875626384654,10.272461862847756,0.9904882772762816,0.9431386918950732,27.0,3.0,2.0,19.0,3.2797419740513627,4.0
DAL,Dallas Cowboys,28,27.98293167538106,20.676999647466385,7.305932027914675,1.029417017517201,0.9824375372629495,21.0,4.0,4.0,12.0,3.00158386905071,5.0
KC,Kansas City Chiefs,24,22.13562601655329,19.491309898069964,2.6443161184833244,1.1482487684394227,1.0918441186440444,3.0,8.0,7.0,3.0,2.8752857191122647,6.0
DET,Detroit Lions,26,26.119571626673444,20.639295249491152,5.480276377182292,1.0400165014915488,0.9941169145308763,18.0,6.0,6.0,10.0,2.5505173563831463,7.0
PHI,Philadelphia Eagles,23,23.66889158458257,21.189061656610797,2.4798299279717746,1.0944183635176596,1.0728530257255868,4.0,9.0,8.0,5.0,2.2054667876327625,8.0
IND,Indianapolis Colts,25,21.89274661559008,19.809778981388504,2.0829676342015766,1.0261541328911286,1.0057153161906351,14.0,7.0,9.0,13.0,1.6696372889573408,9.0
JAX,Jacksonville Jaguars,22,21.764411217380335,19.856871166167082,1.9075400512132532,1.0420896323141426,1.0617756546857695,5.0,10.0,11.0,9.0,1.4740230287048735,10.0
LAR,Los Angeles Rams,21,22.72853382606521,20.776045054117827,1.9524887719473831,0.9979925211337248,1.0066168870833994,13.0,11.0,10.0,17.0,0.9397099153338269,11.0
HOU,Houston Texans,19,21.617122161357226,21.06197234027523,0.5551498210819972,1.0399587476225305,1.0085237722650338,12.0,13.0,13.0,11.0,0.8790824955051283,12.0
MIN,Minnesota Vikings,16,18.735293240424056,18.871572120521133,-0.1362788800970769,1.068940936036726,1.0553077859495066,7.0,16.5,16.0,6.0,0.7156988416137262,13.0
SEA,Seattle Seahawks,20,21.777626280832877,20.628835347353213,1.1487909334796633,0.9998594746510828,0.9952955287640588,17.0,12.0,12.0,16.0,0.7007010960487149,14.0
CLE,Cleveland Browns,16,18.73019337022998,18.869755775500742,-0.13956240527076247,1.0604050375287697,1.054100871477989,8.0,16.5,17.0,7.0,0.6306893030299913,15.0
GB,Green Bay Packers,17,21.418183034669784,21.035799989562058,0.38238304510772636,0.989477535553106,1.004326176419529,15.0,14.5,14.0,20.0,0.13406699828906937,16.0
CIN,Cincinnati Bengals,10,20.182154374349246,22.21548357213141,-2.033329197782166,1.055143902850242,1.0579281393931408,6.0,22.0,22.0,8.0,-0.4169902988315046,17.0
NO,New Orleans Saints,17,20.022379679860315,19.705444862680643,0.3169348171796713,0.9264309649811084,0.9359424796652122,29.0,14.5,15.0,24.0,-0.5015427847279568,18.0
DEN,Denver Broncos,12,20.79425039978944,22.183723338855202,-1.3894729390657616,1.0117551185179197,1.0003470627431919,16.0,20.0,19.0,14.0,-0.5117214540233277,19.0
LAC,Los Angeles Chargers,11,20.211621611900505,21.96358257907905,-1.7519609671785439,1.0063151735895024,1.0205139613252652,10.0,21.0,21.0,15.0,-0.7402369303642623,20.0
TB,Tampa Bay Buccaneers,14,19.795659231773246,21.138672209289844,-1.3430129775165973,0.9462788553296316,0.955681214588852,25.0,18.0,18.0,23.0,-0.9368542761193808,21.0
CHI,Chicago Bears,8,18.62224976945863,20.912182907169097,-2.2899331377104666,0.994426647576195,0.9843713491035151,19.0,24.0,23.0,18.0,-1.278930042908244,22.0
LV,Las Vegas Raiders,13,19.044960502570206,20.446563787878073,-1.4016032853078677,0.9128067558837712,0.9467311906771102,26.0,19.0,20.0,27.0,-1.3855344152456963,23.0
ATL,Atlanta Falcons,9,18.392069601559854,20.69048695123078,-2.2984173496709275,0.9264069014527736,0.937338294655775,28.0,23.0,24.0,25.0,-1.8462702922507939,24.0
TEN,Tennessee Titans,7,18.58973895292783,21.728901758619482,-3.139162805691651,0.95124888821212,0.9842563471722766,20.0,25.0,25.0,22.0,-1.9718308422333721,25.0
PIT,Pittsburgh Steelers,3,15.425656087749873,21.386045858249958,-5.960389770500084,0.9724895969314944,1.009261102220579,11.0,29.5,29.0,21.0,-2.717892911537791,26.0
ARI,Arizona Cardinals,4,17.80384202669149,24.015456433317496,-6.211614406626005,0.9144232773873342,0.9797437065055696,22.0,27.5,30.0,26.0,-3.232343289084475,27.0
WSH,Washington Commanders,6,17.767548177702412,23.684131302683827,-5.916583124981415,0.8640119161317548,0.9184169050677183,30.0,26.0,28.0,30.0,-3.461918170513668,28.0
NYJ,New York Jets,3,13.475819399976391,18.725594722686523,-5.249775322710132,0.8786820992056992,0.9614641768114207,23.0,29.5,26.0,28.0,-3.5121056764198033,29.0
NE,New England Patriots,4,14.345382051213639,20.241914371424475,-5.896532320210836,0.8719134482559698,0.9570146061667308,24.0,27.5,27.0,29.0,-3.593550365407477,30.0
NYG,New York Giants,1,12.671281340538533,22.012495321401648,-9.341213980863115,0.8413285761649941,0.8831421500453406,32.0,31.0,31.0,31.0,-4.862162045093041,31.0
CAR,Carolina Panthers,0,12.882274340630104,22.607599807813884,-9.72532546718378,0.8027888593565785,0.8885442553824354,31.0,32.0,32.0,32.0,-5.421987415015963,32.0
