homeTeamAbbrev,teamName,win,pointsForAvg,pointsAgainstAvg,movAvg,observedDominance,scheduleStrength,scheduleStrengthRank,winRank,movRank,dominanceRank,ovr,ovrRank
LA,Los Angeles Kings,0.9354838709677419,3.5208935304685127,2.135020448026111,1.385873082442402,1.1712509687575945,1.009913515984644,9.0,2.0,2.0,1.0,5.333340941631958,1.0
NYR,New York Rangers,1.0,3.6669151057145877,2.1502891953606813,1.5166259103539064,1.0963478527957558,0.9993923898364286,16.0,1.0,1.0,5.0,4.812610683472668,2.0
BOS,Boston Bruins,0.7741935483870968,3.200982067281843,2.336652341320307,0.8643297259615359,1.1508292275299636,0.9826859667723179,30.0,6.5,7.0,2.0,3.8718288315437226,3.0
VGK,Vegas Golden Knights,0.8709677419354839,3.335434505210108,2.3419848496286013,0.9934496555815069,1.1062137746088527,0.9794543513904057,31.0,3.5,3.0,3.0,3.834114034345195,4.0
COL,Colorado Avalanche,0.8064516129032258,3.3969487293780625,2.4632663243853785,0.933682404992684,1.071134001469346,0.9833406509412014,29.0,5.0,5.0,8.0,3.102112406969972,5.0
DAL,Dallas Stars,0.7741935483870968,3.575555083542114,2.6341223358127244,0.9414327477293898,1.0777445617702086,1.0063466178779494,10.0,6.5,4.0,7.0,3.0756028813034595,6.0
VAN,Vancouver Canucks,0.6451612903225806,3.5780097139937768,2.663925769877191,0.9140839441165856,1.098340820044268,0.9679771675444548,32.0,12.0,6.0,4.0,2.827791926783842,7.0
WPG,Winnipeg Jets,0.7419354838709677,2.9471460323088046,2.386187301024529,0.5609587312842756,1.095891031965758,1.0027638177194598,14.0,8.0,9.0,6.0,2.719646830453404,8.0
TOR,Toronto Maple Leafs,0.8709677419354839,3.3571808765859483,2.830991166424804,0.5261897101611441,1.0094460516279324,0.9972277454288017,19.0,3.5,10.0,15.0,2.0908090886323363,9.0
NJ,New Jersey Devils,0.6774193548387096,3.438844899918945,2.8030905839520224,0.6357543159669228,1.0273190963885055,0.9869083706467571,25.0,10.5,8.0,12.0,1.7428561703911825,10.0
PHI,Philadelphia Flyers,0.7096774193548387,2.910633499519156,2.578613812308801,0.33201968721035513,1.0393842881176645,1.0054381648379294,13.0,9.0,12.0,10.0,1.638455837109273,11.0
FLA,Florida Panthers,0.6774193548387096,2.88580014838685,2.4421568408604615,0.4436433075263886,1.026822431776342,0.9891852835883703,24.0,10.5,11.0,13.0,1.5043058061421377,12.0
NYI,New York Islanders,0.4838709677419355,3.010759747728147,3.026874660874003,-0.01611491314585578,1.0593603634708972,0.9914703477723386,21.0,16.0,16.0,9.0,0.6458131471802319,13.0
PIT,Pittsburgh Penguins,0.5483870967741935,3.001479758755765,3.106047122964665,-0.10456736420889978,1.0063266060595852,0.9853519127337784,26.0,15.0,18.0,16.0,0.12596658239481698,14.0
NSH,Nashville Predators,0.45161290322580644,2.9122010981902364,2.93188492331514,-0.01968382512490363,1.0160083880858717,0.9840022687267985,28.0,17.5,17.0,14.0,-0.0025085610361021415,15.0
OTT,Ottawa Senators,0.6129032258064516,3.298984054096252,3.02897293515106,0.2700111189451917,0.938201229650136,1.0123665264698116,6.0,13.0,13.0,25.0,-0.01717553901146862,16.0
EDM,Edmonton Oilers,0.5806451612903226,3.0904373036790282,2.8289175350306492,0.261519768648379,0.9485661481346286,1.001131651594357,15.0,14.0,14.0,23.0,-0.017646110168897167,17.0
DET,Detroit Red Wings,0.41935483870967744,3.0786003568538485,3.276238352823571,-0.19763799596972254,1.0273394755593055,0.9917057327917445,20.0,20.0,19.0,11.0,-0.19631448238909244,18.0
CAR,Carolina Hurricanes,0.45161290322580644,3.1870799091028386,3.087113639284258,0.09996626981858059,0.9598033745687664,0.9908431680469945,22.0,17.5,15.0,21.0,-0.5417926490590352,19.0
ARI,Arizona Coyotes,0.41935483870967744,2.8146713885143897,3.1154361383673304,-0.30076474985294066,0.9905224929830788,1.0108912196295465,7.0,20.0,21.0,17.0,-0.7692385988254155,20.0
TB,Tampa Bay Lightning,0.41935483870967744,3.053522447448816,3.306692606314625,-0.2531701588658093,0.9666460368202696,0.9845338232224278,27.0,20.0,20.0,20.0,-1.0022458818384696,21.0
STL,St. Louis Blues,0.2903225806451613,2.76782251043498,3.1891667368768477,-0.42134422644186786,0.9708823265149072,0.9991989641690383,17.0,24.0,23.0,19.0,-1.619616108664041,22.0
CBJ,Columbus Blue Jackets,0.25806451612903225,2.801594292538409,3.4457175354185803,-0.6441232428801711,0.9586899519149285,1.0108873771340177,8.0,25.5,26.0,22.0,-2.153984918400286,23.0
CGY,Calgary Flames,0.22580645161290322,2.6153995055787314,3.024385440657828,-0.40898593507909675,0.9238846601370986,1.0132417789420065,4.0,27.0,22.0,27.0,-2.4093838786943462,24.0
BUF,Buffalo Sabres,0.16129032258064516,2.7458403741458226,3.281041346284285,-0.5352009721384623,0.9452037913856148,1.0123961987197443,5.0,28.0,25.0,24.0,-2.535352595531199,25.0
MIN,Minnesota Wild,0.3225806451612903,2.6783465742362496,3.703373855871277,-1.0250272816350274,0.9286844205869248,1.0055081922597113,12.0,23.0,29.0,26.0,-2.7474902354933617,26.0
SEA,Seattle Kraken,0.3870967741935484,2.7673438251323854,3.936957250136432,-1.1696134250040466,0.922912542276616,0.9985776031184703,18.0,22.0,30.0,28.0,-2.7600312842204606,27.0
WSH,Washington Capitals,0.03225806451612903,2.4803977182575325,3.1916452924951555,-0.711247574237623,0.9763106118150928,0.9902475965100359,23.0,31.0,27.0,18.0,-2.835199304111191,28.0
MTL,Montreal Canadiens,0.25806451612903225,2.743978588687446,3.27752678765664,-0.5335481989691937,0.8907589662413993,1.013898884363724,3.0,25.5,24.0,29.0,-2.8469734586206075,29.0
ANA,Anaheim Ducks,0.12903225806451613,2.612937516826297,3.526847429410262,-0.9139099125839651,0.8847163372422603,1.0294592560907199,2.0,29.0,28.0,30.0,-3.846255613045293,30.0
