homeTeamAbbrev,teamName,win,pointsForAvg,pointsAgainstAvg,movAvg,observedDominance,scheduleStrength,scheduleStrengthRank,winRank,movRank,dominanceRank,ovr,ovrRank
LA,Los Angeles Kings,0.8440860215053764,4.227848664863836,1.4146244534157346,2.813224211448101,1.197180306674435,1.0096645737034788,9.0,2.5,1.0,1.0,5.901813573349401,1.0
BOS,Boston Bruins,0.793010752688172,3.74962059427551,1.739626717552447,2.0099938767230627,1.1645243924183553,0.9834063650448404,27.0,4.0,4.0,2.0,4.634310515572707,2.0
VGK,Vegas Golden Knights,0.8440860215053764,3.96673464106034,1.7953621331332084,2.1713725079271318,1.1158516702618826,0.9755692133316155,31.0,2.5,3.0,3.0,4.4173645055155255,3.0
NYR,New York Rangers,0.8602150537634409,4.023462244719648,1.8044947445276631,2.2189675001919853,1.104527848410452,0.9996229511170067,16.0,1.0,2.0,4.0,4.392146621356534,4.0
WPG,Winnipeg Jets,0.7419354838709677,3.516704179235447,1.9214678637753055,1.5952363154601417,1.0949652111914896,1.0044375789581208,14.0,5.0,7.0,5.0,3.2817865991878854,5.0
COL,Colorado Avalanche,0.7123655913978494,3.9492028435838233,2.127410059641983,1.8217927839418402,1.0694297113771156,0.9825445686019539,28.0,6.0,5.0,8.0,3.071100218556335,6.0
VAN,Vancouver Canucks,0.6370967741935484,4.034637032503943,2.3578360857756273,1.6768009467283154,1.0808700062965575,0.9673238638691973,32.0,8.0,6.0,6.0,2.782770286591477,7.0
DAL,Dallas Stars,0.6182795698924731,3.98067704820084,2.4252369302937837,1.555440117907056,1.073018173343912,1.0060354320000058,12.0,9.0,8.0,7.0,2.5146722172524796,8.0
PHI,Philadelphia Flyers,0.6612903225806451,3.397849091686678,2.244624026592892,1.1532250650937863,1.0554078693571658,1.0070563838031463,10.0,7.0,9.0,10.0,2.132979146182415,9.0
FLA,Florida Panthers,0.6075268817204301,3.261590834682204,2.1859898104790867,1.075601024203117,1.0360159792929595,0.9871423273080001,24.0,11.0,11.0,11.0,1.6347475641486007,10.0
NJ,New Jersey Devils,0.6102150537634409,3.7603522108189886,2.6818520902562804,1.0785001205627083,1.028692061025119,0.985223903922638,26.0,10.0,10.0,13.0,1.5641063160088478,11.0
TOR,Toronto Maple Leafs,0.5967741935483871,3.700029705274251,2.7475509398870392,0.9524787653872115,1.0124034645655873,0.9972605375127338,18.0,12.0,12.0,15.0,1.216593070956387,12.0
NYI,New York Islanders,0.47580645161290325,3.470212536326228,2.7233358507705465,0.7468766855556814,1.0595477022893365,0.9911956792642129,22.0,13.0,13.0,9.0,1.1053327198345766,13.0
NSH,Nashville Predators,0.41397849462365593,3.300973940413913,2.5982196079731836,0.7027543324407293,1.0250837901756404,0.9815804079917649,30.0,15.5,14.0,14.0,0.43256669484026045,14.0
DET,Detroit Red Wings,0.41397849462365593,3.548120335132198,2.984137729383931,0.5639826057482669,1.0336676939666385,0.9912669606410388,21.0,15.5,15.0,12.0,0.4104248779780591,15.0
PIT,Pittsburgh Penguins,0.3897849462365592,3.2299949468098776,2.9984996768460364,0.2314952699638413,1.0031168005669329,0.9863147770983968,25.0,18.0,19.0,16.0,-0.3206400362393626,16.0
ARI,Arizona Coyotes,0.4032258064516129,3.1561063322784575,2.8465818397645535,0.309524492513904,0.9835344918768044,1.0135756288592763,4.0,17.0,18.0,17.0,-0.4242871435648159,17.0
EDM,Edmonton Oilers,0.44086021505376344,3.189993717274283,2.8516729493923836,0.33832076788189935,0.9529529556387804,0.9991604526394468,17.0,14.0,17.0,23.0,-0.6018496379297019,18.0
OTT,Ottawa Senators,0.33333333333333337,3.4901518865666343,3.0824287585946557,0.4077231279719786,0.934376239924742,1.0130983135153282,5.0,19.0,16.0,25.0,-1.1730500439716869,19.0
CAR,Carolina Hurricanes,0.25,3.226858064488335,3.1051311828234933,0.1217268816648418,0.9556369107863856,0.9914704026232223,20.0,23.0,20.0,21.0,-1.502773681454412,20.0
TB,Tampa Bay Lightning,0.2688172043010753,3.2317994298770114,3.3488457314133107,-0.11704630153629925,0.9654572275105916,0.9817101674207096,29.0,22.0,22.0,20.0,-1.524031979379328,21.0
STL,St. Louis Blues,0.23387096774193547,2.992578846377806,3.069249110611441,-0.07667026423363499,0.972392297294946,0.9956637260800593,19.0,24.0,21.0,18.0,-1.5461106761536971,22.0
CBJ,Columbus Blue Jackets,0.1827956989247312,3.080271786473151,3.3901583210537307,-0.3098865345805799,0.95380340122926,1.0124414929339962,7.0,25.0,24.0,22.0,-2.1594185253172284,23.0
MIN,Minnesota Wild,0.30913978494623656,2.970807643294906,3.53591278681262,-0.5651051435177141,0.9228340135819793,1.0051877343806743,13.0,20.0,28.0,26.0,-2.241518538542414,24.0
WSH,Washington Capitals,0.11021505376344087,2.622177576448022,3.1412632837670316,-0.5190857073190096,0.969496603906801,0.9907346391778828,23.0,30.0,26.0,19.0,-2.444301953837493,25.0
BUF,Buffalo Sabres,0.12634408602150538,2.9321810382905737,3.198195305795448,-0.26601426750487445,0.9428441012200892,1.01284219525781,6.0,28.0,23.0,24.0,-2.4666371305774906,26.0
SEA,Seattle Kraken,0.2849462365591398,2.8469414179666033,3.8667682594527517,-1.0198268414861484,0.9135047365604811,1.0014352984879837,15.0,21.0,30.0,27.0,-2.8360975986949084,27.0
CGY,Calgary Flames,0.11559139784946237,2.6707706192678113,3.01202507965692,-0.3412544603891088,0.9125986511969636,1.0115505552570094,8.0,29.0,25.0,28.0,-2.919071859995775,28.0
MTL,Montreal Canadiens,0.1532258064516129,2.846917457379775,3.38426533831915,-0.5373478809393752,0.8755188928651408,1.015450571519005,3.0,26.5,27.0,30.0,-3.365564966027773,29.0
ANA,Anaheim Ducks,0.1532258064516129,2.7376235034050316,3.44786036756271,-0.7102368641576784,0.8858129134297084,1.031240736808901,1.0,26.5,29.0,29.0,-3.397720782989132,30.0
CHI,Chicago Blackhawks,0.013440860215053762,2.2475656619088946,4.052165520886804,-1.8045998589779098,0.8519500227270395,1.0069335324777768,11.0,32.0,31.0,31.0,-5.276908367493793,31.0
SJ,San Jose Sharks,0.04032258064516129,2.5584914809429375,4.476454755616202,-1.9179632746732644,0.8499834008674032,1.0301469263676704,2.0,31.0,32.0,32.0,-5.292732005162496,32.0
