homeTeamAbbrev,teamName,win,pointsForAvg,pointsAgainstAvg,movAvg,observedDominance,scheduleStrength,scheduleStrengthRank,winRank,movRank,dominanceRank,ovr,ovrRank
LA,Los Angeles Kings,0.9354838709677419,3.5196300422268187,2.136283936267805,1.3833461059590135,1.1713804148150675,1.0099093829396188,9.0,2.0,2.0,1.0,5.333262829772804,1.0
NYR,New York Rangers,1.0,3.666326150472651,2.150878150602618,1.515447999870033,1.0963366147373124,0.9993930291549176,16.0,1.0,1.0,5.0,4.8126505435664875,2.0
BOS,Boston Bruins,0.7741935483870968,3.20003809103325,2.3375963175689,0.8624417734643499,1.150827008682264,0.9826883342892548,30.0,6.5,7.0,2.0,3.8703624220386557,3.0
VGK,Vegas Golden Knights,0.8709677419354839,3.334769770452045,2.3426495843866646,0.9921201860653803,1.1062120755690512,0.9794576244284056,31.0,3.5,3.0,3.0,3.833503617148513,4.0
COL,Colorado Avalanche,0.8064516129032258,3.3966333291192914,2.463581724644149,0.9330516044751422,1.0710434145288024,0.9833480418952234,29.0,5.0,5.0,8.0,3.1012250885566646,5.0
DAL,Dallas Stars,0.7741935483870968,3.575097715815022,2.6345797035398166,0.9405180122752053,1.0777231143877646,1.0063440233813723,11.0,6.5,4.0,7.0,3.0752170279061417,6.0
VAN,Vancouver Canucks,0.6451612903225806,3.5773858903275917,2.664549593543376,0.9128362967842159,1.0983449682661413,0.9679736948664187,32.0,12.0,6.0,4.0,2.8272698940595307,7.0
WPG,Winnipeg Jets,0.7419354838709677,2.94654997575948,2.386783357573853,0.5597666181856269,1.0958866528946425,1.0027659516958756,14.0,8.0,9.0,6.0,2.7187012604787943,8.0
TOR,Toronto Maple Leafs,0.8709677419354839,3.3571381666075784,2.831033876403174,0.5261042902044042,1.009434216064448,0.998269789888643,18.0,3.5,10.0,15.0,2.0911351687017667,9.0
NJ,New Jersey Devils,0.6774193548387096,3.4387017911747995,2.803233692696168,0.6354680984786314,1.0272991630214308,0.9869065561863052,25.0,10.5,8.0,12.0,1.7429486479497838,10.0
PHI,Philadelphia Flyers,0.7096774193548387,2.910390299080643,2.578857012747314,0.3315332863333289,1.03938112557511,1.0065948316805604,10.0,9.0,12.0,10.0,1.6381671900079087,11.0
FLA,Florida Panthers,0.6774193548387096,2.8855852893520275,2.442371699895284,0.4432135894567435,1.0268540134964643,0.9891864628641597,24.0,10.5,11.0,13.0,1.5046402904156253,12.0
NYI,New York Islanders,0.4838709677419355,3.010379720726134,3.027254687876017,-0.016874967149883346,1.0593650871036846,0.9914684272176773,21.0,16.0,16.0,9.0,0.6448918711333256,13.0
PIT,Pittsburgh Penguins,0.5483870967741935,3.001439527064849,3.106087354655581,-0.10464782759073188,1.0063265358526527,0.9853520867940609,26.0,15.0,18.0,16.0,0.12574967400498271,14.0
NSH,Nashville Predators,0.45161290322580644,2.912109297063945,2.931976724441431,-0.019867427377485924,1.0160019934529525,0.9839959377951207,28.0,17.5,17.0,14.0,-0.0028406662978456565,15.0
OTT,Ottawa Senators,0.6129032258064516,3.2993720136929503,3.0285849755543612,0.27078703813858906,0.9382007113876092,1.0123690275533972,6.0,13.0,13.0,25.0,-0.01590082706006868,16.0
EDM,Edmonton Oilers,0.5806451612903226,3.0907579135298935,2.828596925179784,0.2621609883501095,0.9485672136800614,1.0011320767055396,15.0,14.0,14.0,23.0,-0.01653184194295232,17.0
DET,Detroit Red Wings,0.41935483870967744,3.078438805154855,3.2763999045225645,-0.19796109936770945,1.027332144523517,0.9922576809808259,20.0,20.0,19.0,11.0,-0.1970307407070182,18.0
CAR,Carolina Hurricanes,0.45161290322580644,3.187339695401206,3.086853852985891,0.10048584241531522,0.9597977664740348,0.9908404411200968,22.0,17.5,15.0,21.0,-0.541092612732571,19.0
ARI,Arizona Coyotes,0.41935483870967744,2.8147417480767483,3.115365778804972,-0.3006240307282235,0.990514573053849,1.0109044157164564,7.0,20.0,21.0,17.0,-0.769488108327489,20.0
TB,Tampa Bay Lightning,0.41935483870967744,3.053740136319055,3.3064749174443864,-0.2527347811253313,0.9666398468527646,0.9845251529222344,27.0,20.0,20.0,20.0,-1.002048413686821,21.0
STL,St. Louis Blues,0.2903225806451613,2.7679405566283033,3.1890486906835247,-0.4211081340552214,0.9709264057788992,0.997852886177632,19.0,24.0,23.0,19.0,-1.619236310736964,22.0
CBJ,Columbus Blue Jackets,0.25806451612903225,2.8018518831343,3.445459944822689,-0.643608061688389,0.9586906627194616,1.0108914486326825,8.0,25.5,26.0,22.0,-2.1540316343913823,23.0
CGY,Calgary Flames,0.22580645161290322,2.6159301502559957,3.0238547959805637,-0.407924645724568,0.9238477852219248,1.0132344536171924,4.0,27.0,22.0,27.0,-2.4089434730224637,24.0
BUF,Buffalo Sabres,0.16129032258064516,2.746230295289456,3.2806514251406513,-0.5344211298511952,0.945171684407644,1.0123877723968506,5.0,28.0,25.0,24.0,-2.5353488499978862,25.0
MIN,Minnesota Wild,0.3225806451612903,2.6787418636942055,3.7029785664133215,-1.024236702719116,0.9287199549713951,1.0055041210301687,13.0,23.0,29.0,26.0,-2.747177976842641,26.0
SEA,Seattle Kraken,0.3870967741935484,2.7678535832746696,3.936447491994148,-1.1685939087194783,0.92289423696271,0.9985717326078436,17.0,22.0,30.0,28.0,-2.7602521179265374,27.0
WSH,Washington Capitals,0.03225806451612903,2.480539588766635,3.191503421986053,-0.7109638332194184,0.9763148570663096,0.9902492040364237,23.0,31.0,27.0,18.0,-2.8355694977199724,28.0
MTL,Montreal Canadiens,0.25806451612903225,2.7446673942252873,3.2768379821187983,-0.532170587893511,0.8907563090238231,1.0139057875630029,3.0,25.5,24.0,29.0,-2.845847523172713,29.0
ANA,Anaheim Ducks,0.12903225806451613,2.618969792703704,3.526191497618877,-0.9072217049151732,0.8847623937280577,1.029453624478385,2.0,29.0,28.0,30.0,-3.8385182349237805,30.0
CHI,Chicago Blackhawks,0.06451612903225806,2.2717897464948362,4.013156490064303,-1.741366743569467,0.8535968768097812,1.0063103373818965,12.0,30.0,32.0,32.0,-5.460977067934074,31.0
SJ,San Jose Sharks,0.0,2.6037584867591916,4.288714631520378,-1.6849561447611863,0.8582352195263281,1.0298817918788,1.0,32.0,31.0,31.0,-5.568889628317828,32.0
