homeTeamAbbrev,teamName,observedRecord,observedWinPercent,win,pointsForAvg,pointsAgainstAvg,movAvg,observedDominance,scheduleStrength,scheduleStrengthRank,winRank,movRank,dominanceRank,ovr,ovrRank
LA,Los Angeles Kings,17 - 10,0.6296296296296297,0.8709677419354839,3.492474615026745,2.3032243097044374,1.1892503053223078,0.1584295979802649,0.007173927928328163,8.0,4.0,2.0,1.0,4.95531706973337,1.0
NYR,New York Rangers,21 - 8,0.7241379310344828,0.967741935483871,3.686777684391899,2.2917169392640155,1.3950607451278834,0.0919804365096187,-0.003386018444159604,16.0,1.0,1.0,4.0,4.776869006087195,2.0
VGK,Vegas Golden Knights,21 - 11,0.65625,0.9032258064516129,3.3601837456472894,2.4516442113419576,0.9085395343053317,0.1004725198406671,-0.0253522069113698,31.0,3.0,4.0,3.0,3.9887081177985175,3.0
BOS,Boston Bruins,19 - 10,0.6551724137931034,0.7096774193548387,3.1813433593483773,2.5552157804365687,0.6261275789118086,0.1403063937986467,-0.020713528782682247,30.0,8.5,7.0,2.0,3.378610021504489,4.0
DAL,Dallas Stars,18 - 12,0.6,0.8064516129032258,3.640563397899036,2.7250279999504263,0.9155353979486098,0.0733660139213029,0.0037401361197241007,12.0,5.5,3.0,7.0,3.3062411147589743,5.0
COL,Colorado Avalanche,19 - 12,0.6129032258064516,0.8064516129032258,3.4203969023135734,2.606484818116534,0.8139120841970393,0.0679108824056614,-0.020544246371797786,29.0,5.5,6.0,8.0,3.1031340913165018,6.0
VAN,Vancouver Canucks,21 - 11,0.65625,0.6451612903225806,3.639782194813196,2.7795726438964814,0.8602095509167147,0.0915173385385329,-0.03510578568203225,32.0,12.0,5.0,6.0,2.8548973737296794,7.0
TOR,Toronto Maple Leafs,16 - 12,0.5714285714285714,0.9354838709677419,3.337012548918162,2.829654117748505,0.5073584311696573,0.0079918166957433,-0.006109579772448562,18.0,2.0,9.0,15.0,2.437563827425925,8.0
WPG,Winnipeg Jets,18 - 12,0.6,0.5806451612903226,2.9826042581820027,2.5281484299900403,0.4544558281919624,0.0919379575540709,-0.000739292362052917,14.0,14.0,10.0,5.0,2.076145527793196,9.0
NJ,New Jersey Devils,16 - 13,0.5517241379310345,0.7096774193548387,3.4228635062223733,2.851330042164723,0.5715334640576502,0.0259399280076684,-0.016010689080594328,25.0,8.5,8.0,12.0,1.9041512368656164,10.0
FLA,Florida Panthers,18 - 13,0.5806451612903226,0.6774193548387096,2.912660128749049,2.4851893336165425,0.4274707951325065,0.0257571288162755,-0.015140341469571965,24.0,10.0,11.0,13.0,1.5888241763215416,11.0
PHI,Philadelphia Flyers,17 - 13,0.5666666666666667,0.6451612903225806,2.968330254688513,2.633820282945895,0.33450997174261765,0.0376465731426551,0.0038108355997686,11.0,12.0,13.0,10.0,1.4899335428706095,12.0
OTT,Ottawa Senators,11 - 15,0.4230769230769231,0.7419354838709677,3.3067899164632513,2.9620272878378238,0.3447626286254275,-0.0624618229960438,0.010261597518907938,4.0,7.0,12.0,25.0,0.6368543635281945,13.0
EDM,Edmonton Oilers,13 - 15,0.4642857142857143,0.6451612903225806,3.1094623822860967,2.7883870800794943,0.3210753022066024,-0.0522585231123897,-0.0019823989725357076,15.0,12.0,14.0,23.0,0.3703744722674118,14.0
NYI,New York Islanders,14 - 16,0.4666666666666667,0.41935483870967744,3.016469880509529,3.1125623775549873,-0.09609249704545819,0.0574094184372887,-0.011491812853414928,20.0,18.0,17.0,9.0,0.31529670907822827,15.0
PIT,Pittsburgh Penguins,14 - 16,0.4666666666666667,0.5161290322580645,3.0038749371180353,3.189673449978739,-0.1857985128607038,0.0061375489890343,-0.017410845570867972,26.0,15.0,19.0,16.0,-0.07345965786113541,16.0
NSH,Nashville Predators,18 - 13,0.5806451612903226,0.41935483870967744,2.912720329655042,2.9313656918503344,-0.018645362195292225,0.0167914169772343,-0.019567182944885946,28.0,18.0,16.0,14.0,-0.07851652335103254,17.0
DET,Detroit Red Wings,15 - 16,0.4838709677419355,0.3225806451612903,3.1286240297575825,3.2853544648660735,-0.15673043510849105,0.0272433895828193,-0.011821869300500854,22.0,24.0,18.0,11.0,-0.4953482582857935,18.0
CAR,Carolina Hurricanes,16 - 15,0.5161290322580645,0.3870967741935484,3.142709076232655,3.040086622692076,0.10262245354057864,-0.0400635689340273,-0.011689138395947873,21.0,21.0,15.0,21.0,-0.7324202609845724,19.0
TB,Tampa Bay Lightning,14 - 18,0.4375,0.45161290322580644,3.0442580605502054,3.289075272783128,-0.24481721223292263,-0.0323490147729608,-0.018405065734608508,27.0,16.0,20.0,20.0,-0.8639687444745087,20.0
ARI,Arizona Coyotes,15 - 15,0.5,0.3870967741935484,2.811009260207886,3.1083455785017913,-0.29733631829390506,-0.0084027279458687,0.006689087303393884,9.0,21.0,22.0,17.0,-0.880816362153916,21.0
STL,St. Louis Blues,15 - 15,0.5,0.2903225806451613,2.791411583271155,3.1817066962987375,-0.39029511302758246,-0.0305071984328154,-0.007978067455071833,19.0,26.0,23.0,19.0,-1.6360285033099422,22.0
CGY,Calgary Flames,13 - 19,0.40625,0.3870967741935484,2.6130381216319063,2.903090910626158,-0.2900527889942519,-0.080285489582531,0.010743948606994425,3.0,21.0,21.0,27.0,-1.7517788587866079,23.0
MTL,Montreal Canadiens,14 - 17,0.4516129032258064,0.41935483870967744,2.7292457446570952,3.125592965020324,-0.39634722036322856,-0.1171678372564323,0.010235150174166423,5.0,18.0,24.0,29.0,-2.2262948783886247,24.0
WSH,Washington Capitals,15 - 13,0.5357142857142857,0.1935483870967742,2.4369810449122844,3.1597931486361026,-0.7228121037238182,-0.025275622433205,-0.013027771038468057,23.0,27.0,27.0,18.0,-2.377540481515799,25.0
BUF,Buffalo Sabres,13 - 19,0.40625,0.16129032258064516,2.7594588468794696,3.2351648090345093,-0.4757059621550397,-0.0556567043290942,0.009593404115683768,6.0,28.5,25.0,24.0,-2.5383384061762264,26.0
MIN,Minnesota Wild,12 - 17,0.4137931034482758,0.3225806451612903,2.705317292705122,3.5796289438540176,-0.8743116511488958,-0.0734222325273247,0.0024754162021947195,13.0,24.0,29.0,26.0,-2.6909553540975595,27.0
CBJ,Columbus Blue Jackets,10 - 22,0.3125,0.12903225806451613,2.7681056487711766,3.46845349101377,-0.7003478422425933,-0.0406428239494611,0.007607977067588583,7.0,30.0,26.0,22.0,-2.775521769802452,28.0
SEA,Seattle Kraken,10 - 23,0.303030303030303,0.3225806451612903,2.8285051711131732,3.9564410654459667,-1.1279358943327935,-0.0804230225928593,-0.005368042497946198,17.0,24.0,30.0,28.0,-3.116821907578216,29.0
