homeTeamAbbrev,teamName,win,pointsForAvg,pointsAgainstAvg,movAvg,observedDominance,scheduleStrength,scheduleStrengthRank,winRank,movRank,dominanceRank,ovr,ovrRank
LA,Los Angeles Kings,0.8440860215053764,4.22855519672493,1.412573835533135,2.8159813611917945,1.1970574030781402,1.0096514240408265,9.0,2.5,1.0,1.0,5.904860691238143,1.0
BOS,Boston Bruins,0.793010752688172,3.74879272472111,1.7391105010853416,2.0096822236357683,1.1643401412633416,0.983407348084442,27.0,4.0,4.0,2.0,4.633815422184136,2.0
VGK,Vegas Golden Knights,0.8440860215053764,3.966138130546729,1.791926385582303,2.174211744964426,1.115819293676402,0.9775289065085647,31.0,2.5,3.0,3.0,4.421255324221788,3.0
NYR,New York Rangers,0.8575268817204302,4.023502852354279,1.8071423089360432,2.216360543418236,1.1044902392708142,0.9996124344927763,15.0,1.0,2.0,4.0,4.380769776079005,4.0
WPG,Winnipeg Jets,0.7419354838709677,3.5172910410045106,1.9222250880277474,1.5950659529767632,1.094854464007751,1.00444599520078,14.0,5.0,7.0,5.0,3.2818065546617543,5.0
COL,Colorado Avalanche,0.7123655913978494,3.949361727538928,2.1272511756868786,1.8221105518520493,1.0694739412314844,0.9825475427748348,28.0,6.0,5.0,8.0,3.0730278143493437,6.0
VAN,Vancouver Canucks,0.6370967741935484,4.035599614552671,2.358217589748404,1.6773820248042672,1.0809883080220717,0.9673418842663956,32.0,8.0,6.0,6.0,2.78557115168626,7.0
DAL,Dallas Stars,0.6182795698924731,3.9807950484100885,2.4251189300845355,1.555676118325553,1.073058073026172,1.0060369104226992,12.0,9.0,8.0,7.0,2.5161941777416135,8.0
PHI,Philadelphia Flyers,0.6612903225806451,3.3985759243236604,2.2452412799774155,1.1533346443462449,1.0554061988082175,1.0070642052315706,10.0,7.0,9.0,10.0,2.1340798866426063,9.0
FLA,Florida Panthers,0.6075268817204301,3.2595860726822923,2.1866504864574927,1.0729355862247996,1.0360194970048815,0.9871363576888017,23.0,11.0,11.0,11.0,1.6332218291289848,10.0
NJ,New Jersey Devils,0.6102150537634409,3.7609930418919086,2.6825553452048654,1.0784376966870433,1.0286659755703702,0.9852259418471047,26.0,10.0,10.0,13.0,1.5644696580691777,11.0
TOR,Toronto Maple Leafs,0.5967741935483871,3.6999749345991892,2.747605710562101,0.9523692240370885,1.0123713564693642,0.9972559941017719,18.0,12.0,12.0,15.0,1.2167426095097347,12.0
NYI,New York Islanders,0.47580645161290325,3.470219789260836,2.723328597835939,0.746891191424897,1.0595258377570795,0.9911932451627138,21.0,13.0,13.0,9.0,1.1055184617333897,13.0
NSH,Nashville Predators,0.41397849462365593,3.3009997982724824,2.5981937501146146,0.7028060481578677,1.0250896345056633,0.9815858891287513,30.0,15.5,14.0,14.0,0.43270627269384754,14.0
DET,Detroit Red Wings,0.41397849462365593,3.5480374348756287,2.9842206296405003,0.5638168052351284,1.0336214514563398,0.9868438552538837,24.0,15.5,15.0,12.0,0.4098523249808558,15.0
PIT,Pittsburgh Penguins,0.3897849462365592,3.2306445318992214,2.9991941777781976,0.23145035412102377,1.0031261652875123,0.9863276061761124,25.0,18.0,19.0,16.0,-0.3206439963498924,16.0
ARI,Arizona Coyotes,0.4032258064516129,3.1560027049155646,2.846685467127446,0.3093172377881186,0.9834808935271344,1.0135650898264457,4.0,17.0,18.0,17.0,-0.4252116660878417,17.0
EDM,Edmonton Oilers,0.44086021505376344,3.1913987121274956,2.852956126582182,0.3384425855453137,0.9529911693512056,0.9991724409967107,16.0,14.0,17.0,23.0,-0.6014521646559827,18.0
OTT,Ottawa Senators,0.33333333333333337,3.4901723595142453,3.082408285647045,0.40776407386720015,0.934419917674944,1.0130934502682973,5.0,19.0,16.0,25.0,-1.173175915822972,19.0
CAR,Carolina Hurricanes,0.25,3.2275057853497917,3.1058275479835418,0.12167823736624994,0.9556670116414284,0.9914737018700983,20.0,23.0,20.0,21.0,-1.50328613831778,20.0
TB,Tampa Bay Lightning,0.2688172043010753,3.2317530379656296,3.3488921233246924,-0.11713908535906281,0.9654696823922952,0.9817170403388864,29.0,22.0,22.0,20.0,-1.52461406782782,21.0
STL,St. Louis Blues,0.23387096774193547,2.9959542271625055,3.069905987891258,-0.07395176072875254,0.9724368621893572,0.9956619949473017,19.0,24.0,21.0,18.0,-1.544000351679777,22.0
CBJ,Columbus Blue Jackets,0.1827956989247312,3.080859901976144,3.3909142915722432,-0.31005438959609943,0.9537926019164364,1.0124364024801538,7.0,25.0,24.0,22.0,-2.160675774252136,23.0
MIN,Minnesota Wild,0.30913978494623656,2.970803047972564,3.535917382134963,-0.5651143341623994,0.9228649650725111,1.0051971603191827,13.0,20.0,28.0,26.0,-2.2417765377597885,24.0
WSH,Washington Capitals,0.11021505376344087,2.620164581095536,3.1419321930980124,-0.5217676120024763,0.9695327458922358,0.9907406092063447,22.0,30.0,26.0,19.0,-2.4473555769340485,25.0
BUF,Buffalo Sabres,0.12634408602150538,2.933445396437001,3.199619119692031,-0.2661737232550303,0.9428306492411712,1.0128320948718483,6.0,28.0,23.0,24.0,-2.46819564309887,26.0
SEA,Seattle Kraken,0.2849462365591398,2.8481843944762586,3.8709016270291174,-1.0227172325528588,0.9133824742895712,0.9979889651952457,17.0,21.0,30.0,27.0,-2.840641951934408,27.0
CGY,Calgary Flames,0.11827956989247312,2.674187280499029,3.012640676490218,-0.3384533959911886,0.9126920993108808,1.0115557167008145,8.0,29.0,25.0,28.0,-2.9065296251140973,28.0
MTL,Montreal Canadiens,0.1532258064516129,2.8461626309586014,3.383676078718818,-0.5375134477602166,0.875555854628955,1.0154276132023032,3.0,26.5,27.0,30.0,-3.3667216178606703,29.0
ANA,Anaheim Ducks,0.1532258064516129,2.738489404907386,3.4483385520818612,-0.7098491471744754,0.8859564480858143,1.0312301739598084,1.0,26.5,29.0,29.0,-3.3970942685659065,30.0
CHI,Chicago Blackhawks,0.013440860215053762,2.2474560973777344,4.052275085417964,-1.8048189880402297,0.851990045278724,1.0069197838957582,11.0,32.0,31.0,31.0,-5.278457533607501,31.0
