game_id,home_team,home_id,home_score,away_team,away_id,away_score,home_win,num_ots,is_conference,is_postseason,tournament,game_day,game_time,game_location,arena,arena_capacity,attendance,referee_1,referee_2,referee_3
gid_401584689,Denver Nuggets,tid_7,119,Los Angeles Lakers,tid_13,107,True,0,False,False,,24-Oct-23,04:30 PM PDT,"Denver, CO",Ball Arena,19520,19842,James Williams,Kevin Cutler,Scott Twardoski
gid_401584690,Golden State Warriors,tid_9,104,Phoenix Suns,tid_21,108,False,0,False,False,,24-Oct-23,07:00 PM PDT,"San Francisco, CA",Chase Center,18064,18064,Josh Tiven,Karl Lane,John Butler
gid_401584691,Charlotte Hornets,tid_30,116,Atlanta Hawks,tid_1,110,True,0,False,False,,25-Oct-23,04:00 PM PDT,"Charlotte, NC",Spectrum Center,19077,16129,Ed Malloy,Lauren Holtkamp,Aaron Smith
gid_401584692,Indiana Pacers,tid_11,143,Washington Wizards,tid_27,120,True,0,False,False,,25-Oct-23,04:00 PM PDT,"Indianapolis, IN",Gainbridge Fieldhouse,17923,16004,Sean Wright,Nick Buchert,Dannica Mosher
gid_401584693,New York Knicks,tid_18,104,Boston Celtics,tid_2,108,False,0,False,False,,25-Oct-23,04:00 PM PDT,"New York, NY",Madison Square Garden,19763,19812,Dedric Taylor,Jacyn Goble,Ben Taylor
gid_401584694,Orlando Magic,tid_19,116,Houston Rockets,tid_10,86,True,0,False,False,,25-Oct-23,04:00 PM PDT,"Orlando, FL",Amway Center,18500,18846,Tom Washington,Gediminas Petraitis,Tyler Ford
gid_401584695,Brooklyn Nets,tid_17,113,Cleveland Cavaliers,tid_5,114,False,0,False,False,,25-Oct-23,04:30 PM PDT,"Brooklyn, NY",Barclays Center,17732,17931,Marc Davis,Phenizee Ransom,Ray Acosta
gid_401584696,Miami Heat,tid_14,103,Detroit Pistons,tid_8,102,True,0,False,False,,25-Oct-23,04:30 PM PDT,"Miami, FL",Kaseya Center,19600,19695,Brian Forte,Marat Kogut,Curtis Blair
gid_401584697,Toronto Raptors,tid_28,97,Minnesota Timberwolves,tid_16,94,True,0,False,False,,25-Oct-23,04:30 PM PDT,"Toronto, ON",Scotiabank Arena,19800,19800,Kevin Scott,Brett Nansel,Brandon Schwab
gid_401584698,Chicago Bulls,tid_4,104,Oklahoma City Thunder,tid_25,124,False,0,False,False,,25-Oct-23,05:00 PM PDT,"Chicago, IL",United Center,20917,21369,James Capers,Mitchell Ervin,Nate Green
gid_401584699,Memphis Grizzlies,tid_29,104,New Orleans Pelicans,tid_3,111,False,0,False,False,,25-Oct-23,05:00 PM PDT,"Memphis, TN",FedExForum,18400,17798,Courtney Kirkland,Rodney Mott,Danielle Scott
gid_401584700,Utah Jazz,tid_26,114,Sacramento Kings,tid_23,130,False,0,False,False,,25-Oct-23,06:00 PM PDT,"Salt Lake City, UT",Delta Center,18206,18206,James Williams,Leon Wood,Karl Lane
gid_401584701,San Antonio Spurs,tid_24,119,Dallas Mavericks,tid_6,126,False,0,False,False,,25-Oct-23,06:30 PM PDT,"San Antonio, TX",Frost Bank Center,18354,18947,Derrick Collins,Tony Brothers,Tre Maddox
gid_401584702,LA Clippers,tid_12,123,Portland Trail Blazers,tid_22,111,True,0,False,False,,25-Oct-23,07:30 PM PDT,"Los Angeles, CA",crypto.com Arena,19068,19370,Josh Tiven,CJ Washington,J.B. DeRosa
gid_401584703,Milwaukee Bucks,tid_15,118,Philadelphia 76ers,tid_20,117,True,0,False,False,,26-Oct-23,04:30 PM PDT,"Milwaukee, WI",Fiserv Forum,17341,17783,Brent Barnaky,Mark Lindsay,Evan Scott
gid_401584704,Los Angeles Lakers,tid_13,100,Phoenix Suns,tid_21,95,True,0,False,False,,26-Oct-23,07:00 PM PDT,"Los Angeles, CA",crypto.com Arena,19068,18997,Zach Zarba,Jason Goldenberg,Justin Van Duyne
gid_401584705,Charlotte Hornets,tid_30,99,Detroit Pistons,tid_8,111,False,0,False,False,,27-Oct-23,04:00 PM PDT,"Charlotte, NC",Spectrum Center,19077,15855,Bill Kennedy,Rodney Mott,Jenna Schroeder
gid_401584706,Memphis Grizzlies,tid_29,104,Denver Nuggets,tid_7,108,False,0,False,False,,27-Oct-23,04:00 PM PDT,"Memphis, TN",FedExForum,18400,16617,Ed Malloy,Tre Maddox,Sha'Rae Mitchell
gid_401584707,Atlanta Hawks,tid_1,120,New York Knicks,tid_18,126,False,0,False,False,,27-Oct-23,04:30 PM PDT,"Atlanta, GA",State Farm Arena,16888,17692,Curtis Blair,Scott Wall,Ashley Moyer-Gleich
gid_401584708,Boston Celtics,tid_2,119,Miami Heat,tid_14,111,True,0,False,False,,27-Oct-23,04:30 PM PDT,"Boston, MA",TD Garden,19156,19156,Eric Dalen,Kevin Scott,Brett Nansel
gid_401584709,Cleveland Cavaliers,tid_5,105,Oklahoma City Thunder,tid_25,108,False,0,False,False,,27-Oct-23,04:30 PM PDT,"Cleveland, OH",Rocket Mortgage FieldHouse,19432,19432,Pat Fraher,Natalie Sago,Intae Hwang
gid_401584710,Chicago Bulls,tid_4,104,Toronto Raptors,tid_28,103,True,1,False,False,,27-Oct-23,05:00 PM PDT,"Chicago, IL",United Center,20917,19555,Brent Barnaky,Jacyn Goble,Suyash Mehta
gid_401584711,San Antonio Spurs,tid_24,126,Houston Rockets,tid_10,122,True,1,False,False,,27-Oct-23,05:00 PM PDT,"San Antonio, TX",Frost Bank Center,18354,18354,Brian Forte,Karl Lane,Matt Kallio
