ARIZ,UTAH,probability
24,24,0.013184483266904098
24,17,0.013183996720834321
31,24,0.011518308986206625
31,17,0.011517883926850542
27,24,0.011149686599293551
27,17,0.011149275143183798
24,20,0.009314038391504149
24,27,0.008640231468846682
24,31,0.00852559598905282
31,20,0.008136987239540639
27,20,0.00787657786329343
24,21,0.007613045122837867
28,24,0.007563057559055506
28,17,0.007562778460067979
31,27,0.007548331910765199
31,31,0.0074481833611165175
27,27,0.007306761370376809
27,31,0.007209817891668801
31,21,0.006650955086795042
34,24,0.0066019045422930234
34,17,0.006601660912668482
27,21,0.006438103448392046
24,14,0.00589603731772071
24,38,0.00573050124875763
24,28,0.005639007689863015
24,34,0.005519573327894136
28,20,0.005342841811557743
31,14,0.0051509322166752485
38,24,0.005033076756945599
38,17,0.005032891021663799
31,38,0.005006315582706363
27,14,0.004986086063406392
28,27,0.004956323778458891
31,28,0.004926384419667061
28,31,0.0048905650593312885
27,38,0.00484609761998742
31,34,0.004822043441194189
27,28,0.004768724507452195
27,34,0.004667722770927387
34,20,0.0046638454552342615
24,13,0.004513875108443912
21,24,0.0044838373435125084
21,17,0.004483671876774614
28,21,0.004367095569702193
35,24,0.004333964951254703
35,17,0.004333805015247285
34,27,0.004326448160758013
34,31,0.0042690464045087705
20,24,0.0042418967214308415
20,17,0.00424174018301091
30,24,0.003993508116013065
30,17,0.0039933607438605795
31,13,0.003943439205897101
24,10,0.003926493506254958
24,35,0.003860671770910422
27,13,0.0038172366552913536
34,21,0.0038121021627984483
24,45,0.0037347320892287374
38,20,0.003555563702617993
31,10,0.0034302872946797157
28,14,0.0033821628577736292
31,35,0.0033727837072915156
27,10,0.0033205072313148014
24,41,0.0032986524461045986
38,27,0.003298343006710305
28,38,0.003287205869902118
27,35,0.0032648439409410754
31,45,0.003262759511585985
38,31,0.0032545817794257964
28,28,0.0032347221253218655
21,20,0.0031675593433053775
28,34,0.0031662106079712276
27,45,0.0031583408681441012
24,23,0.0030782269888090063
35,20,0.0030616835810887556
20,20,0.002996642956450105
34,14,0.0029523398650821513
21,27,0.0029384081068884933
24,30,0.0029152516551969464
38,21,0.0029062223889742707
21,31,0.0028994223662427857
31,41,0.002881788944107841
34,38,0.0028694505092024267
35,27,0.002840191731344388
34,28,0.0028236366741184868
30,20,0.002821171460143479
35,31,0.0028025090902018255
27,41,0.0027895625660493213
20,27,0.0027798563506926492
34,34,0.0027638319596806067
20,31,0.002742974217653891
