CLEM,UNC,probability
17,31,0.02160424830429226
24,31,0.017113659847761798
10,31,0.015019430687690323
20,31,0.013255050976392962
17,27,0.012460443778171633
14,31,0.012299541097354707
17,34,0.011178926538385224
27,31,0.01096858138086833
31,31,0.010944419496557344
13,31,0.010543479695104089
21,31,0.01049852611769853
17,28,0.010471925846273098
24,27,0.009870456651316242
24,34,0.00885531139738996
10,27,0.008662591219474592
24,28,0.008295265558880724
38,31,0.008046613751733196
10,34,0.007771671105664008
20,27,0.007644969412582122
34,31,0.007300430072338084
10,28,0.007280159077947799
28,31,0.007151713284410073
17,30,0.007124126239410291
14,27,0.007093870528716845
20,34,0.006858708483655453
17,35,0.006599292870568602
20,28,0.006424935918079567
14,34,0.00636428837729388
27,27,0.006326227587166556
31,27,0.0063122920039057435
13,27,0.006081046381097056
21,27,0.0060551190025555715
45,31,0.006037251288942278
14,28,0.005961784946208816
27,34,0.0056755950848179195
31,34,0.005663092732227952
24,30,0.005643328638727019
13,34,0.005455629990473118
21,34,0.00543236916082627
7,31,0.005360951272879899
27,28,0.0053166474131129335
31,28,0.005304935760050669
24,35,0.005227585418939682
35,31,0.005173519050914303
13,28,0.005110593804223223
21,28,0.005088804083864281
17,24,0.0050218942914649145
10,30,0.004952744421194248
41,31,0.0048978871693324145
17,38,0.004676660354150283
38,27,0.004640956576962412
10,35,0.00458787644268936
20,30,0.0043709299733831015
34,27,0.004210588454251807
38,34,0.004163648868797451
28,27,0.004124814714349035
23,31,0.004056853932249708
14,30,0.004055845046317171
20,35,0.004048924182664315
24,24,0.003978059754037933
52,31,0.00394940944943684
38,28,0.0039003228131297765
34,34,0.003777542746584318
14,35,0.0037570515174514168
30,31,0.0037189033553046216
24,38,0.003704585014815818
28,34,0.003700590564594188
27,30,0.0036169533567629994
31,30,0.0036089858352094124
42,31,0.003542006103618642
34,28,0.0035386356093786344
10,24,0.0034912574679388225
16,31,0.0034885801722488886
45,27,0.0034820387731617423
13,30,0.0034767736091821082
28,28,0.0034665501957441016
21,30,0.0034619499061844593
27,35,0.003350492916369355
31,35,0.003343112360997692
48,31,0.0032705091027678476
10,38,0.003251248321612479
13,35,0.003220640190895297
21,35,0.0032069085479933725
59,31,0.003148467365669063
45,34,0.003123922096352158
7,27,0.003091976679418467
20,24,0.0030811284842620166
35,27,0.002983873466053895
45,28,0.0029263525822631627
