ND, WAKE, probability
31,7,0.017576470968528126
31,10,0.017440929857978352
38,7,0.016248359652304527
38,10,0.016123060283857422
34,7,0.014110151423062746
34,10,0.014001340866192038
27,7,0.01037763949904666
35,7,0.010306699385896232
27,10,0.010297612240724747
35,10,0.010227219182881166
31,3,0.01019790311953311
38,3,0.009427330314613668
41,7,0.009105233715527355
41,10,0.009035018625602442
45,7,0.008953966240003318
45,10,0.00888491765054709
34,3,0.008186737683121266
31,17,0.008180591605384844
24,7,0.008123605870552306
24,10,0.008060960612392412
28,7,0.008008939724256692
28,10,0.00794717871509304
38,17,0.007562450665490285
31,6,0.006963394794076462
31,14,0.006617336776211916
31,13,0.006603470548890196
34,17,0.0065672674844057324
38,6,0.006437227542305335
42,7,0.006292904404630707
42,10,0.006244376616935755
38,14,0.006117318321341984
38,13,0.006104499852324663
27,3,0.006021126903700639
35,3,0.005979967310145589
34,6,0.005590118467974442
30,7,0.005413644899273939
30,10,0.00537189752899218
34,14,0.005312307806097156
34,13,0.005301176187723569
41,3,0.00528287455871639
45,3,0.005195108871093851
27,17,0.004830049827500753
35,17,0.004797032272659252
24,3,0.004713332147135807
28,3,0.004646802622915234
37,7,0.004620945711824641
37,10,0.004585311248302788
41,17,0.004237835833580174
45,17,0.004167431629991443
27,6,0.004111382824905903
31,24,0.004104532996744658
35,6,0.004083277978632303
31,20,0.003940783299083826
27,14,0.003907060503230334
27,13,0.00389887349523457
35,14,0.0038803523761836984
35,13,0.003872221333446088
48,7,0.0038265130394837268
48,10,0.0037970048505057744
38,24,0.003794386737546744
24,17,0.003780958197415685
28,17,0.003727589297851754
42,3,0.0036511555461739642
38,20,0.0036430102760651737
41,6,0.0036072848279430315
45,6,0.0035473561224899724
41,14,0.0034280145331591237
41,13,0.003420831336899592
45,14,0.003371064088975972
45,13,0.0033640002289134366
34,24,0.0032950631676134786
24,6,0.0032183863831039554
28,6,0.0031729582850744138
34,20,0.003163607141337655
52,7,0.003142004789753474
30,3,0.003141007447126536
52,10,0.0031177751921671075
24,14,0.0030584430730669267
24,13,0.003052034291356717
28,14,0.0030152726033960174
28,13,0.003008954282783117
49,7,0.0029410415735969943
31,21,0.00292969115249292
42,17,0.0029288974469442223
49,10,0.002918361705620529
33,7,0.002711520287247662
38,21,0.0027083181601764857
33,10,0.002690610374690707
37,3,0.0026810818152397213
30,17,0.00251966495986785
42,6,0.0024931044377047573
27,24,0.002423430950867647
35,24,0.0024068647109358604
42,14,0.0023692052756501608
42,13,0.0023642407498847377
31,27,0.0023638529349268877
34,21,0.002351916141670391
27,20,0.002326748554643469
35,20,0.0023108432222454646
48,3,0.002220150412000083
38,27,0.002185235746164355
44,7,0.0021649724618429565
37,17,0.002150720117068946
44,10,0.0021482772576513244
31,31,0.002147797347472991
30,6,0.002144761981861001
41,24,0.0021262932869386825
45,24,0.002090968656315481
41,20,0.002041465151033669
30,14,0.0020381743041286643
30,13,0.002033903433659455
45,20,0.0020075497909874417
38,31,0.0019855057266327477
34,27,0.0018976689298661187
24,24,0.0018970593361963596
28,24,0.0018702820051881824
32,7,0.0018685948740315818
32,10,0.0018541851882165309
37,6,0.0018307127392663532
52,3,0.0018229973755475755
24,20,0.0018213764526641314
28,20,0.0017956673990605287
48,17,0.001780968460889938
40,7,0.0017568310182875984
21,7,0.0017481421328445202
40,10,0.0017432832004296583
37,14,0.0017397322849671347
37,13,0.0017360867816237037
21,10,0.001734661319403138
27,21,0.0017297715041066663
