MSST,MISS,probability
3,38,0.013387687
3,31,0.013297669
3,34,0.010561086
7,38,0.010521464
3,45,0.010482749
7,31,0.010450718
3,24,0.00928927
10,38,0.00917152
10,31,0.009109851
3,27,0.009082346
3,41,0.008379701
7,34,0.008300021
7,45,0.008238456
3,35,0.00775465
7,24,0.007300493
10,34,0.007235097
10,45,0.007181431
7,27,0.00713787
3,28,0.006627289
7,41,0.006585657
10,24,0.006363812
3,42,0.006247331
10,27,0.006222055
3,52,0.006200856
7,35,0.006094426
10,41,0.005740692
3,48,0.005402284
10,35,0.005312488
7,28,0.005208426
7,42,0.004909815
7,52,0.00487329
3,49,0.004691303
6,38,0.004614112
6,31,0.004583087
10,28,0.004540165
17,38,0.004320447
17,31,0.004291397
10,42,0.004279867
10,52,0.004248028
7,48,0.004245687
3,30,0.00412762
3,59,0.003961197
10,48,0.003700949
7,49,0.003686923
6,34,0.003639914
6,45,0.003612915
3,37,0.003612143
17,34,0.003408252
13,38,0.003396224
17,45,0.003382972
13,31,0.003373388
14,38,0.003369259
14,31,0.003346604
7,30,0.003243922
10,49,0.003213877
3,20,0.003201754
6,24,0.003201578
3,21,0.003149023
6,27,0.003130262
7,59,0.003113129
17,24,0.002997814
3,56,0.002963194
17,27,0.002931036
6,41,0.002888092
7,37,0.002838805
10,30,0.002827714
3,55,0.002765452
10,59,0.002713703
17,41,0.00270428
13,34,0.002679164
6,35,0.002672667
13,45,0.002659292
14,34,0.002657892
14,45,0.002638178
7,20,0.002516277
17,35,0.002502565
24,38,0.002489046
7,21,0.002474836
10,37,0.002474576
24,31,0.002472309
3,44,0.002360493
13,24,0.002356527
14,24,0.002337816
7,56,0.002328792
13,27,0.002304034
14,27,0.00228574
6,28,0.002284118
20,38,0.00223104
20,31,0.002216039
10,20,0.002193429
7,55,0.002173385
10,21,0.002157305
6,42,0.002153164
17,28,0.002138745
6,52,0.002137146
13,41,0.002125785
14,41,0.002108907
3,17,0.002036355
10,56,0.002029999
17,42,0.002016126
17,52,0.002001128
13,35,0.00196722
24,34,0.001963523
14,35,0.001951601
24,45,0.001948958
3,33,0.001947171
3,66,0.001911296
10,55,0.001894532
3,23,0.001885181
6,48,0.001861915
7,44,0.001855126
20,34,0.001759991
20,45,0.001746936
17,48,0.001743414
24,24,0.001727066
24,27,0.001688594
13,28,0.001681228
3,63,0.00167423
14,28,0.00166788
21,38,0.001648233
21,31,0.00163715
10,44,0.001617106
6,49,0.001616873
7,17,0.001600383
13,42,0.00158484
13,52,0.00157305
14,42,0.001572256
31,38,0.001572075
31,31,0.001561505
14,52,0.00156056
24,41,0.001557958
20,24,0.001548044
27,38,0.001547882
27,31,0.001537474
7,33,0.001530293
3,40,0.001518739
17,49,0.001513968
20,27,0.001513561
7,66,0.001502099
7,23,0.001481575
24,35,0.001441749
6,30,0.001422598
20,41,0.001396466
10,17,0.001395048
13,48,0.001370466
6,59,0.00136524
14,48,0.001359585
3,32,0.001350211
10,33,0.001333951
17,30,0.001332057
7,63,0.001315788
10,66,0.001309374
21,34,0.001300234
20,35,0.001292302
10,23,0.001291483
21,45,0.00129059
17,59,0.00127835
38,38,0.001277354
3,62,0.001274333
38,31,0.001268766
6,37,0.001244937
31,34,0.001240156
24,28,0.001232149
31,45,0.001230957
27,34,0.001221071
27,45,0.001212014
7,40,0.001193586
13,49,0.001190102
14,49,0.001180653
17,37,0.001165703
3,39,0.001163844
24,42,0.001161507
24,52,0.001152866
10,63,0.001146967
21,24,0.001143654
3,26,0.001134725
45,38,0.001123215
21,27,0.001118178
45,31,0.001115663
20,28,0.001104429
6,20,0.001103495
31,24,0.001090811
6,21,0.001085322
34,38,0.001079816
27,24,0.001074024
34,31,0.001072555
31,27,0.001066512
7,32,0.001061139
27,27,0.001050099
3,29,0.001049349
13,30,0.001047106
3,73,0.001046299
20,42,0.001041109
10,40,0.001040444
14,30,0.001038792
20,52,0.001033364
17,20,0.001033263
21,41,0.001031672
6,56,0.001021275
3,51,0.001018137
17,21,0.001016246
28,38,0.001008231
38,34,0.001007661
13,59,0.001004887
24,48,0.001004395
7,62,0.001001506
28,31,0.001001451
38,45,0.001000187
14,59,0.000996909
31,41,0.000984003
27,41,0.00096886
17,56,0.000956276
21,35,0.000954718
6,55,0.000953122
10,32,0.000924991
13,37,0.000916338
7,39,0.000914672
31,35,0.000910605
14,37,0.000909063
3,36,0.000908095
52,38,0.000906611
52,31,0.000900515
20,48,0.000900283
27,35,0.000896591
17,55,0.000892461
7,26,0.000891787
59,38,0.00089131
38,24,0.000886314
45,34,0.000886066
59,31,0.000885317
45,45,0.000879494
10,62,0.000873009
24,49,0.000872209
38,27,0.00086657
34,34,0.00085183
34,45,0.000845511
7,29,0.00082469
7,73,0.000822293
3,70,0.000819734
21,28,0.000815922
41,38,0.000814972
6,44,0.000813552
13,20,0.000812229
41,31,0.000809492
14,20,0.00080578
7,51,0.00080016
38,41,0.000799529
13,21,0.000798853
10,39,0.000797316
28,34,0.000795358
14,21,0.00079251
28,45,0.000789459
20,49,0.000781799
45,24,0.000779362
31,28,0.000778222
10,26,0.000777368
35,38,0.000770096
21,42,0.000769144
24,30,0.000767409
16,38,0.000766561
27,28,0.000766246
35,31,0.000764918
21,52,0.000763422
45,27,0.000762001
17,44,0.000761774
16,31,0.000761407
13,56,0.000751711
34,24,0.000749248
3,43,0.000749192
14,56,0.000745742
38,35,0.000739892
24,59,0.000736468
31,42,0.000733605
34,27,0.000732558
31,52,0.000728148
27,42,0.000722315
10,29,0.000718879
27,52,0.000716942
3,69,0.000716936
10,73,0.00071679
52,34,0.000715194
66,38,0.000714355
7,36,0.000713677
52,45,0.000709889
66,31,0.000709552
59,34,0.000703124
45,41,0.00070305
81,38,0.000702355
6,17,0.000701837
13,55,0.000701547
28,24,0.000699578
59,45,0.000697909
81,31,0.000697633
10,51,0.000697496
14,55,0.000695977
20,30,0.000687862
28,27,0.000683994
73,38,0.000682158
73,31,0.000677571
34,41,0.000675885
24,37,0.000671572
6,33,0.000671099
21,48,0.000665105
20,59,0.000660128
6,66,0.000658735
3,47,0.000658317
17,17,0.000657168
9,38,0.000654207
3,25,0.000653721
45,35,0.000650608
9,31,0.000649808
6,23,0.000649734
48,38,0.000649158
48,31,0.000644793
7,70,0.000644234
41,34,0.000642903
41,45,0.000638134
31,48,0.000634374
38,28,0.000632327
28,41,0.000631078
52,24,0.000629067
17,33,0.000628387
34,35,0.00062547
27,48,0.000624611
10,36,0.00062211
59,24,0.00061845
42,38,0.000618203
17,66,0.000616809
52,27,0.000615054
23,38,0.000614102
42,31,0.000614046
23,31,0.000609973
17,23,0.000608382
35,34,0.000607502
16,34,0.000604714
59,27,0.000604674
35,45,0.000602996
20,37,0.000601959
16,45,0.000600228
3,77,0.000599108
13,44,0.000598816
38,42,0.000596074
24,20,0.000595272
14,44,0.000594062
38,52,0.00059164
49,38,0.000589563
7,43,0.000588795
49,31,0.000585599
24,21,0.000585468
28,35,0.000584005
21,49,0.000577572
6,63,0.000577029
52,41,0.000567471
41,24,0.000565482
66,34,0.00056353
7,69,0.000563444
10,70,0.000561576
66,45,0.00055935
59,41,0.000557894
45,28,0.000556024
81,34,0.000554064
41,27,0.000552885
24,56,0.000550918
31,49,0.000550885
81,45,0.000549954
3,81,0.000549407
56,38,0.000547972
77,38,0.000544849
56,31,0.000544288
27,49,0.000542408
77,31,0.000541185
17,63,0.000540304
73,34,0.000538131
34,28,0.00053454
35,24,0.000534344
73,45,0.000534139
20,20,0.000533568
16,24,0.000531891
52,35,0.000525143
20,21,0.00052478
45,42,0.000524146
30,38,0.000523718
6,40,0.000523438
35,27,0.000522441
45,52,0.000520246
30,31,0.000520197
