BYU,OU,probability
7,45,0.014942193877925175
3,45,0.014113820534127299
10,45,0.013596971012387469
7,52,0.011595196366688163
3,52,0.010952375662798313
7,38,0.010732021345249513
10,52,0.01055129856892819
3,38,0.010137053800315677
10,38,0.009765833874720383
7,41,0.00911997812223422
7,48,0.009099241178683984
3,41,0.00861437989253653
3,48,0.008594792574764757
10,41,0.00829892043797021
10,48,0.0082800504097373
7,59,0.008191788766559517
7,49,0.00783175821256851
3,59,0.007737647995285905
10,59,0.007454294550619057
3,49,0.007397577007896394
7,42,0.007193256930563085
10,49,0.007126676996852629
3,42,0.006794473301796839
10,42,0.006545659008883281
17,45,0.006384893194253918
6,45,0.006280573276814614
7,56,0.0058087811308025865
7,55,0.005675099197384522
3,56,0.005486750812629449
3,55,0.005360480009805433
10,56,0.005285825448263641
10,55,0.005164178694887575
14,45,0.005070351964269799
7,34,0.005068994770998017
13,45,0.005051865195985142
17,52,0.004954700157992137
6,52,0.004873747525631206
3,34,0.004787977125098709
10,34,0.004612640923166372
17,38,0.004585860055604247
6,38,0.004510933736896305
7,35,0.004339248700953021
3,35,0.004098687108368588
10,35,0.003948592775895024
14,52,0.003934611420133373
13,52,0.003920265621236817
17,41,0.0038970238721386164
17,48,0.003888162846052003
6,41,0.0038333521400936137
6,48,0.0038246358903535516
7,31,0.003809432059993836
7,66,0.0036814064043363282
14,38,0.0036417092398233013
13,38,0.003628431377585901
3,31,0.0035982427259985184
17,59,0.0035004027368191453
24,45,0.003484583009759212
3,66,0.003477314625180371
10,31,0.003466474716936814
6,59,0.003443211220312978
7,63,0.003368708797741702
10,66,0.003349975015283984
17,49,0.003346559422197407
6,49,0.003291881482879089
7,44,0.003193858625192289
3,63,0.003181952515908869
20,45,0.0031740186787465015
14,41,0.003094692744850719
14,48,0.0030876560537649324
13,41,0.0030834093333460696
13,48,0.0030763982984037836
17,42,0.003073723818315862
10,63,0.0030654290960403993
6,42,0.0030235036180396068
3,44,0.003016795780834684
10,44,0.0029063204171483653
14,59,0.0027797291751628494
13,59,0.0027695941372961564
24,52,0.0027040489893438422
14,49,0.0026575595900577916
13,49,0.0026478699888840907
7,37,0.0026373384145400545
7,62,0.0025870790704182775
24,38,0.0025027529120256885
3,37,0.0024911282355644824
17,56,0.0024821286226090642
20,52,0.0024630499478375256
3,62,0.002443655195869444
6,56,0.0024415742319393286
14,42,0.0024408962101114375
13,42,0.0024319965749458293
17,55,0.002425005493713201
10,37,0.0023999028700420278
21,45,0.002388829437658793
6,55,0.0023853844123266424
10,62,0.0023541682978159917
20,38,0.0022796944336836615
17,34,0.0021660132695017625
6,34,0.0021306237463613897
24,41,0.002126817592767432
24,48,0.0021219816495478597
27,45,0.002096589910673785
31,45,0.0020249671557150827
14,56,0.0019711004325870737
13,56,0.0019639136973821397
20,41,0.0019372644436434217
20,48,0.0019328595050710615
14,55,0.0019257379872038003
13,55,0.0019187166458457896
7,51,0.0019127061412912729
24,59,0.0019103598968596256
17,35,0.0018541881952034483
21,52,0.0018537402634762998
24,49,0.0018263992441147378
6,35,0.0018238934426436668
3,51,0.0018066685142260166
7,73,0.0017772648566193952
10,51,0.0017405081322612432
20,59,0.0017400985939432928
14,34,0.0017200678698175193
21,38,0.0017157432653172363
13,34,0.001713796412457699
3,73,0.0016787358960048985
24,42,0.0016774980360884824
20,49,0.0016636209553433049
17,31,0.0016277942203494359
27,52,0.00162696133601871
10,73,0.001617260419334381
6,31,0.0016011984178029108
17,66,0.0015730880544292396
31,52,0.00157138181972718
6,66,0.0015473860714876144
38,45,0.0015400306327223797
7,40,0.0015369385111690067
20,42,0.0015279906046701806
27,38,0.001505846320654902
7,70,0.001490329280638715
14,35,0.0014724422902072116
13,35,0.0014670736886538262
21,41,0.0014580236601924223
21,48,0.0014547084160184691
31,38,0.0014544042806638442
3,40,0.0014517328911569614
17,63,0.0014394704052060484
6,63,0.001415951541341175
3,70,0.0014077076081019642
10,40,0.001398570287262845
17,44,0.0013647558294318592
10,70,0.0013561572144833304
34,45,0.0013551679126129186
24,56,0.001354632405466768
28,45,0.0013494643460581833
6,44,0.0013424576936416994
7,69,0.0013297535927434233
24,55,0.0013234572114018232
21,59,0.001309632729471534
14,31,0.0012926589954556347
13,31,0.0012879458931920314
45,45,0.0012797575942914564
27,41,0.0012796550675794722
27,48,0.001276745396685035
3,69,0.0012560340011595224
21,49,0.0012520741411640353
14,66,0.001249215901359595
13,66,0.001244661194887799
31,41,0.0012359400707313516
20,56,0.0012339004540126981
31,48,0.0012331297986961866
10,69,0.0012100379102202518
20,55,0.0012055037569047365
38,52,0.0011950693280397035
24,34,0.0011821110875607677
21,42,0.0011499960480206453
27,59,0.0011494176704341073
14,63,0.001143107860146059
13,63,0.0011389400291387033
16,45,0.001133079457590128
17,37,0.0011269512517046417
31,59,0.0011101517845612484
6,37,0.001108538498670378
38,38,0.0011061054191735375
17,62,0.0011054751186245536
27,49,0.0010989005620898635
6,62,0.0010874132545341875
14,44,0.0010837757484707731
13,44,0.0010798242454438242
20,34,0.0010767551416519384
7,39,0.001061384320402634
31,49,0.00106136041879248
7,47,0.001059419854492854
7,27,0.0010571395724967743
34,52,0.0010516151901760501
28,52,0.0010471892019488238
24,35,0.001011931207826103
27,42,0.0010093102812554983
3,39,0.0010025427282154597
3,47,0.0010006871694185013
3,27,0.000998533302916513
7,28,0.000995149549861959
45,52,0.0009930965110479734
7,30,0.0009807485512948087
31,42,0.0009748306805555076
34,38,0.0009733303612159098
41,45,0.0009733185469120579
28,38,0.0009692338544706788
10,39,0.0009658295130835977
35,45,0.0009653223446339749
10,47,0.000964041905035655
52,45,0.0009636492353597302
7,54,0.0009632974718307727
10,27,0.0009619669133407224
9,45,0.0009557795272890192
3,28,0.0009399799163440882
38,41,0.0009399587364977273
38,48,0.0009378214647853333
21,56,0.0009286579651919865
7,43,0.0009267499203022436
3,30,0.0009263772880453577
20,35,0.0009217425862007242
45,38,0.0009191679569204057
3,54,0.000909893670867423
21,55,0.0009072860474909323
10,28,0.0009055577576498671
59,45,0.00090432251602378
14,37,0.0008949311004699791
10,30,0.00089245325896201
13,37,0.0008916681349003879
24,31,0.0008883757192240219
16,52,0.0008792737476942969
14,62,0.0008778765389863914
10,54,0.0008765732734962937
3,43,0.0008753722620669735
13,62,0.0008746757552393967
24,66,0.0008585195931315542
23,45,0.0008519193921100213
7,77,0.0008495108844908915
38,59,0.0008442940668793209
10,43,0.000843316042144123
7,33,0.0008272923254438237
7,50,0.0008272114757020975
34,41,0.0008271276504611769
34,48,0.0008252469332964464
28,41,0.0008236464747634945
28,48,0.0008217736730721306
7,58,0.0008215873055898871
17,51,0.0008173113348623006
27,56,0.0008150497853026149
16,38,0.0008138184408573291
21,34,0.0008103872849747795
20,31,0.0008091990113780497
38,49,0.000807187194462059
6,51,0.0008039576500971781
3,77,0.0008024152452743477
27,55,0.0007962924197421437
31,56,0.0007872064236825489
24,63,0.0007855971845459076
20,66,0.0007820038199800833
3,33,0.0007814284505988681
3,50,0.0007813520830484082
45,41,0.0007811009117572651
45,48,0.0007793248498745443
3,58,0.0007760397086898872
10,77,0.0007730307186145408
31,55,0.0007690898387489276
17,73,0.0007594364241371722
41,52,0.0007552987045267819
10,33,0.0007528124624623225
10,50,0.0007527388914992101
35,52,0.0007490936227054901
52,52,0.000747795283871428
10,58,0.0007476210568218382
6,73,0.0007470283316826754
24,44,0.0007448213824450348
34,59,0.0007429464089436578
9,52,0.0007416883620114986
38,42,0.0007413794863467495
28,59,0.0007398195312699963
48,45,0.0007337353659673727
7,81,0.0007329260111005754
20,63,0.0007155806392718641
42,45,0.0007143412211986734
27,34,0.000711247851617913
34,49,0.0007102937838796993
28,49,0.0007073043330285782
59,52,0.0007017575355921734
45,59,0.0007016040596504221
41,38,0.0006990724057341636
7,53,0.0006962555246046925
21,35,0.0006937217599266356
35,38,0.0006933292455108112
3,81,0.0006922936665110184
52,38,0.0006921275582223966
16,41,0.0006915758119857753
30,45,0.0006906082792505674
16,48,0.0006900033116593881
31,34,0.0006869505246432917
9,38,0.0006864752506907345
20,44,0.0006784389907169099
45,49,0.0006707684380936945
10,81,0.0006669418030963929
66,45,0.000666327196019873
23,52,0.0006610925223436439
3,53,0.0006576561380777509
7,46,0.00065710088985769
17,40,0.0006567434688722141
34,42,0.0006523855237804726
28,42,0.0006496397944729852
59,38,0.0006495169734944293
14,51,0.0006490407914526243
13,51,0.000646674354802185
6,40,0.0006460132307355435
17,70,0.0006368270522312868
10,53,0.0006335727044239895
49,45,0.0006294258642697754
6,70,0.0006264222195284203
16,59,0.0006211904120732118
3,46,0.0006206721789340464
45,42,0.0006160825685830295
7,65,0.0006160245740122539
24,37,0.0006150385080914014
23,38,0.0006118791641476332
73,45,0.0006095582788235253
21,31,0.0006090192323845059
27,35,0.0006088547050485532
24,62,0.0006033178157995474
14,73,0.0006030813433695803
13,73,0.0006008824772691125
38,56,0.0005986872445438981
7,36,0.0005982698424099865
10,46,0.0005979431015688072
41,41,0.0005940656322842031
16,49,0.0005938889844405079
41,48,0.0005927148499339935
81,45,0.0005895921143505219
35,41,0.0005891851448248072
21,66,0.0005885515917215078
52,41,0.0005881639614496028
31,35,0.0005880552863719981
35,48,0.0005878454596934271
52,48,0.0005868265982779601
38,55,0.0005849091960064929
9,41,0.0005833606798150842
9,48,0.0005820342383121973
3,65,0.0005818730738774523
48,52,0.0005693812916016625
17,69,0.0005682120533106829
3,36,0.0005651026385910915
10,65,0.0005605648236258885
20,37,0.0005602230474530679
6,69,0.0005589282904213157
42,52,0.0005543313652793121
59,41,0.0005519538582460078
59,48,0.0005506988293580681
56,45,0.0005506163494799058
20,62,0.0005495469647889458
16,42,0.000545470881168931
10,36,0.0005444085233596071
21,63,0.000538560187927568
30,52,0.000535914516689625
27,31,0.0005345143348848952
41,59,0.0005336043692123051
35,59,0.0005292205952811215
52,59,0.0005283033432450445
48,38,0.0005269951436622458
34,56,0.0005268218217596915
28,56,0.0005246045590168777
9,59,0.0005239889174855854
38,34,0.0005224404989135693
14,40,0.0005215311260671287
23,41,0.0005199695761831004
13,40,0.0005196295963215053
23,48,0.0005187872729358084
66,52,0.0005170723084867359
27,66,0.0005165506208445178
55,45,0.0005162601750870273
31,31,0.0005162544982642605
34,55,0.0005146976672918622
42,38,0.0005130655709816213
28,55,0.0005125314321163954
21,44,0.0005106066462469968
41,49,0.0005101523635351354
35,49,0.0005059612572376021
14,70,0.0005057151618584523
52,49,0.000505084318589493
13,70,0.0005038712979450206
9,49,0.0005009595125993659
