DAL,WSH,probability
27,10,0.011713586
31,10,0.009482924
34,10,0.009451769
24,10,0.009245911
27,13,0.009115321
27,6,0.007868402
31,13,0.007379456
34,13,0.007355212
24,13,0.007195016
20,10,0.00681478
30,10,0.006787804
27,17,0.006670417
31,6,0.006369993
34,6,0.006349065
24,6,0.006210783
27,20,0.005997656
31,17,0.005400145
34,17,0.005382403
20,13,0.00530315
30,13,0.005282158
24,17,0.005265175
38,10,0.005183711
23,10,0.005130452
31,20,0.0048555
34,20,0.004839547
24,20,0.004734143
37,10,0.004706596
27,7,0.004647831
20,6,0.004577712
30,6,0.004559592
41,10,0.004511472
28,10,0.004410646
27,16,0.00426668
38,13,0.004033879
23,13,0.003992434
20,17,0.003880744
30,17,0.003865382
27,24,0.003780367
31,7,0.003762727
34,7,0.003750365
24,7,0.003668683
37,13,0.003662596
41,13,0.003510754
27,27,0.003490782
20,20,0.003489341
38,6,0.00348207
30,20,0.003475529
31,16,0.00345416
23,6,0.003446294
34,16,0.003442812
28,13,0.003432293
24,16,0.003367828
27,14,0.003298004
37,6,0.003161576
45,10,0.00316114
31,24,0.003060458
34,24,0.003050403
41,6,0.003030505
24,24,0.002983966
28,6,0.002962776
27,9,0.002961356
38,17,0.002951916
23,17,0.002921587
17,10,0.002881295
33,10,0.00287043
31,27,0.002826019
34,27,0.002816735
24,27,0.002755387
20,7,0.002704035
30,7,0.002693331
37,17,0.002680218
31,14,0.002669953
34,14,0.002661181
38,20,0.002654193
23,20,0.002626923
26,10,0.002605005
24,14,0.002603221
41,17,0.002569103
21,10,0.002529935
28,17,0.002511686
20,16,0.002482287
30,16,0.002472461
45,13,0.002459948
27,3,0.002458468
27,23,0.002434324
37,20,0.002409898
31,9,0.002397414
34,9,0.002389538
24,9,0.002337494
48,10,0.002333532
27,31,0.002332555
35,10,0.002325878
41,20,0.002309989
27,34,0.002277756
28,20,0.002258364
17,13,0.002242176
33,13,0.002233722
20,24,0.002199358
30,24,0.002190652
45,6,0.002123442
38,7,0.002056844
23,7,0.002035711
20,27,0.002030882
26,13,0.002027172
30,27,0.002022843
31,3,0.001990293
34,3,0.001983754
31,23,0.001970746
21,13,0.001968754
34,23,0.001964272
24,3,0.001940548
17,6,0.001935461
33,6,0.001928163
29,10,0.001922368
24,23,0.00192149
20,14,0.001918727
30,14,0.001911132
42,10,0.001903754
31,31,0.001888358
38,16,0.00188817
25,10,0.001885206
34,31,0.001882154
23,16,0.00186877
37,7,0.001867529
31,34,0.001843994
24,31,0.001841161
34,34,0.001837936
48,13,0.001815916
35,13,0.00180996
45,17,0.001800143
24,34,0.001797906
51,10,0.001793824
41,7,0.001790106
27,21,0.001754742
28,7,0.001750099
26,6,0.001749868
20,9,0.00172287
27,30,0.001717127
30,9,0.001716051
37,16,0.00171438
21,6,0.001699441
38,24,0.001672958
23,24,0.001655769
41,16,0.001643306
17,17,0.001640782
33,17,0.001634595
22,10,0.001627078
45,20,0.001618585
28,16,0.00160658
48,6,0.00156751
35,6,0.001562369
38,27,0.001544805
27,19,0.001534785
23,27,0.001528933
37,24,0.001518976
29,13,0.001495955
26,17,0.001483446
42,13,0.00148147
17,20,0.001475297
40,10,0.001471362
33,20,0.001469734
25,13,0.001467036
38,14,0.001459493
41,24,0.001456004
23,14,0.001444498
21,17,0.001440697
20,3,0.001430298
30,3,0.001424636
28,24,0.001423464
31,21,0.00142058
44,10,0.00141997
20,23,0.001416251
34,21,0.001415912
36,10,0.001415644
30,23,0.001410645
37,27,0.001402619
51,13,0.001395924
31,30,0.001390128
34,30,0.001385561
24,21,0.001385074
27,38,0.001366868
27,41,0.001359552
20,31,0.001357044
24,30,0.001355384
30,31,0.001351672
41,27,0.00134447
26,20,0.001333829
48,17,0.001328853
20,34,0.001325162
37,14,0.00132516
35,17,0.001324494
19,10,0.001322805
30,34,0.001319917
28,27,0.001314423
38,9,0.001310514
23,9,0.001297049
21,20,0.001295392
29,6,0.001291318
42,6,0.001278814
41,14,0.001270222
25,6,0.001266355
22,13,0.001266165
45,7,0.001254308
31,19,0.001242511
28,14,0.001241834
34,19,0.001238428
27,28,0.001226463
27,45,0.001215015
24,19,0.001211456
51,6,0.001204971
27,37,0.001200772
16,10,0.00119974
48,20,0.001194828
35,20,0.001190909
37,9,0.001189892
45,16,0.001151447
40,13,0.00114499
17,7,0.001143268
54,10,0.001142697
41,9,0.001140563
33,7,0.001138957
27,48,0.001117836
32,10,0.001117737
28,9,0.001115072
31,38,0.001106571
44,13,0.001104997
34,38,0.001102935
36,13,0.001101631
31,41,0.001100647
27,51,0.001098143
34,41,0.001097031
29,17,0.001094712
22,6,0.001092962
38,3,0.001087966
42,17,0.001084111
24,38,0.001078913
38,23,0.001077282
23,3,0.001076788
25,17,0.001073549
24,41,0.001073138
23,23,0.001066213
17,16,0.001049513
33,16,0.001045556
26,7,0.001033639
38,31,0.001032245
19,13,0.001029385
23,31,0.00102164
51,17,0.001021511
20,21,0.001020881
45,24,0.001020206
30,21,0.00101684
38,34,0.001007994
21,7,0.001003852
20,30,0.000998998
23,34,0.000997638
30,30,0.000995043
31,28,0.000992903
34,28,0.000989641
40,6,0.000988362
37,3,0.000987829
29,20,0.000984302
31,45,0.000983635
34,45,0.000980404
37,23,0.000978127
42,20,0.000974771
31,37,0.000972105
34,37,0.000968911
24,28,0.000968087
25,20,0.000965274
27,12,0.000960166
24,45,0.000959051
44,6,0.000953841
36,6,0.000950935
26,16,0.000948874
24,37,0.000947808
41,3,0.000946876
45,27,0.000942056
41,23,0.000937577
37,31,0.000937236
16,13,0.000933618
17,24,0.00092989
22,17,0.000926556
33,24,0.000926384
48,7,0.000925922
28,3,0.000925714
35,7,0.000922885
21,16,0.00092153
27,22,0.000919707
51,20,0.000918484
28,23,0.000916623
37,34,0.000915217
27,54,0.000912098
31,48,0.000904962
34,48,0.000901989
41,31,0.000898381
20,19,0.000892914
45,14,0.000890031
30,19,0.000889379
54,13,0.000889228
31,51,0.00088902
19,6,0.000888572
34,51,0.000886099
24,48,0.000882344
28,31,0.000878303
41,34,0.000877275
32,13,0.000869805
24,51,0.0008668
17,27,0.000858659
28,34,0.000857669
33,27,0.000855421
48,16,0.00084999
35,16,0.000847202
27,26,0.000846074
26,24,0.000840722
40,17,0.000837881
22,20,0.000833105
21,24,0.000816495
17,14,0.000811239
44,17,0.000808616
33,14,0.000808181
36,17,0.000806153
16,6,0.000805905
45,9,0.00079918
20,38,0.000795223
30,38,0.000792075
20,41,0.000790966
30,41,0.000787835
31,12,0.000777318
38,21,0.00077654
26,27,0.000776321
34,12,0.000774764
23,21,0.000768562
54,6,0.000767587
29,7,0.000762776
38,30,0.000759895
24,12,0.00075789
42,7,0.00075539
21,27,0.00075395
40,20,0.000753375
19,17,0.000753284
48,24,0.000753109
23,30,0.000752087
32,6,0.000750821
35,24,0.000750639
25,7,0.00074803
31,22,0.000744564
34,22,0.000742117
31,54,0.000738403
34,54,0.000735978
26,14,0.000733449
17,9,0.000728431
44,20,0.000727061
24,22,0.000725954
33,9,0.000725684
36,20,0.000724846
24,54,0.000719948
27,15,0.000713857
20,28,0.000713537
21,14,0.000712313
51,7,0.000711771
30,28,0.000710712
20,45,0.000706877
37,21,0.000705067
30,45,0.000704078
29,16,0.000700224
20,37,0.00069859
30,37,0.000695825
48,27,0.000695419
42,16,0.000693443
35,27,0.000693138
37,30,0.000689953
27,33,0.000689781
25,16,0.000686687
31,26,0.000684953
16,17,0.000683204
34,26,0.000682702
27,25,0.000679876
38,19,0.000679201
27,11,0.000678102
19,20,0.00067731
41,21,0.000675836
23,19,0.000672223
24,26,0.000667833
45,3,0.000663466
41,30,0.000661349
28,21,0.000660732
26,9,0.000658581
48,14,0.000657015
45,23,0.00065695
35,14,0.00065486
51,16,0.000653401
54,17,0.00065072
20,48,0.000650339
30,48,0.000647765
28,30,0.000646569
22,7,0.000645608
21,9,0.000639603
20,51,0.000638882
32,17,0.000636507
30,51,0.000636353
45,31,0.000629486
29,24,0.000620413
37,19,0.000616687
45,34,0.000614697
42,24,0.000614405
16,20,0.000614297
25,24,0.000608419
27,42,0.000605875
38,38,0.000604892
17,3,0.000604731
33,3,0.000602451
