DET,GB,probability
27,13,0.012127189
31,13,0.012100994
34,13,0.011878894
27,10,0.011404885
31,10,0.011380251
34,10,0.011171379
27,17,0.010697226
31,17,0.01067412
34,17,0.010478209
27,20,0.010091758
31,20,0.010069959
34,20,0.009885137
30,13,0.00845238
30,10,0.00794895
30,17,0.007455728
30,20,0.00703373
27,16,0.006636806
31,16,0.00662247
34,16,0.006500922
24,13,0.006431009
27,24,0.006331841
31,24,0.006318164
34,24,0.006202201
24,10,0.006047974
24,17,0.005672705
27,27,0.005640972
31,27,0.005628788
34,27,0.005525477
38,13,0.005424137
24,20,0.005351627
37,13,0.00523126
38,10,0.005101072
28,13,0.004956582
37,10,0.004919683
38,17,0.004784557
27,14,0.004682354
31,14,0.00467224
28,10,0.004661365
30,16,0.004625706
37,17,0.004614422
34,14,0.004586487
38,20,0.004513748
30,24,0.004413152
28,17,0.004372133
37,20,0.004353244
28,20,0.004124668
27,23,0.004104324
31,23,0.004095459
34,23,0.004020291
30,27,0.003931632
41,13,0.003755469
33,13,0.003674936
41,10,0.003531791
24,16,0.003519477
27,31,0.003497223
31,31,0.003489669
33,10,0.003456055
34,31,0.00342562
24,24,0.003357755
41,17,0.003312647
30,14,0.003263496
33,17,0.003241611
27,34,0.00318448
31,34,0.003177601
41,20,0.00312515
34,34,0.00311928
33,20,0.003058134
24,27,0.002991389
38,16,0.002968449
27,21,0.002966867
31,21,0.002960458
23,13,0.002940956
34,21,0.002906122
27,6,0.002888949
31,6,0.002882709
37,16,0.002862894
30,23,0.002860622
35,13,0.00283563
38,24,0.002832047
34,6,0.0028298
23,10,0.002765791
37,24,0.002731342
28,16,0.002712572
35,10,0.002666738
27,30,0.002629134
31,30,0.002623455
23,17,0.002594177
28,24,0.002587928
34,30,0.002575305
27,19,0.002557124
31,19,0.0025516
38,27,0.002523042
34,19,0.002504769
35,17,0.002501271
24,14,0.002483037
27,9,0.002453527
31,9,0.002448227
23,20,0.002447345
30,31,0.002437486
37,27,0.002433325
26,13,0.002427062
27,7,0.002410617
31,7,0.00240541
34,9,0.002403293
34,7,0.002361261
35,20,0.002359697
28,27,0.002305558
29,13,0.002295872
26,10,0.002282505
30,34,0.002219511
24,23,0.00217651
29,10,0.002159128
26,17,0.002140878
38,14,0.00209428
30,21,0.00206784
41,16,0.002055243
29,17,0.002025157
37,14,0.00201981
26,20,0.002019703
30,6,0.002013533
33,16,0.00201117
41,24,0.001960803
27,28,0.001949912
31,28,0.0019457
33,24,0.001918756
28,14,0.001913756
29,20,0.001910532
34,28,0.001909989
24,31,0.001854566
38,23,0.001835744
30,30,0.001832448
30,19,0.001782258
45,13,0.001773021
37,23,0.001770467
