SEA,SF,probability
13,34,0.015192038
10,34,0.014201193
17,34,0.013279141
13,31,0.013260041
10,31,0.012395203
20,34,0.012365269
17,31,0.01159041
20,31,0.010792757
13,27,0.009432748
10,27,0.008817532
13,30,0.00864236
16,34,0.008266833
17,27,0.008245029
10,30,0.008078694
13,38,0.007718264
20,27,0.007677605
24,34,0.007594216
17,30,0.007554162
13,37,0.007313315
16,31,0.007215526
10,38,0.007214869
20,30,0.007034284
10,37,0.006836331
17,38,0.006746423
27,34,0.006647542
24,31,0.006628446
17,37,0.006392463
20,38,0.006282134
20,37,0.005952533
14,34,0.005860005
27,31,0.005802162
13,41,0.005468486
16,27,0.005132883
14,31,0.005114778
10,41,0.005111824
23,34,0.004950386
17,41,0.004779925
24,27,0.004715254
16,30,0.004702789
13,33,0.004500285
20,41,0.00445097
23,31,0.004320837
24,30,0.004320154
13,28,0.00427442
10,33,0.00420677
16,38,0.004199937
27,27,0.004127464
31,34,0.004021737
10,28,0.003995637
16,37,0.003979582
17,33,0.003933634
24,38,0.003858216
27,30,0.003781616
13,35,0.003760081
17,28,0.003736209
20,33,0.003662921
24,37,0.003655789
14,27,0.003638482
21,34,0.003617047
34,34,0.003594488
10,35,0.003514844
31,31,0.003510286
20,28,0.003479082
6,34,0.003407616
27,38,0.003377261
13,24,0.003360295
14,30,0.003333606
17,35,0.003286632
27,37,0.003200069
21,31,0.003157061
19,34,0.00314805
10,24,0.003141132
34,31,0.003137371
23,27,0.003073699
20,35,0.003060446
30,34,0.003042175
9,34,0.003035045
14,38,0.002977156
16,41,0.002975708
6,31,0.002974263
17,24,0.002937185
7,34,0.002907377
14,37,0.002820956
23,30,0.002816148
19,31,0.002747707
20,24,0.002735048
24,41,0.002733594
30,31,0.002655296
9,31,0.002649073
7,31,0.002537641
23,38,0.002515027
13,45,0.00251322
31,27,0.002497099
16,33,0.002448855
27,41,0.002392832
23,37,0.002383073
10,45,0.002349304
16,28,0.00232595
31,30,0.002287863
28,34,0.00228402
13,36,0.002261825
24,33,0.002249608
21,27,0.002245828
34,27,0.00223182
17,45,0.002196769
13,29,0.002168053
24,28,0.002136703
6,27,0.002115791
10,36,0.002114305
14,41,0.002109352
13,42,0.002106364
21,30,0.002057645
16,35,0.002046069
20,45,0.002045587
34,30,0.002044812
31,38,0.00204323
10,29,0.00202665
28,31,0.001993558
17,36,0.001977028
27,33,0.001969178
10,42,0.001968984
