homeScore,awayScore,probability,homeTeam,awayTeam,sport
88,75,0.001794,TOL,M-OH,NCAAB
88,72,0.001738,TOL,M-OH,NCAAB
88,71,0.001651,TOL,M-OH,NCAAB
88,74,0.00165,TOL,M-OH,NCAAB
85,75,0.001604,TOL,M-OH,NCAAB
88,73,0.001603,TOL,M-OH,NCAAB
88,76,0.001585,TOL,M-OH,NCAAB
92,75,0.001557,TOL,M-OH,NCAAB
85,72,0.001554,TOL,M-OH,NCAAB
88,70,0.00155,TOL,M-OH,NCAAB
88,78,0.001546,TOL,M-OH,NCAAB
88,68,0.001523,TOL,M-OH,NCAAB
88,77,0.001523,TOL,M-OH,NCAAB
92,72,0.001509,TOL,M-OH,NCAAB
88,69,0.001504,TOL,M-OH,NCAAB
85,71,0.001476,TOL,M-OH,NCAAB
85,74,0.001475,TOL,M-OH,NCAAB
96,75,0.001474,TOL,M-OH,NCAAB
91,75,0.001462,TOL,M-OH,NCAAB
93,75,0.001461,TOL,M-OH,NCAAB
88,79,0.001459,TOL,M-OH,NCAAB
86,75,0.001451,TOL,M-OH,NCAAB
85,73,0.001433,TOL,M-OH,NCAAB
92,71,0.001433,TOL,M-OH,NCAAB
92,74,0.001432,TOL,M-OH,NCAAB
96,72,0.001428,TOL,M-OH,NCAAB
89,75,0.001426,TOL,M-OH,NCAAB
90,75,0.001423,TOL,M-OH,NCAAB
82,75,0.00142,TOL,M-OH,NCAAB
85,76,0.001417,TOL,M-OH,NCAAB
91,72,0.001416,TOL,M-OH,NCAAB
93,72,0.001416,TOL,M-OH,NCAAB
84,75,0.001407,TOL,M-OH,NCAAB
86,72,0.001406,TOL,M-OH,NCAAB
87,75,0.001403,TOL,M-OH,NCAAB
92,73,0.001392,TOL,M-OH,NCAAB
85,70,0.001386,TOL,M-OH,NCAAB
88,67,0.001383,TOL,M-OH,NCAAB
85,78,0.001383,TOL,M-OH,NCAAB
89,72,0.001382,TOL,M-OH,NCAAB
83,75,0.001382,TOL,M-OH,NCAAB
90,72,0.001378,TOL,M-OH,NCAAB
82,72,0.001376,TOL,M-OH,NCAAB
92,76,0.001376,TOL,M-OH,NCAAB
84,72,0.001363,TOL,M-OH,NCAAB
85,68,0.001362,TOL,M-OH,NCAAB
85,77,0.001362,TOL,M-OH,NCAAB
87,72,0.001359,TOL,M-OH,NCAAB
96,71,0.001356,TOL,M-OH,NCAAB
96,74,0.001356,TOL,M-OH,NCAAB
92,70,0.001346,TOL,M-OH,NCAAB
85,69,0.001345,TOL,M-OH,NCAAB
91,71,0.001345,TOL,M-OH,NCAAB
91,74,0.001345,TOL,M-OH,NCAAB
93,71,0.001344,TOL,M-OH,NCAAB
93,74,0.001344,TOL,M-OH,NCAAB
92,78,0.001342,TOL,M-OH,NCAAB
83,72,0.001339,TOL,M-OH,NCAAB
86,71,0.001335,TOL,M-OH,NCAAB
86,74,0.001335,TOL,M-OH,NCAAB
88,80,0.001335,TOL,M-OH,NCAAB
92,68,0.001322,TOL,M-OH,NCAAB
92,77,0.001322,TOL,M-OH,NCAAB
96,73,0.001318,TOL,M-OH,NCAAB
89,71,0.001312,TOL,M-OH,NCAAB
89,74,0.001312,TOL,M-OH,NCAAB
90,71,0.001309,TOL,M-OH,NCAAB
90,74,0.001309,TOL,M-OH,NCAAB
91,73,0.001306,TOL,M-OH,NCAAB
82,71,0.001306,TOL,M-OH,NCAAB
82,74,0.001306,TOL,M-OH,NCAAB
93,73,0.001306,TOL,M-OH,NCAAB
92,69,0.001306,TOL,M-OH,NCAAB
85,79,0.001304,TOL,M-OH,NCAAB
96,76,0.001302,TOL,M-OH,NCAAB
86,73,0.001297,TOL,M-OH,NCAAB
84,71,0.001295,TOL,M-OH,NCAAB
84,74,0.001294,TOL,M-OH,NCAAB
91,76,0.001291,TOL,M-OH,NCAAB
93,76,0.001291,TOL,M-OH,NCAAB
87,71,0.001291,TOL,M-OH,NCAAB
87,74,0.00129,TOL,M-OH,NCAAB
86,76,0.001282,TOL,M-OH,NCAAB
89,73,0.001275,TOL,M-OH,NCAAB
96,70,0.001274,TOL,M-OH,NCAAB
83,71,0.001272,TOL,M-OH,NCAAB
90,73,0.001271,TOL,M-OH,NCAAB
83,74,0.001271,TOL,M-OH,NCAAB
96,78,0.001271,TOL,M-OH,NCAAB
82,73,0.001269,TOL,M-OH,NCAAB
92,79,0.001266,TOL,M-OH,NCAAB
91,70,0.001263,TOL,M-OH,NCAAB
93,70,0.001263,TOL,M-OH,NCAAB
89,76,0.00126,TOL,M-OH,NCAAB
